Kate Adams,Tiq Milan and Kim Katrin Milan,Natalie Panek,Jia Jiang,Iraola,isPartial
15,0,0,0,15,False
44,0,0,15,44,False
27,0,0,0,18,False
21,0,0,0,42,False
12,0,0,0,30,False
36,0,0,12,42,False
0,0,0,0,25,False
23,0,0,12,58,False
43,0,0,43,32,False
33,0,0,16,11,False
22,0,0,16,11,False
0,0,0,10,36,False
36,0,0,9,22,False
9,0,0,9,23,False
12,0,0,16,12,False
9,0,0,13,18,False
27,0,0,8,23,False
16,0,0,12,16,False
16,0,0,8,20,False
11,0,0,8,8,False
17,0,0,14,28,False
33,0,0,10,39,False
13,0,0,7,39,False
13,0,0,10,22,False
11,0,11,6,14,False
43,0,0,6,20,False
17,0,0,5,40,False
27,0,0,5,19,False
15,0,0,0,32,False
21,0,0,5,21,False
31,0,0,0,28,False
17,0,0,5,21,False
27,0,0,9,18,False
21,0,0,6,16,False
26,0,0,4,24,False
23,0,0,8,39,False
13,0,0,13,29,False
23,0,0,4,38,False
15,0,0,7,35,False
14,0,0,0,17,False
24,0,0,7,24,False
9,0,0,6,25,False
15,0,0,6,12,False
23,0,0,6,23,False
11,0,0,6,28,False
14,0,0,8,33,False
16,0,0,4,17,False
15,0,0,3,29,False
20,0,0,8,22,False
23,0,0,4,30,False
13,0,0,6,23,False
26,0,0,8,36,False
15,0,0,16,26,False
22,0,0,11,18,False
20,0,0,9,22,False
19,0,0,20,41,False
27,0,2,6,35,False
24,0,0,9,33,False
17,0,0,14,31,False
20,0,0,8,31,False
30,0,0,3,29,False
39,0,0,5,30,False
25,0,0,9,29,False
15,0,2,6,31,False
20,0,0,7,32,False
32,0,0,6,23,False
19,0,0,7,27,False
26,0,0,6,29,False
20,0,0,6,39,False
15,0,0,9,36,False
22,0,0,6,33,False
20,0,0,8,33,False
30,0,0,6,39,False
20,0,1,3,24,False
17,0,0,6,21,False
17,0,0,7,28,False
23,0,0,4,30,False
10,0,0,8,28,False
14,0,0,4,18,False
16,0,0,5,26,False
23,0,0,7,31,False
17,0,2,3,32,False
24,0,1,7,41,False
23,0,0,3,31,False
24,0,0,4,26,False
24,0,0,4,31,False
25,0,0,5,36,False
29,0,0,5,28,False
23,0,0,5,33,False
19,0,0,7,28,False
18,0,0,4,25,False
21,0,0,4,33,False
23,0,0,5,32,False
16,0,1,4,25,False
15,0,0,7,28,False
20,0,0,6,25,False
20,0,0,4,22,False
21,0,0,6,27,False
14,0,1,2,52,False
22,0,0,6,28,False
15,0,0,8,37,False
19,0,0,7,26,False
23,0,0,4,24,False
25,0,0,6,23,False
37,0,0,8,23,False
21,0,0,7,23,False
17,0,1,7,21,False
24,0,1,5,24,False
26,0,0,5,28,False
19,0,0,6,29,False
21,0,0,5,20,False
22,0,1,16,24,False
16,0,1,5,23,False
29,0,0,4,24,False
28,0,0,5,22,False
23,0,1,8,23,False
18,0,1,4,24,False
24,0,1,5,24,False
17,0,1,8,25,False
32,0,0,7,26,False
42,0,0,7,22,False
36,0,1,6,24,False
41,0,0,7,27,False
31,0,1,4,20,False
32,0,0,4,20,False
29,0,1,5,21,False
26,0,0,7,22,False
27,0,1,4,30,False
26,0,1,5,33,False
27,0,1,5,28,False
21,0,0,4,29,False
26,0,0,5,19,False
31,0,0,2,22,False
36,0,1,3,27,False
27,0,1,5,33,False
30,0,0,6,36,False
22,0,0,7,100,False
20,0,0,3,40,False
28,0,1,6,49,False
20,0,0,5,35,False
23,0,0,6,28,False
20,0,1,6,23,False
18,0,0,7,19,False
21,0,1,6,19,False
23,1,0,6,24,False
17,1,1,4,19,False
25,0,2,6,22,False
19,0,2,6,20,False
20,0,1,4,24,False
17,0,1,5,25,False
19,0,0,5,27,False
17,0,0,2,16,False
22,0,0,6,22,False
16,0,0,6,24,False
18,0,0,3,29,False
19,2,1,16,19,False
21,1,1,14,19,False
23,1,1,14,21,False
17,0,0,8,21,False
16,0,1,9,19,False
13,0,1,6,17,False
14,0,1,10,19,False
14,0,0,9,17,False
14,0,0,7,14,False
17,0,0,6,15,False
15,0,1,7,14,False
21,0,1,7,15,False
19,0,1,6,12,False
17,0,1,5,16,False
14,0,1,9,20,False
19,0,0,6,17,False
15,1,0,8,14,False
24,0,0,5,18,False
21,0,0,6,16,False
17,0,1,6,17,False
16,0,0,6,17,False
13,0,1,6,17,False
12,0,0,5,19,False
18,0,0,7,16,False
14,0,0,6,17,False
18,0,0,4,15,False
19,0,0,6,17,False
19,0,0,6,15,False
14,0,0,6,15,False
15,0,0,8,21,False
13,0,0,4,15,False
12,0,1,6,19,False
12,0,0,9,18,False
12,0,0,8,16,False
10,0,0,7,16,False
12,0,0,6,17,False
12,0,0,6,17,False
15,0,0,6,25,False
12,0,0,5,50,False
12,0,0,5,21,False
17,0,0,6,13,False
17,0,0,7,12,False
11,0,0,6,18,False
13,0,0,6,31,False
14,0,0,6,26,False
11,0,0,5,19,False
14,0,0,5,16,True
