Gustavo Dudamel and the Teresa Carreño Youth Orchestra,Sylvia Earle,Jill Tarter,Ed Ulbrich,Iraola,isPartial
0,37,15,0,30,False
0,52,0,0,22,False
0,45,0,0,36,False
0,14,29,0,29,False
0,12,0,0,19,False
0,12,0,12,24,False
0,13,13,0,25,False
0,12,12,0,47,False
0,22,0,0,33,False
0,22,0,0,22,False
0,33,11,0,11,False
0,16,0,0,16,False
0,27,9,0,27,False
0,29,10,0,29,False
0,28,0,0,12,False
0,23,0,0,18,False
0,24,0,0,24,False
0,0,8,0,24,False
0,16,8,0,28,False
0,16,0,0,16,False
0,18,0,0,25,False
0,23,7,0,33,False
0,23,0,0,27,False
0,16,0,0,26,False
0,14,6,0,20,False
0,6,6,0,21,False
0,10,5,0,43,False
0,33,0,0,24,False
0,25,5,0,38,False
0,8,0,0,39,False
0,5,5,0,34,False
0,10,0,0,22,False
0,9,7,0,14,False
0,17,0,0,13,False
0,12,4,0,27,False
0,9,0,0,26,False
0,13,4,0,20,False
0,14,0,0,29,False
0,10,7,0,29,False
0,7,4,0,21,False
0,9,0,0,23,False
0,11,0,0,21,False
0,5,3,0,29,False
0,6,0,0,24,False
0,7,3,0,30,False
0,8,5,0,23,False
0,16,3,0,23,False
0,5,0,0,28,False
0,9,7,0,24,False
0,7,6,0,24,False
0,19,2,0,28,False
0,13,2,0,29,False
0,8,2,4,24,False
0,5,2,0,12,False
0,2,2,0,17,False
0,6,3,0,38,False
0,9,0,0,34,False
0,7,3,0,32,False
0,12,3,0,31,False
0,15,6,0,34,False
0,8,0,2,27,False
0,18,5,2,30,False
0,12,3,2,31,False
0,19,0,0,32,False
0,11,0,2,33,False
0,6,2,2,32,False
0,6,7,0,30,False
0,10,5,0,31,False
0,8,3,2,38,False
0,20,4,1,32,False
0,13,1,1,42,False
0,10,4,0,35,False
0,7,5,1,32,False
0,10,5,0,23,False
0,12,3,1,25,False
0,12,7,1,27,False
0,12,3,0,24,False
0,14,3,0,26,False
0,7,1,1,19,False
0,8,1,0,23,False
0,9,1,0,25,False
0,13,2,0,31,False
0,9,3,1,45,False
0,12,1,0,36,False
0,7,2,0,29,False
0,11,2,0,48,False
0,16,1,0,39,False
0,14,4,0,33,False
0,12,2,0,38,False
0,3,3,0,32,False
0,3,2,1,24,False
0,3,2,1,37,False
0,10,4,0,36,False
0,13,2,0,29,False
0,8,2,0,26,False
0,6,5,0,21,False
0,8,2,1,26,False
0,12,2,1,30,False
0,9,5,0,45,False
0,9,2,0,32,False
0,9,5,1,47,False
0,10,5,0,21,False
0,6,8,1,22,False
0,5,1,0,24,False
0,12,4,2,23,False
0,10,2,1,22,False
0,8,1,0,24,False
0,5,1,1,23,False
0,5,1,0,25,False
0,11,4,0,25,False
0,8,2,0,18,False
0,6,1,1,20,False
0,13,3,1,22,False
0,5,2,0,21,False
0,4,2,1,19,False
0,10,1,1,24,False
0,11,3,0,27,False
0,5,2,0,26,False
0,9,2,1,25,False
0,5,1,0,23,False
0,11,2,1,25,False
0,9,2,1,28,False
0,10,1,0,26,False
0,10,1,0,21,False
0,7,1,0,26,False
0,5,2,1,22,False
0,4,2,0,27,False
0,34,1,0,29,False
0,29,1,1,35,False
0,14,2,1,28,False
0,15,1,0,29,False
0,9,4,0,24,False
0,10,2,0,26,False
0,15,2,0,28,False
0,11,1,0,35,False
0,14,2,0,43,False
0,14,1,0,100,False
0,7,0,0,43,False
0,7,1,0,45,False
0,12,1,0,39,False
0,11,1,0,27,False
0,12,2,0,24,False
0,13,1,0,24,False
0,12,1,0,18,False
0,11,1,0,22,False
0,14,1,0,18,False
0,9,1,0,23,False
0,12,2,0,19,False
0,14,1,0,28,False
0,10,1,0,29,False
0,9,1,0,26,False
0,8,1,1,20,False
0,14,1,0,19,False
0,8,1,0,27,False
0,10,1,0,30,False
0,11,1,0,25,False
0,14,1,0,17,False
0,11,1,0,22,False
0,18,1,0,18,False
0,15,2,0,20,False
0,12,1,0,21,False
0,11,3,0,18,False
0,6,3,0,17,False
0,11,1,0,17,False
0,21,3,0,17,False
0,15,1,0,18,False
0,13,2,0,18,False
0,12,2,0,12,False
0,13,3,0,17,False
0,16,1,0,18,False
0,18,3,0,16,False
0,17,2,0,15,False
0,15,1,0,18,False
0,13,2,0,18,False
0,7,2,0,16,False
0,10,2,0,19,False
0,20,2,0,21,False
0,23,1,0,19,False
0,14,2,0,20,False
0,11,1,0,19,False
0,10,2,1,15,False
0,15,2,0,18,False
0,18,2,0,16,False
0,15,1,0,18,False
0,13,1,0,17,False
0,9,1,0,16,False
0,9,3,0,20,False
0,11,1,0,17,False
0,19,1,0,18,False
0,14,1,0,15,False
0,10,1,0,18,False
0,11,2,0,16,False
0,12,2,0,27,False
0,16,1,0,48,False
0,15,2,0,21,False
0,14,2,0,14,False
0,11,1,0,16,False
0,10,2,0,12,False
0,8,1,0,34,False
0,11,1,0,27,False
0,18,1,0,21,False
0,10,1,0,17,True
