Jamie Bartlett,Jim Simons,Alan Eustace,BJ Miller,Iraola,isPartial
0,5,0,5,9,False
0,5,0,0,12,False
6,6,0,11,6,False
0,4,0,4,10,False
0,4,0,4,9,False
4,8,4,0,12,False
4,4,0,0,9,False
0,4,0,0,13,False
7,5,3,3,10,False
0,0,0,0,7,False
0,4,0,0,5,False
3,3,3,0,11,False
0,3,0,4,9,False
3,0,0,3,8,False
0,0,3,3,6,False
6,4,0,3,6,False
0,4,0,4,6,False
3,2,0,0,5,False
3,5,0,3,5,False
0,5,2,2,5,False
2,3,3,0,10,False
0,4,0,0,10,False
2,5,2,2,9,False
2,14,0,2,8,False
0,3,0,0,5,False
2,6,2,4,7,False
2,6,0,2,13,False
2,2,3,0,6,False
3,4,0,2,8,False
0,2,2,2,9,False
2,4,2,0,10,False
2,4,0,0,8,False
1,3,1,0,7,False
1,3,1,1,7,False
3,3,1,1,7,False
2,3,1,2,11,False
0,4,1,1,8,False
2,4,1,2,10,False
1,4,2,1,11,False
0,4,0,1,7,False
1,4,0,2,7,False
1,3,1,1,9,False
2,5,0,1,5,False
0,6,1,0,7,False
1,2,1,1,10,False
1,2,1,1,9,False
0,2,2,1,5,False
1,2,1,1,9,False
1,5,1,1,7,False
1,5,2,1,9,False
1,4,1,1,9,False
1,2,1,2,11,False
1,4,1,2,10,False
1,4,1,0,6,False
1,3,1,1,7,False
1,2,1,1,11,False
1,3,1,1,11,False
1,4,1,1,10,False
0,3,1,1,9,False
1,3,1,1,9,False
1,3,1,1,9,False
1,4,1,1,10,False
0,4,1,1,8,False
1,5,0,2,10,False
1,4,1,1,9,False
0,3,2,1,8,False
1,3,1,1,8,False
1,2,1,1,9,False
0,2,2,0,12,False
1,3,0,1,11,False
1,2,0,1,11,False
2,3,0,1,11,False
1,2,0,0,12,False
1,2,1,1,8,False
1,3,1,1,8,False
1,2,0,1,9,False
1,2,1,1,9,False
0,3,0,1,9,False
1,3,0,1,6,False
1,3,0,2,8,False
1,5,0,1,11,False
1,2,0,1,11,False
0,2,1,2,14,False
0,4,0,1,10,False
1,4,1,1,9,False
1,3,1,1,10,False
1,3,1,1,13,False
1,3,1,1,10,False
1,3,0,1,11,False
1,2,0,1,9,False
1,3,0,1,8,False
1,2,0,1,11,False
1,3,0,1,11,False
1,3,0,1,8,False
1,2,1,2,9,False
1,3,1,1,8,False
1,2,1,1,8,False
1,2,0,1,8,False
1,2,0,1,18,False
1,3,0,1,9,False
0,2,0,2,13,False
1,2,1,1,9,False
1,3,1,1,8,False
1,2,0,1,8,False
1,3,0,1,8,False
0,3,1,1,8,False
1,3,0,1,7,False
1,1,0,1,8,False
1,3,0,1,8,False
1,2,0,1,8,False
1,3,0,1,7,False
0,3,0,1,8,False
1,4,0,1,7,False
1,4,0,1,7,False
1,3,0,1,8,False
1,2,0,1,8,False
0,3,1,1,8,False
1,3,1,0,8,False
1,2,0,1,8,False
1,2,1,1,8,False
1,2,0,1,8,False
1,2,0,1,8,False
1,1,1,1,9,False
1,2,0,1,6,False
0,2,0,1,7,False
1,2,0,1,6,False
0,3,0,1,7,False
1,2,0,1,10,False
1,2,0,0,10,False
1,4,100,1,9,False
1,3,11,1,9,False
1,2,4,1,6,False
1,2,5,1,7,False
1,2,4,1,8,False
1,2,3,1,10,False
1,2,4,1,12,False
1,2,2,1,33,False
2,2,3,1,13,False
1,2,2,1,16,False
1,2,2,1,11,False
2,9,5,8,9,False
2,5,3,4,7,False
1,3,2,2,7,False
1,2,2,2,7,False
1,2,2,5,8,False
1,2,1,4,6,False
1,3,3,2,7,False
1,3,1,5,7,False
1,3,2,4,9,False
1,2,1,2,8,False
1,3,1,2,9,False
1,2,2,2,5,False
1,2,2,2,7,False
1,2,3,3,7,False
1,3,4,1,9,False
1,2,2,2,7,False
2,2,2,11,6,False
2,3,2,2,6,False
1,3,1,3,6,False
1,3,1,3,6,False
1,2,1,9,6,False
1,2,1,3,6,False
3,3,1,4,6,False
5,3,1,3,5,False
2,2,1,2,5,False
1,3,1,2,5,False
1,3,1,2,5,False
1,4,2,2,4,False
1,3,1,2,5,False
1,2,1,2,6,False
1,2,1,2,6,False
1,3,1,2,4,False
1,2,1,3,5,False
1,2,1,2,6,False
1,3,1,2,5,False
1,3,2,1,5,False
1,3,2,3,6,False
1,2,2,1,6,False
1,3,1,3,5,False
1,2,2,2,5,False
1,3,1,2,5,False
1,2,4,3,6,False
1,3,2,2,5,False
1,3,1,2,5,False
1,2,1,1,6,False
1,3,1,2,5,False
1,3,1,3,6,False
1,3,1,3,6,False
1,2,2,2,5,False
2,4,1,2,5,False
3,24,1,2,6,False
1,9,1,6,5,False
2,9,1,2,8,False
3,7,1,2,15,False
1,6,1,1,7,False
1,9,1,1,4,False
1,9,2,2,4,False
1,7,2,2,5,False
1,6,1,1,9,False
1,5,1,1,9,False
1,5,2,1,6,False
1,5,1,2,5,True
