Sarah Lewis,Michel Laberge,Hamish Jolly,James Patten,Iraola,isPartial
44,0,0,15,15,False
51,15,0,0,44,False
71,0,0,0,18,False
28,0,0,14,42,False
30,0,0,12,30,False
53,0,0,0,42,False
31,0,0,0,25,False
35,0,0,0,58,False
75,0,0,11,32,False
55,0,0,0,11,False
49,11,0,11,11,False
41,0,0,10,36,False
27,0,0,18,22,False
52,0,0,0,23,False
47,0,0,16,12,False
39,9,0,17,18,False
31,0,8,8,23,False
47,8,0,20,16,False
44,0,0,0,20,False
31,0,0,11,8,False
38,0,0,7,28,False
59,0,0,7,39,False
39,7,0,7,39,False
57,0,0,16,22,False
36,0,0,11,14,False
35,6,0,6,20,False
42,5,0,10,40,False
51,0,0,11,19,False
32,0,0,5,32,False
41,0,0,5,21,False
48,0,0,0,28,False
28,0,0,0,21,False
20,0,0,7,18,False
49,4,0,8,16,False
44,0,0,4,24,False
39,0,0,4,39,False
32,4,0,9,29,False
32,0,0,4,38,False
33,3,0,10,35,False
35,0,3,7,17,False
45,3,0,12,24,False
40,0,0,0,25,False
44,0,0,6,12,False
25,3,0,6,23,False
39,3,0,8,28,False
35,3,0,5,33,False
38,0,0,0,17,False
40,3,0,5,29,False
40,2,0,2,22,False
43,0,0,2,30,False
52,0,0,0,23,False
61,4,2,2,36,False
52,0,0,5,26,False
64,2,0,6,18,False
59,0,0,4,22,False
49,0,0,0,41,False
59,2,2,5,35,False
67,4,0,5,33,False
69,2,0,4,31,False
57,2,0,5,31,False
42,2,0,3,29,False
54,4,0,5,30,False
53,2,0,6,29,False
46,2,0,5,31,False
49,2,0,4,32,False
35,0,0,3,23,False
46,0,0,5,27,False
50,0,0,5,29,False
41,0,0,4,39,False
50,0,0,3,36,False
43,1,0,3,33,False
38,0,0,3,33,False
41,1,0,1,39,False
30,1,0,3,24,False
34,0,0,2,21,False
43,1,0,1,28,False
48,1,0,1,30,False
45,0,0,1,28,False
43,0,0,2,18,False
39,1,0,4,26,False
41,3,0,1,31,False
31,1,0,3,32,False
43,2,0,4,41,False
48,2,1,4,31,False
42,1,0,3,26,False
36,1,0,4,31,False
34,0,0,4,36,False
45,1,0,5,28,False
48,1,0,2,33,False
43,5,0,2,28,False
51,1,0,2,25,False
43,2,0,2,33,False
39,1,0,4,32,False
34,1,0,3,25,False
36,2,0,2,28,False
38,0,1,2,25,False
58,1,0,3,22,False
31,1,0,3,27,False
28,1,1,1,52,False
31,1,0,1,28,False
31,1,0,4,37,False
28,0,0,3,26,False
25,1,1,3,24,False
31,1,0,2,23,False
37,1,0,2,23,False
37,1,0,1,23,False
35,1,1,3,21,False
39,0,0,2,24,False
37,1,0,3,28,False
38,1,0,2,29,False
32,1,1,3,20,False
34,1,1,1,24,False
30,1,0,2,23,False
31,0,0,2,24,False
26,1,1,3,22,False
31,1,1,1,23,False
31,1,1,2,24,False
31,1,1,1,24,False
30,1,0,1,25,False
33,1,0,1,26,False
35,1,1,3,22,False
35,1,1,2,24,False
34,1,0,1,27,False
33,4,2,3,20,False
30,2,1,2,20,False
38,1,1,3,21,False
32,2,2,2,22,False
30,1,1,2,30,False
25,1,2,2,33,False
28,2,1,1,28,False
26,1,1,3,29,False
30,1,0,3,19,False
34,0,0,3,22,False
30,1,1,2,27,False
31,0,0,2,33,False
26,1,0,3,36,False
31,1,1,1,100,False
29,2,1,12,40,False
32,1,0,2,49,False
27,0,0,3,35,False
30,0,0,3,28,False
22,2,0,3,23,False
34,2,0,2,19,False
28,1,0,4,19,False
44,0,0,3,24,False
24,1,0,1,19,False
34,1,0,1,22,False
28,1,0,2,20,False
29,1,0,3,24,False
31,0,0,1,25,False
32,2,0,2,27,False
25,0,0,1,16,False
27,0,0,2,22,False
25,1,0,1,24,False
26,0,0,2,29,False
28,1,0,2,19,False
30,1,0,2,19,False
31,1,1,2,21,False
20,1,0,2,21,False
24,0,0,2,19,False
24,1,0,1,17,False
19,1,0,2,19,False
24,1,0,2,17,False
37,1,0,2,14,False
26,2,0,2,15,False
26,0,0,1,14,False
29,0,0,1,15,False
27,0,0,2,12,False
29,1,0,2,16,False
24,1,0,1,20,False
24,1,0,2,17,False
21,1,0,2,14,False
22,1,0,1,18,False
20,0,0,1,16,False
23,0,0,1,17,False
26,0,0,1,17,False
20,0,0,1,17,False
23,0,0,2,19,False
27,1,1,2,16,False
27,0,0,1,17,False
23,0,0,2,15,False
22,0,0,1,17,False
21,0,0,2,15,False
21,0,0,2,15,False
19,0,0,2,21,False
20,0,0,1,15,False
25,0,0,1,19,False
22,0,0,1,18,False
28,2,0,1,16,False
33,0,0,1,16,False
29,0,0,2,17,False
23,0,0,1,17,False
24,1,0,1,25,False
25,1,0,1,50,False
20,0,0,1,21,False
20,0,0,1,13,False
25,0,0,1,12,False
23,0,0,1,18,False
28,0,0,2,31,False
27,1,0,1,26,False
25,0,0,1,19,False
34,0,0,1,16,True
