Bryan Stevenson,Andrew Stanton,James Hansen,Jennifer Pahlka,Iraola,isPartial
4,15,8,0,8,False
4,11,10,0,11,False
0,20,13,0,5,False
0,16,12,0,9,False
0,3,11,0,8,False
3,3,0,0,10,False
0,7,6,0,8,False
3,3,5,0,12,False
3,12,7,0,9,False
0,9,11,0,6,False
3,6,10,0,4,False
3,4,7,0,10,False
0,4,11,3,8,False
3,4,7,0,7,False
0,6,7,0,5,False
3,0,10,0,5,False
0,2,10,2,5,False
0,0,10,0,4,False
2,5,5,0,5,False
2,4,7,0,4,False
3,3,9,0,9,False
2,2,6,0,9,False
0,4,7,2,8,False
2,3,8,0,7,False
2,4,19,0,5,False
2,3,27,0,6,False
1,3,16,0,11,False
5,4,9,0,6,False
2,3,12,1,7,False
0,2,7,0,8,False
3,2,13,0,9,False
1,2,6,0,7,False
4,2,10,0,6,False
0,3,9,0,6,False
1,3,11,0,6,False
1,0,6,0,9,False
0,2,7,0,7,False
1,2,13,0,9,False
2,1,10,0,10,False
3,2,10,0,6,False
3,5,6,0,7,False
1,2,9,0,8,False
1,3,10,0,5,False
2,2,10,1,6,False
1,1,14,0,9,False
1,3,11,0,8,False
1,3,9,0,5,False
1,1,9,0,8,False
1,3,12,1,7,False
1,2,10,0,8,False
3,3,8,1,8,False
1,3,16,1,9,False
2,3,10,0,9,False
1,9,24,0,5,False
1,12,11,0,6,False
1,6,11,0,10,False
1,6,9,1,10,False
1,5,7,0,8,False
1,4,11,0,8,False
1,5,9,0,8,False
1,6,12,0,8,False
2,6,11,0,8,False
0,3,10,0,7,False
1,3,9,0,9,False
1,2,6,0,8,False
1,4,9,0,7,False
1,3,12,0,7,False
0,2,6,0,8,False
1,2,9,0,11,False
1,4,8,0,9,False
1,3,8,0,9,False
1,3,24,0,9,False
1,3,12,0,10,False
1,4,9,0,7,False
1,2,9,0,7,False
2,3,8,0,8,False
2,4,7,0,8,False
6,3,8,1,8,False
1,2,7,0,5,False
0,3,7,0,7,False
1,2,7,0,10,False
2,3,6,0,10,False
1,2,7,0,12,False
1,3,7,0,8,False
1,2,9,0,8,False
1,3,5,0,9,False
1,2,5,0,11,False
1,3,7,0,9,False
1,2,8,0,9,False
1,3,6,0,8,False
0,5,7,0,7,False
1,2,9,0,10,False
1,3,8,0,10,False
1,4,6,0,7,False
1,3,6,0,8,False
0,4,7,0,7,False
1,4,6,0,7,False
1,6,6,0,7,False
7,23,7,2,16,False
2,6,9,1,8,False
2,6,8,0,12,False
1,5,5,0,8,False
2,5,6,0,7,False
1,5,12,0,7,False
1,5,7,0,7,False
2,3,6,1,7,False
1,4,6,0,6,False
1,4,5,0,7,False
2,4,8,0,7,False
2,4,7,0,7,False
2,4,6,0,6,False
3,5,11,0,7,False
1,3,7,0,6,False
1,4,5,0,6,False
2,4,5,0,7,False
2,4,5,0,7,False
2,4,6,1,8,False
2,3,5,1,7,False
2,3,6,0,7,False
6,4,6,0,7,False
2,3,5,0,7,False
3,3,6,0,7,False
3,4,6,0,8,False
2,4,5,0,5,False
2,3,5,0,6,False
2,3,4,0,6,False
2,3,4,0,6,False
2,3,5,0,9,False
2,3,5,0,9,False
10,3,4,0,8,False
6,4,5,0,8,False
5,3,4,0,6,False
5,3,4,0,6,False
8,3,4,0,7,False
9,4,4,0,9,False
8,4,4,0,11,False
5,4,5,0,30,False
6,4,4,0,12,False
6,3,7,0,14,False
12,3,6,0,10,False
10,4,5,0,8,False
10,3,5,0,7,False
10,4,6,0,6,False
6,3,8,0,6,False
7,3,4,1,7,False
7,3,5,0,5,False
8,4,6,0,6,False
7,3,7,0,6,False
6,3,4,0,8,False
7,9,4,0,7,False
10,5,2,0,8,False
9,4,3,0,5,False
10,3,4,0,6,False
9,3,4,0,7,False
7,4,4,0,8,False
7,3,3,0,6,False
7,3,4,0,5,False
8,4,4,0,6,False
7,3,4,0,5,False
8,3,3,0,5,False
7,3,4,0,6,False
5,2,5,0,5,False
5,3,4,0,5,False
11,2,3,0,4,False
7,3,3,0,4,False
7,8,4,0,4,False
8,9,5,0,5,False
6,4,3,0,3,False
6,3,4,0,5,False
7,3,4,0,5,False
8,2,4,0,5,False
14,13,3,0,4,False
9,3,3,0,5,False
9,3,5,0,5,False
6,3,4,0,4,False
8,3,5,0,5,False
8,4,3,0,5,False
7,3,6,0,6,False
11,3,6,0,4,False
7,3,4,0,5,False
9,3,5,0,4,False
9,3,5,0,5,False
10,2,4,0,5,False
8,3,4,0,5,False
7,3,4,0,6,False
14,2,4,0,5,False
10,3,4,0,5,False
8,3,4,0,6,False
17,2,5,0,4,False
11,3,3,0,5,False
10,2,3,0,5,False
20,4,5,0,4,False
48,3,4,0,7,False
28,3,3,0,14,False
19,3,3,0,6,False
24,4,4,0,4,False
18,3,3,0,4,False
100,3,3,0,5,False
19,3,3,0,8,False
15,3,3,0,8,False
18,2,3,0,6,False
22,2,4,0,5,True
