Corneille Ewango,Torsten Reil,Clay Shirky,Freeman Dyson,Iraola,isPartial
0,16,0,16,24,False
0,16,24,52,47,False
0,0,38,67,29,False
0,0,20,35,30,False
0,0,20,52,30,False
0,13,13,26,26,False
0,0,14,41,27,False
0,13,19,38,50,False
0,0,15,29,27,False
0,0,12,32,24,False
0,0,18,28,12,False
0,0,16,16,17,False
0,0,10,39,23,False
0,10,20,20,31,False
0,0,9,23,23,False
0,0,16,19,29,False
0,0,17,28,20,False
0,0,17,28,28,False
0,0,20,37,26,False
0,0,17,8,17,False
0,0,0,20,30,False
0,0,21,38,28,False
0,7,16,31,21,False
0,14,10,25,28,False
0,0,18,20,18,False
0,0,0,29,21,False
0,0,5,21,36,False
0,0,10,17,21,False
0,0,11,19,35,False
0,0,6,11,35,False
0,0,14,17,34,False
0,0,10,17,22,False
0,0,5,20,25,False
0,0,16,13,22,False
0,0,9,26,26,False
0,0,9,6,26,False
0,0,10,21,22,False
0,0,8,17,26,False
0,0,13,22,28,False
0,0,4,15,25,False
0,3,6,18,31,False
0,0,7,18,26,False
0,0,7,19,29,False
0,0,3,50,25,False
0,0,6,21,33,False
0,0,12,24,21,False
0,0,9,27,27,False
0,0,3,11,27,False
0,0,8,24,24,False
0,0,9,20,21,False
0,2,16,20,27,False
0,2,33,18,27,False
0,0,22,26,30,False
0,0,22,29,19,False
0,2,20,36,16,False
0,2,17,19,35,False
0,3,20,12,36,False
0,0,17,8,32,False
0,0,16,15,36,False
0,0,16,15,32,False
0,2,15,21,28,False
0,0,16,15,28,False
0,0,30,74,27,False
0,0,18,44,35,False
0,3,19,22,30,False
0,2,36,17,33,False
0,0,27,19,30,False
0,2,25,33,35,False
0,2,22,23,40,False
0,0,20,24,33,False
0,0,23,28,39,False
0,0,14,33,36,False
0,2,21,19,36,False
0,1,27,13,24,False
0,1,23,16,31,False
0,3,25,12,27,False
0,3,20,13,26,False
0,1,36,15,32,False
0,1,35,16,21,False
0,0,22,13,25,False
0,1,20,13,28,False
0,0,22,8,34,False
0,0,22,24,46,False
0,1,28,18,37,False
0,0,24,10,33,False
0,1,24,20,45,False
0,0,22,22,43,False
0,1,20,14,36,False
0,1,18,20,40,False
0,0,16,15,34,False
0,1,13,18,26,False
0,2,13,12,38,False
0,1,13,18,38,False
0,2,17,13,31,False
0,1,19,14,27,False
0,0,11,16,24,False
0,1,37,13,29,False
0,1,18,15,35,False
0,0,14,14,52,False
0,1,21,14,33,False
0,0,15,14,52,False
0,1,12,15,24,False
0,1,10,12,25,False
0,1,11,10,27,False
0,1,16,13,28,False
0,1,18,17,23,False
0,0,19,19,26,False
0,1,12,11,27,False
0,0,13,10,26,False
0,0,10,13,25,False
0,1,15,12,21,False
0,1,14,16,23,False
0,1,8,16,24,False
0,0,8,12,24,False
0,0,8,13,24,False
0,1,6,16,29,False
0,1,7,13,29,False
0,1,10,10,25,False
0,1,13,17,27,False
0,0,7,15,26,False
0,2,7,17,26,False
0,1,8,16,29,False
0,1,11,17,28,False
0,0,9,23,24,False
0,0,7,18,27,False
0,1,7,10,25,False
0,0,5,12,26,False
0,1,6,12,34,False
0,1,10,12,38,False
0,1,13,11,29,False
0,1,8,11,29,False
0,1,5,18,23,False
0,1,5,15,26,False
0,1,7,18,27,False
0,1,3,15,36,False
0,1,6,19,46,False
0,1,5,20,100,False
0,0,4,14,47,False
0,1,3,13,50,False
0,1,6,15,39,False
0,0,4,11,27,False
0,0,6,62,25,False
0,0,7,18,25,False
0,0,4,17,23,False
0,1,5,12,25,False
0,0,7,13,19,False
0,0,4,13,24,False
0,0,5,17,20,False
0,1,5,10,29,False
0,0,3,13,29,False
0,1,4,12,29,False
0,1,3,10,20,False
0,0,3,11,21,False
0,1,5,9,30,False
0,0,6,15,32,False
0,0,3,13,27,False
0,0,3,15,17,False
0,1,4,12,20,False
0,0,4,14,19,False
0,0,4,12,19,False
0,0,4,12,22,False
0,0,3,12,19,False
0,0,2,9,18,False
0,0,3,10,19,False
0,0,2,10,17,False
0,0,4,10,19,False
0,1,4,14,17,False
0,0,3,11,12,False
0,1,3,15,18,False
0,0,5,13,19,False
0,1,3,13,17,False
0,0,3,19,15,False
0,1,2,14,20,False
0,0,2,12,18,False
0,0,3,9,17,False
0,0,3,13,20,False
0,1,3,9,21,False
0,0,5,10,21,False
0,0,2,11,20,False
0,0,2,10,20,False
0,1,3,7,17,False
0,0,2,19,19,False
0,0,3,10,16,False
0,0,2,11,18,False
0,0,2,17,17,False
0,0,2,9,18,False
0,1,1,14,23,False
0,0,2,12,20,False
0,0,3,10,20,False
0,0,2,12,17,False
0,0,2,10,18,False
0,0,2,13,17,False
0,0,2,9,29,False
0,0,2,62,53,False
0,1,2,72,21,False
0,0,2,28,16,False
0,0,2,18,17,False
0,1,2,13,15,False
0,0,1,13,34,False
0,0,2,11,29,False
0,0,3,13,22,False
0,0,2,9,19,True
