Marco Tempest,Svante Pääbo,Julia Bacha,Skylar Tibbits,Iraola,isPartial
0,0,0,0,28,False
14,0,14,0,37,False
0,0,0,0,17,False
0,0,13,0,31,False
0,0,0,0,27,False
0,0,11,0,35,False
0,0,0,0,28,False
0,0,0,0,39,False
10,10,0,0,31,False
0,11,0,0,21,False
0,11,0,0,14,False
0,10,0,0,33,False
0,0,9,0,26,False
0,9,0,0,23,False
8,0,0,0,18,False
0,0,0,0,17,False
10,0,0,0,17,False
0,7,0,0,15,False
15,0,0,0,15,False
22,0,7,0,15,False
7,7,7,0,29,False
6,6,0,0,31,False
6,6,0,0,27,False
12,6,0,0,23,False
8,5,0,0,16,False
6,6,0,0,20,False
5,5,0,0,38,False
0,0,0,0,19,False
5,5,5,0,25,False
7,0,0,0,26,False
5,0,0,0,29,False
17,5,0,0,24,False
16,9,0,0,20,False
21,4,0,0,20,False
4,6,0,0,21,False
8,4,4,0,32,False
7,7,0,0,23,False
15,0,0,0,30,False
10,3,3,0,34,False
4,0,3,0,21,False
6,3,0,0,22,False
6,3,3,0,28,False
6,0,0,0,16,False
5,6,3,3,21,False
12,4,0,0,30,False
3,5,2,2,27,False
2,3,0,2,16,False
4,0,0,0,26,False
3,2,2,0,22,False
2,0,5,2,27,False
3,0,2,0,26,False
4,2,2,0,32,False
6,2,0,2,29,False
14,0,0,0,18,False
5,2,2,0,21,False
3,4,0,0,34,False
4,0,0,2,33,False
3,2,2,0,29,False
4,0,0,2,28,False
7,3,0,2,27,False
3,3,0,0,28,False
2,5,0,0,29,False
4,3,3,2,23,False
2,2,2,2,29,False
3,2,2,2,28,False
2,2,0,2,23,False
4,3,0,2,25,False
3,2,0,0,26,False
2,2,0,0,37,False
4,1,4,1,32,False
3,1,0,0,32,False
3,1,0,0,32,False
3,1,0,0,35,False
1,1,2,1,23,False
2,7,1,0,25,False
1,0,2,0,26,False
2,6,3,0,26,False
4,3,3,0,27,False
2,1,2,0,18,False
4,0,1,1,23,False
1,3,1,0,33,False
1,2,4,0,33,False
2,3,1,1,41,False
3,3,1,0,29,False
1,1,2,0,26,False
1,1,1,2,31,False
2,1,0,1,39,False
1,1,2,0,29,False
3,1,1,1,31,False
11,1,1,0,28,False
2,1,2,1,24,False
14,2,1,0,34,False
10,4,7,5,32,False
7,3,4,2,25,False
16,2,2,1,27,False
8,2,3,1,23,False
5,1,1,2,24,False
3,1,4,1,25,False
9,1,2,1,55,False
7,1,1,1,27,False
9,2,1,1,39,False
5,2,1,1,26,False
7,1,1,2,24,False
4,2,1,1,24,False
6,1,1,1,25,False
8,2,1,2,25,False
7,1,1,1,20,False
5,2,2,1,24,False
5,3,1,1,25,False
5,1,2,1,25,False
4,2,1,2,21,False
3,2,1,9,25,False
2,1,2,2,21,False
4,1,2,3,22,False
2,1,1,1,23,False
2,1,1,2,23,False
3,1,1,2,25,False
3,2,1,2,24,False
3,2,1,2,24,False
3,2,0,1,24,False
4,1,0,1,24,False
2,1,0,2,23,False
6,2,1,2,26,False
2,3,0,1,18,False
3,1,1,2,21,False
2,2,1,2,19,False
3,2,2,1,20,False
2,8,1,2,29,False
2,2,2,1,30,False
2,3,0,1,26,False
3,16,1,2,26,False
1,3,2,2,19,False
2,1,0,1,22,False
1,3,1,2,25,False
3,2,1,1,31,False
2,1,0,1,36,False
1,1,0,1,100,False
2,1,1,2,40,False
2,1,0,1,48,False
1,1,0,0,33,False
3,1,1,2,27,False
2,3,0,1,22,False
1,3,0,2,20,False
2,7,0,1,22,False
1,1,0,1,24,False
1,2,0,1,18,False
1,1,0,1,21,False
1,1,0,1,20,False
1,1,1,1,26,False
1,1,1,0,24,False
1,0,0,0,27,False
1,1,1,1,16,False
0,1,1,1,22,False
1,2,1,1,22,False
1,1,0,2,27,False
1,1,1,1,20,False
1,1,0,1,17,False
1,2,0,1,19,False
1,1,1,0,18,False
1,1,1,2,17,False
0,1,1,1,19,False
1,1,1,1,18,False
1,1,0,1,17,False
1,1,0,1,15,False
1,1,1,0,14,False
0,2,0,1,14,False
1,1,1,0,15,False
1,2,0,1,11,False
1,1,1,0,16,False
1,1,0,1,18,False
2,1,0,1,17,False
1,1,1,1,12,False
1,1,0,1,16,False
1,2,0,1,17,False
1,1,1,1,15,False
1,2,0,1,16,False
0,3,1,1,17,False
1,3,0,1,19,False
1,2,0,1,15,False
1,2,0,0,15,False
1,2,0,0,15,False
1,1,1,1,18,False
1,1,0,1,15,False
1,2,1,1,16,False
1,0,1,0,19,False
1,1,0,1,15,False
0,1,0,0,19,False
1,1,0,0,19,False
0,1,1,1,15,False
1,1,0,1,16,False
1,1,0,0,17,False
0,6,0,1,15,False
1,1,0,0,25,False
1,0,1,1,46,False
1,1,0,0,20,False
1,1,0,1,13,False
0,1,1,1,13,False
1,1,1,1,16,False
1,2,0,1,28,False
1,0,0,0,26,False
1,1,0,0,19,False
1,1,0,0,16,True
