David Christian,Dave Meslin,Roger Ebert,Marcin Jakubowski,Iraola,isPartial
8,0,47,0,1,False
10,0,53,0,1,False
9,0,40,0,0,False
8,0,41,0,1,False
7,0,41,0,1,False
8,0,46,0,1,False
8,0,50,0,1,False
7,0,52,0,1,False
8,0,32,0,1,False
9,0,37,0,1,False
8,0,36,0,0,False
7,0,36,0,1,False
8,0,33,0,1,False
8,0,33,0,1,False
7,0,25,0,0,False
9,0,31,0,0,False
8,0,39,0,0,False
8,0,37,0,0,False
7,0,40,0,0,False
7,0,38,0,0,False
7,0,30,0,1,False
8,0,29,0,1,False
8,0,33,0,1,False
7,0,40,0,1,False
7,0,32,0,0,False
7,0,25,0,1,False
6,0,28,0,1,False
6,0,27,0,1,False
6,0,28,0,1,False
7,0,30,0,1,False
7,0,37,0,1,False
7,0,27,0,1,False
6,0,20,0,1,False
6,0,22,0,1,False
6,0,21,0,1,False
5,0,22,0,1,False
6,0,18,0,1,False
5,0,15,0,1,False
6,0,14,0,1,False
5,0,18,0,1,False
6,0,13,0,1,False
5,0,13,0,1,False
5,0,15,0,0,False
5,0,14,0,1,False
6,0,13,0,1,False
6,0,13,0,1,False
6,0,15,0,0,False
4,0,18,0,1,False
5,0,16,0,1,False
6,0,14,0,1,False
6,0,12,0,1,False
5,0,13,0,1,False
6,0,14,0,1,False
4,0,14,0,1,False
6,0,19,0,1,False
5,0,13,0,1,False
5,0,15,0,1,False
5,0,14,0,1,False
5,0,13,0,1,False
6,0,18,0,1,False
5,0,16,0,1,False
7,0,17,0,1,False
5,0,15,0,1,False
5,0,15,0,1,False
5,0,17,0,1,False
5,0,18,0,1,False
5,0,17,0,1,False
5,0,19,0,1,False
6,0,14,0,1,False
6,0,15,0,1,False
5,0,16,0,1,False
5,0,19,0,1,False
5,0,19,0,1,False
5,0,31,0,1,False
5,0,54,0,1,False
5,0,19,0,1,False
5,0,22,0,1,False
5,0,20,0,1,False
5,0,25,0,1,False
5,0,21,0,1,False
5,0,22,0,1,False
4,0,16,0,1,False
4,0,16,0,1,False
4,0,21,0,1,False
5,0,34,0,1,False
5,0,17,0,1,False
4,0,18,0,1,False
5,0,21,1,1,False
4,0,18,0,1,False
4,0,48,0,1,False
4,0,22,0,1,False
4,0,17,0,1,False
4,0,21,0,1,False
4,0,15,0,1,False
4,0,17,0,1,False
4,0,18,0,1,False
4,0,17,0,1,False
4,0,15,0,1,False
4,0,15,0,2,False
4,0,13,0,1,False
4,0,14,0,1,False
4,0,16,0,1,False
4,0,17,0,1,False
4,0,13,0,1,False
4,0,13,0,1,False
4,0,12,0,1,False
4,0,13,1,1,False
4,0,18,0,1,False
4,0,14,0,1,False
4,0,12,0,1,False
4,0,11,0,1,False
4,0,100,0,1,False
4,0,9,0,1,False
4,0,9,0,1,False
4,0,8,0,1,False
4,0,7,0,1,False
4,0,6,0,1,False
4,0,6,0,1,False
4,0,6,0,1,False
4,0,8,0,1,False
4,0,8,0,1,False
4,0,6,0,1,False
4,0,6,0,1,False
5,0,6,0,1,False
4,0,5,0,1,False
4,0,6,0,1,False
4,0,9,0,1,False
4,0,6,0,1,False
4,0,5,0,1,False
4,0,5,0,1,False
4,0,5,0,1,False
4,0,9,0,1,False
4,0,14,0,1,False
4,0,6,0,1,False
4,0,6,0,1,False
4,0,6,0,1,False
4,0,6,0,3,False
4,0,5,0,1,False
4,0,5,0,1,False
4,0,6,0,1,False
4,0,5,0,1,False
6,0,5,0,1,False
3,0,5,0,1,False
4,0,6,0,1,False
5,0,5,0,1,False
3,0,5,0,1,False
3,0,4,0,1,False
3,0,5,0,1,False
3,0,4,0,1,False
4,0,4,0,1,False
3,0,4,0,1,False
3,0,4,0,0,False
3,0,4,0,1,False
3,0,4,0,1,False
3,0,4,0,1,False
3,0,5,0,1,False
3,0,5,0,0,False
3,0,4,0,1,False
4,0,4,0,0,False
3,0,4,0,0,False
3,0,4,0,1,False
3,0,4,0,1,False
3,0,5,0,0,False
3,0,4,0,0,False
3,0,4,0,0,False
3,0,4,0,0,False
3,0,4,0,0,False
3,0,5,0,0,False
3,0,4,0,0,False
3,0,4,0,1,False
3,0,4,0,0,False
3,0,4,0,0,False
3,0,3,0,0,False
3,0,3,0,0,False
2,0,3,0,0,False
3,0,4,0,0,False
3,0,3,0,0,False
3,0,3,0,1,False
3,0,3,0,0,False
3,0,4,0,0,False
3,0,4,0,0,False
3,0,3,0,1,False
3,0,3,0,0,False
3,0,3,0,0,False
2,0,3,0,1,False
2,0,3,0,0,False
2,0,3,0,1,False
3,0,3,0,1,False
2,0,3,0,0,False
2,0,4,0,0,False
3,0,3,0,0,False
2,0,4,0,0,False
2,0,3,0,1,False
2,0,3,0,1,False
2,0,3,0,1,False
2,0,4,0,0,False
2,0,4,0,0,False
2,0,3,0,0,False
2,0,3,0,1,False
2,0,4,0,1,False
2,0,3,0,1,False
2,0,3,0,0,True
