Kio Stark,Jonathan Tepperman,David Camarillo,Franz Freudenthal,Iraola,isPartial
0,14,14,0,28,False
0,0,0,0,37,False
0,0,0,0,17,False
0,0,13,0,31,False
0,0,0,0,27,False
0,0,11,0,35,False
12,0,12,0,28,False
0,0,11,0,39,False
0,0,10,0,31,False
0,0,0,0,21,False
0,0,11,0,14,False
0,0,0,0,33,False
0,9,9,0,26,False
0,0,0,0,23,False
0,0,0,0,18,False
0,8,0,0,17,False
0,0,11,0,17,False
0,0,7,0,15,False
0,0,8,0,15,False
0,0,7,0,15,False
0,0,7,7,29,False
0,6,6,0,31,False
0,0,6,0,27,False
0,6,6,0,23,False
0,0,0,0,16,False
0,0,6,0,20,False
0,0,0,0,38,False
0,0,5,0,19,False
0,5,5,5,25,False
0,0,0,0,26,False
0,5,5,0,29,False
0,0,5,0,24,False
0,4,9,0,20,False
0,0,4,0,20,False
4,0,6,0,21,False
0,0,0,0,32,False
0,0,5,0,23,False
0,0,0,0,30,False
0,0,3,0,34,False
0,0,3,0,21,False
0,3,9,0,22,False
0,0,3,0,28,False
0,0,0,3,16,False
3,3,3,0,21,False
3,3,4,0,30,False
0,0,12,0,27,False
0,0,2,0,16,False
0,0,5,0,26,False
0,0,3,0,22,False
0,2,12,0,27,False
0,0,4,0,26,False
0,2,4,0,32,False
0,0,3,2,29,False
0,2,13,0,18,False
0,2,7,0,21,False
0,2,5,0,34,False
0,0,6,0,33,False
0,0,4,0,29,False
0,2,4,0,28,False
0,0,2,0,27,False
0,0,2,0,28,False
0,0,3,0,29,False
0,0,3,0,23,False
0,2,4,0,29,False
0,0,2,0,28,False
0,2,2,0,23,False
0,0,2,0,25,False
0,2,4,0,26,False
1,1,3,0,37,False
1,0,5,0,32,False
0,0,3,0,32,False
0,1,2,0,32,False
0,1,3,0,35,False
0,1,3,0,23,False
0,0,2,0,25,False
0,1,2,0,26,False
1,2,3,0,26,False
0,0,2,0,27,False
0,0,2,0,18,False
0,1,5,0,23,False
1,0,2,1,33,False
0,0,3,0,33,False
0,0,3,0,41,False
0,0,2,1,29,False
1,2,1,0,26,False
0,0,2,0,31,False
1,0,3,0,39,False
0,1,2,0,29,False
0,1,2,0,31,False
2,0,3,0,28,False
1,0,1,0,24,False
1,0,2,0,34,False
1,0,3,0,32,False
2,1,1,0,25,False
1,1,2,0,27,False
1,0,3,0,23,False
1,0,3,0,24,False
1,1,2,0,25,False
0,0,3,0,55,False
0,1,1,0,27,False
1,0,1,0,39,False
0,1,2,0,26,False
1,0,2,0,24,False
0,0,2,0,24,False
1,0,2,0,25,False
1,1,2,0,25,False
1,0,2,1,20,False
1,0,2,0,24,False
1,1,2,0,25,False
1,1,3,0,25,False
0,1,2,0,21,False
2,1,2,0,25,False
2,1,3,0,21,False
1,1,3,1,22,False
1,1,2,0,23,False
1,1,2,0,23,False
1,1,2,1,25,False
1,1,3,1,24,False
1,1,2,1,24,False
1,1,2,0,24,False
1,1,1,0,24,False
0,0,2,0,23,False
0,1,2,0,26,False
1,0,1,0,18,False
0,0,1,0,21,False
1,0,2,0,19,False
1,0,1,1,20,False
0,0,2,1,29,False
1,1,2,0,30,False
1,0,2,0,26,False
1,0,1,1,26,False
0,0,2,1,19,False
1,1,2,0,22,False
1,1,1,1,25,False
0,0,2,1,31,False
1,0,1,0,36,False
1,0,1,0,100,False
0,0,1,0,40,False
0,0,1,0,48,False
0,0,2,0,33,False
1,0,1,0,27,False
0,0,2,1,22,False
0,0,1,0,20,False
0,0,2,0,22,False
1,0,1,1,24,False
1,0,1,0,18,False
0,1,1,0,21,False
1,0,1,0,20,False
0,1,1,0,26,False
0,1,2,0,24,False
1,1,2,0,27,False
2,0,1,0,16,False
5,3,3,2,22,False
2,1,3,1,22,False
2,1,3,0,27,False
1,1,1,0,20,False
2,1,2,0,17,False
2,1,1,0,19,False
1,1,2,0,18,False
1,1,2,1,17,False
0,1,1,1,19,False
1,1,1,0,18,False
1,1,1,0,17,False
0,0,2,0,15,False
0,1,3,0,14,False
1,0,1,0,14,False
1,0,2,1,15,False
1,1,2,0,11,False
0,0,2,0,16,False
0,1,1,0,18,False
1,0,1,0,17,False
0,1,2,0,12,False
0,1,1,0,16,False
1,1,1,0,17,False
1,1,1,0,15,False
1,0,2,0,16,False
1,1,1,0,17,False
0,1,1,0,19,False
1,1,2,1,15,False
0,1,1,0,15,False
1,1,1,0,15,False
1,0,1,0,18,False
1,0,1,0,15,False
0,1,1,0,16,False
0,0,1,0,19,False
0,1,1,0,15,False
1,0,1,1,19,False
1,1,1,0,19,False
1,0,2,0,15,False
1,0,2,0,16,False
1,1,1,0,17,False
1,0,2,0,15,False
1,0,1,0,25,False
1,0,1,0,46,False
0,0,1,0,20,False
0,0,1,0,13,False
0,0,1,0,13,False
1,0,1,0,16,False
0,0,1,1,28,False
0,0,1,0,26,False
1,0,2,0,19,False
0,0,2,0,16,True
