Jamila Raqib,Andrew Pelling,Tristan Harris,Gill Hicks,Iraola,isPartial
0,9,17,8,17,False
0,8,0,0,23,False
0,0,0,0,10,False
0,0,0,0,19,False
0,7,0,7,16,False
0,7,0,0,21,False
0,0,11,0,17,False
0,0,0,0,24,False
0,0,0,0,19,False
0,0,6,6,13,False
0,10,0,0,9,False
0,6,0,0,20,False
0,0,0,0,16,False
0,6,6,6,14,False
0,0,0,0,11,False
0,5,5,0,10,False
0,9,4,0,11,False
0,11,0,0,9,False
0,5,5,5,9,False
0,7,4,4,9,False
0,4,0,4,18,False
0,6,0,4,19,False
0,4,0,4,17,False
0,4,4,15,14,False
0,0,0,3,10,False
0,0,0,3,12,False
0,3,0,3,23,False
0,0,0,3,11,False
0,4,6,3,15,False
0,0,3,5,16,False
0,0,3,6,18,False
0,3,0,3,15,False
0,3,3,3,12,False
0,4,2,0,12,False
0,2,2,2,13,False
0,2,2,2,20,False
2,4,0,8,14,False
0,3,0,3,19,False
0,2,4,2,21,False
0,2,0,7,13,False
0,2,0,5,13,False
0,0,2,4,17,False
0,2,2,8,10,False
0,5,0,5,13,False
0,13,3,3,18,False
0,5,0,2,16,False
0,2,3,1,10,False
0,4,3,2,16,False
0,2,1,7,14,False
1,4,1,2,16,False
0,1,2,3,16,False
0,2,1,4,19,False
0,4,1,1,18,False
0,1,1,3,11,False
0,0,0,7,13,False
0,3,1,3,21,False
0,0,1,2,20,False
0,2,2,2,17,False
0,1,1,2,17,False
0,3,1,2,16,False
0,1,1,2,17,False
0,3,1,2,17,False
0,1,1,3,14,False
0,0,0,2,18,False
0,1,1,2,17,False
0,1,1,1,14,False
0,1,1,2,15,False
0,0,1,3,16,False
0,1,1,3,23,False
0,1,1,3,19,False
0,2,2,1,19,False
0,1,1,2,19,False
0,2,2,2,21,False
0,1,1,2,14,False
0,2,1,1,15,False
0,3,1,1,16,False
0,3,1,2,16,False
0,1,0,2,16,False
0,0,1,5,11,False
0,1,1,1,14,False
0,1,1,1,20,False
0,1,2,1,20,False
0,1,1,1,25,False
0,1,2,5,18,False
0,1,1,3,16,False
1,1,1,2,19,False
0,1,1,3,24,False
0,0,1,5,18,False
0,1,1,4,19,False
0,1,1,3,17,False
0,1,1,5,14,False
0,1,1,4,21,False
0,0,1,6,20,False
0,0,1,3,15,False
1,1,1,4,16,False
1,0,1,4,14,False
1,1,2,4,15,False
0,1,1,3,15,False
0,0,1,3,33,False
0,0,2,3,17,False
1,0,2,3,24,False
0,0,2,3,16,False
0,0,1,3,15,False
0,1,2,3,14,False
1,1,1,2,15,False
0,0,1,3,15,False
0,1,1,3,12,False
0,1,1,3,15,False
0,1,1,3,15,False
0,0,1,3,15,False
0,1,1,5,13,False
0,0,2,2,15,False
0,1,1,1,13,False
0,1,1,2,13,False
0,0,1,2,14,False
0,0,2,2,14,False
0,0,0,1,16,False
0,1,1,1,15,False
0,0,1,2,15,False
0,0,1,2,15,False
1,0,1,1,15,False
1,1,1,1,14,False
1,0,1,1,16,False
0,0,1,1,11,False
0,1,1,1,13,False
0,0,1,1,12,False
0,1,1,2,12,False
0,0,1,1,18,False
0,0,1,1,19,False
0,0,1,2,16,False
0,1,1,2,16,False
0,1,1,2,12,False
0,0,1,1,13,False
0,0,1,1,15,False
0,0,1,1,19,False
0,1,1,1,22,False
0,0,2,1,61,False
0,0,2,2,24,False
0,0,2,8,29,False
1,0,1,1,20,False
0,0,1,1,17,False
0,0,2,1,14,False
0,0,1,1,12,False
0,0,1,1,13,False
0,0,1,1,15,False
0,1,1,1,11,False
1,1,1,1,13,False
0,0,1,1,12,False
1,1,2,1,16,False
1,1,4,1,15,False
0,1,2,1,16,False
0,1,2,1,10,False
0,1,2,1,13,False
1,0,3,1,14,False
0,1,3,1,17,False
0,0,2,0,12,False
1,1,3,1,11,False
1,0,3,1,12,False
1,1,2,1,11,False
1,0,14,1,11,False
0,1,6,0,12,False
0,1,14,1,11,False
0,0,6,1,10,False
0,1,6,1,9,False
0,0,6,1,8,False
0,0,7,0,9,False
0,1,5,0,9,False
0,0,5,0,7,False
0,1,7,0,10,False
0,0,11,1,11,False
0,0,7,0,11,False
0,0,7,0,8,False
0,0,5,1,10,False
0,1,5,1,10,False
0,0,4,9,9,False
0,0,4,1,10,False
0,0,4,1,10,False
0,0,6,0,11,False
0,0,5,1,9,False
0,0,4,0,9,False
0,0,5,1,9,False
0,0,7,1,11,False
0,0,7,1,9,False
0,0,10,1,10,False
0,0,7,1,12,False
0,0,5,1,9,False
0,0,5,1,11,False
0,0,5,1,12,False
0,0,8,1,9,False
0,0,5,1,10,False
0,0,4,1,10,False
0,0,4,1,9,False
0,0,6,1,15,False
0,0,4,1,28,False
0,0,4,1,12,False
0,0,4,0,8,False
0,0,4,0,8,False
0,0,3,0,10,False
0,0,3,1,17,False
0,0,4,0,16,False
0,0,100,1,11,False
0,0,57,0,10,True
