Michael Merzenich,Sarah Jones,Laurie Garrett,Sean Gourley,Iraola,isPartial
0,17,1,0,1,False
0,16,1,0,2,False
0,15,1,1,1,False
1,15,1,0,2,False
1,13,1,0,2,False
0,11,0,0,1,False
1,11,0,0,1,False
1,12,1,0,2,False
1,11,0,0,1,False
0,8,0,0,1,False
1,13,1,1,1,False
0,10,1,0,1,False
0,8,1,0,1,False
0,12,1,0,2,False
0,9,1,0,1,False
0,8,1,0,1,False
0,6,1,0,1,False
0,8,1,0,1,False
0,5,1,0,1,False
0,7,1,0,1,False
0,7,1,0,1,False
0,8,0,0,1,False
0,7,1,0,1,False
0,5,1,0,1,False
0,10,0,0,1,False
0,9,0,0,1,False
0,7,0,0,2,False
0,7,1,0,1,False
0,7,0,0,2,False
0,7,0,0,2,False
0,6,1,0,2,False
0,5,0,0,1,False
0,5,1,0,1,False
0,5,0,0,1,False
0,6,1,0,1,False
0,6,0,0,1,False
0,8,0,0,1,False
0,6,1,0,1,False
0,8,0,0,1,False
0,5,1,0,1,False
0,3,0,0,2,False
0,7,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,6,1,0,2,False
0,6,0,0,1,False
0,6,0,0,1,False
0,5,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
1,5,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,5,0,0,2,False
0,7,0,0,2,False
0,7,0,0,2,False
0,6,0,0,2,False
0,5,0,0,2,False
0,5,0,0,1,False
0,5,0,0,1,False
0,6,0,0,1,False
0,7,1,0,2,False
1,5,1,0,1,False
0,5,0,0,2,False
0,6,0,0,2,False
0,6,0,0,2,False
0,6,0,0,2,False
0,8,0,0,2,False
0,7,0,0,2,False
0,8,0,0,2,False
0,6,0,0,2,False
0,5,0,0,1,False
0,6,0,0,2,False
0,8,0,0,1,False
0,7,0,0,1,False
0,6,0,0,2,False
0,7,0,0,1,False
0,9,0,0,1,False
0,7,0,0,1,False
0,6,0,0,2,False
0,6,0,0,2,False
0,7,0,0,2,False
0,7,0,0,2,False
0,6,0,0,2,False
0,5,0,0,2,False
0,7,0,0,2,False
0,7,0,0,2,False
0,7,0,0,2,False
0,6,0,0,1,False
0,6,0,0,2,False
0,6,0,0,2,False
0,6,0,0,2,False
0,8,0,0,1,False
0,8,0,0,1,False
0,29,0,0,1,False
0,19,0,0,2,False
0,34,0,0,3,False
0,31,0,0,2,False
0,11,0,0,3,False
0,8,0,0,1,False
0,13,0,0,1,False
0,10,0,0,1,False
0,8,0,0,1,False
0,65,0,0,1,False
0,11,0,0,1,False
0,11,0,0,1,False
0,19,0,0,1,False
0,10,0,0,1,False
0,8,0,0,1,False
0,9,0,0,1,False
0,9,0,0,1,False
0,9,0,0,1,False
0,13,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,8,0,0,1,False
0,8,0,0,1,False
0,6,0,0,1,False
0,65,0,0,1,False
0,100,0,0,1,False
0,37,0,0,1,False
0,17,0,0,1,False
0,16,0,0,1,False
0,14,0,0,1,False
0,14,0,0,2,False
0,11,0,0,2,False
0,19,1,0,1,False
0,14,0,0,1,False
0,10,0,0,1,False
0,11,0,0,1,False
0,11,0,0,1,False
0,12,0,0,2,False
0,10,0,0,2,False
0,9,0,0,5,False
0,9,0,0,2,False
0,9,0,0,2,False
0,9,0,0,2,False
0,8,0,0,1,False
0,7,0,0,1,False
0,8,0,0,1,False
0,10,0,0,1,False
0,10,0,0,1,False
0,9,0,0,1,False
0,8,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,8,0,0,1,False
0,8,0,0,1,False
0,7,0,0,2,False
0,7,0,0,1,False
0,9,0,0,1,False
0,8,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,8,0,0,1,False
0,8,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,5,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,5,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,6,1,0,3,False
0,6,2,0,1,False
0,7,1,0,1,False
0,8,7,0,1,False
0,7,1,0,1,False
0,7,2,0,2,False
0,7,1,0,1,False
0,8,1,0,1,False
0,8,1,0,1,True
