TED staff,Allan Adams,Bill and Melinda Gates,Jennifer Golbeck,Iraola,isPartial
3,0,16,0,3,False
3,3,20,0,8,False
0,0,18,0,3,False
0,3,18,0,8,False
2,4,13,0,5,False
0,0,12,0,8,False
0,0,40,0,5,False
2,0,21,2,11,False
2,0,22,0,6,False
2,4,19,0,2,False
0,2,15,0,2,False
3,6,26,0,6,False
2,0,28,2,4,False
2,2,13,0,4,False
3,1,15,0,2,False
0,0,19,0,3,False
1,1,20,0,4,False
1,1,21,0,3,False
1,0,20,0,4,False
0,3,13,0,1,False
0,0,15,0,5,False
1,2,21,0,7,False
1,2,23,1,7,False
1,2,27,0,4,False
2,3,21,0,3,False
1,2,22,0,4,False
1,1,16,0,7,False
3,1,27,0,3,False
1,1,17,0,6,False
1,3,100,0,4,False
1,1,54,0,5,False
2,2,40,0,4,False
1,1,29,0,3,False
2,1,28,1,3,False
1,1,28,0,4,False
1,0,30,2,7,False
1,1,26,0,5,False
1,2,27,0,7,False
1,2,22,0,6,False
1,1,22,0,3,False
2,2,22,0,4,False
0,2,23,0,4,False
1,1,22,0,2,False
1,1,18,0,4,False
1,1,14,0,5,False
1,2,17,0,6,False
0,0,14,0,3,False
0,2,16,0,5,False
1,1,22,0,4,False
0,1,15,0,5,False
0,1,21,0,4,False
1,2,21,0,7,False
1,1,15,0,5,False
1,2,21,0,3,False
0,1,19,0,4,False
1,1,17,0,8,False
1,1,18,0,6,False
1,1,17,0,6,False
1,1,19,0,6,False
1,2,16,0,6,False
0,1,18,0,5,False
1,1,20,0,6,False
1,1,17,0,5,False
1,0,16,0,6,False
0,1,15,0,6,False
1,1,16,0,4,False
1,1,16,0,5,False
4,1,13,0,5,False
1,1,13,0,7,False
0,1,20,0,7,False
1,1,18,0,6,False
1,1,15,0,6,False
1,1,22,0,7,False
0,1,16,0,4,False
1,0,16,0,4,False
1,0,16,0,5,False
0,1,14,0,5,False
0,0,16,0,5,False
1,1,12,0,3,False
1,1,16,0,5,False
1,1,15,0,6,False
0,1,21,0,6,False
1,0,15,0,7,False
0,1,12,0,6,False
0,1,13,0,5,False
1,1,14,0,6,False
0,1,15,0,7,False
0,1,14,0,5,False
1,1,12,0,6,False
1,1,13,0,5,False
0,0,12,0,4,False
0,1,11,0,6,False
0,1,12,0,6,False
1,1,14,0,5,False
0,1,13,0,5,False
1,1,10,0,5,False
1,1,14,0,4,False
0,0,13,0,5,False
0,0,12,0,9,False
0,1,13,0,5,False
0,1,10,0,7,False
1,0,9,0,5,False
1,0,12,0,4,False
0,1,11,0,4,False
1,1,12,0,4,False
0,1,10,0,4,False
1,1,11,0,4,False
1,1,8,0,4,False
1,0,11,0,5,False
1,1,12,0,5,False
0,1,13,0,4,False
0,1,13,0,4,False
1,0,15,0,4,False
1,1,11,0,4,False
1,1,11,0,4,False
1,1,11,0,4,False
1,1,12,0,4,False
1,0,11,0,4,False
1,1,14,0,5,False
1,1,10,0,5,False
1,1,13,0,4,False
1,0,12,0,4,False
1,1,11,0,5,False
1,1,13,1,4,False
0,0,11,0,4,False
1,1,10,0,4,False
1,1,10,0,4,False
1,1,12,0,6,False
1,1,11,0,6,False
1,1,12,0,5,False
1,1,10,0,5,False
1,1,9,0,4,False
1,1,13,0,4,False
1,1,13,0,5,False
1,1,11,0,6,False
1,0,11,0,7,False
1,1,10,0,18,False
1,0,10,0,7,False
1,1,9,0,9,False
1,1,9,0,6,False
0,1,12,0,5,False
1,1,12,0,4,False
1,1,10,0,4,False
1,1,9,0,3,False
1,1,9,0,4,False
1,1,10,0,4,False
1,1,9,0,4,False
1,1,8,0,4,False
1,1,8,0,4,False
1,1,7,0,5,False
1,0,7,0,5,False
1,1,8,0,3,False
1,1,7,0,4,False
1,1,8,0,4,False
1,1,9,0,5,False
1,1,8,0,3,False
1,1,9,0,4,False
1,0,10,0,4,False
1,1,11,0,4,False
1,1,10,0,3,False
1,1,9,0,3,False
1,1,7,0,4,False
1,1,8,0,3,False
0,1,8,0,3,False
1,1,9,0,3,False
1,1,10,0,3,False
1,1,13,0,3,False
1,1,7,0,2,False
1,1,10,0,3,False
1,1,13,0,4,False
1,1,10,0,3,False
1,0,9,0,3,False
0,0,9,0,3,False
1,1,8,0,3,False
0,0,7,0,3,False
1,0,8,0,3,False
1,0,9,0,3,False
1,0,8,0,3,False
1,1,7,0,3,False
1,1,6,0,3,False
1,0,8,0,3,False
1,1,12,0,3,False
1,1,8,0,3,False
1,1,9,0,3,False
1,0,9,0,4,False
1,0,9,0,3,False
0,0,8,0,4,False
1,0,8,0,3,False
1,1,18,0,3,False
1,1,13,0,3,False
1,1,11,0,3,False
1,0,9,0,3,False
1,0,9,0,5,False
1,1,16,0,9,False
1,0,19,0,4,False
1,0,32,0,2,False
1,0,31,0,2,False
1,1,13,0,3,False
1,0,14,0,6,False
1,0,12,0,5,False
0,0,10,0,3,False
1,1,8,0,3,True
