Richard J. Berry,Susan Pinker,Anika Paulson,Cathy O'Neil,Iraola,isPartial
0,0,0,0,28,False
0,0,0,0,37,False
17,0,0,0,17,False
0,0,0,0,31,False
0,12,0,0,27,False
0,11,0,0,35,False
12,0,0,0,28,False
0,0,0,11,39,False
0,0,0,0,31,False
0,0,0,0,21,False
0,0,0,11,14,False
0,0,0,0,33,False
0,0,0,0,26,False
0,0,0,0,23,False
8,0,0,0,18,False
0,0,0,8,17,False
0,0,0,0,17,False
0,0,0,0,15,False
0,0,0,0,15,False
0,0,0,0,15,False
0,0,0,0,29,False
0,0,0,0,31,False
0,0,0,0,27,False
0,6,0,0,23,False
0,0,0,0,16,False
0,0,0,0,20,False
0,5,0,5,38,False
0,5,0,0,19,False
5,0,0,0,25,False
0,5,0,0,26,False
0,0,0,0,29,False
0,5,0,0,24,False
0,0,0,4,20,False
0,0,0,0,20,False
0,4,0,0,21,False
4,8,0,0,32,False
0,0,0,0,23,False
4,0,0,0,30,False
0,0,0,3,34,False
0,3,0,3,21,False
3,0,0,0,22,False
0,3,0,0,28,False
0,0,0,0,16,False
0,3,0,3,21,False
0,0,0,3,30,False
0,2,0,2,27,False
0,2,0,0,16,False
3,3,0,0,26,False
0,4,0,0,22,False
0,3,0,0,27,False
0,7,0,0,26,False
4,7,0,0,32,False
0,2,0,0,29,False
0,2,0,0,18,False
0,2,0,2,21,False
0,2,0,2,34,False
0,5,0,0,33,False
0,2,0,2,29,False
2,4,0,0,28,False
0,2,0,0,27,False
2,4,0,2,28,False
0,5,0,0,29,False
2,3,0,0,23,False
0,2,0,2,29,False
3,2,0,2,28,False
0,0,0,2,23,False
2,2,0,2,25,False
0,3,0,0,26,False
0,3,0,2,37,False
1,1,0,1,32,False
0,3,0,0,32,False
1,5,0,1,32,False
0,5,0,0,35,False
0,1,1,1,23,False
1,2,0,1,25,False
0,1,0,1,26,False
1,1,0,0,26,False
1,1,0,1,27,False
1,0,0,0,18,False
0,1,0,1,23,False
1,1,0,0,33,False
0,2,0,1,33,False
0,2,0,1,41,False
0,0,0,0,29,False
0,2,0,1,26,False
1,1,0,0,31,False
2,1,0,2,39,False
1,1,0,0,29,False
0,2,0,2,31,False
0,1,0,1,28,False
0,1,0,1,24,False
0,2,0,1,34,False
0,1,0,0,32,False
0,2,0,0,25,False
1,1,0,0,27,False
1,2,0,0,23,False
1,1,1,0,24,False
1,1,0,1,25,False
0,2,0,0,55,False
1,1,0,0,27,False
1,1,0,1,39,False
1,1,0,1,26,False
0,1,0,1,24,False
0,1,0,1,24,False
0,1,0,1,25,False
1,1,0,1,25,False
0,1,0,1,20,False
0,1,0,0,24,False
0,1,0,0,25,False
0,1,0,1,25,False
0,1,0,0,21,False
0,1,0,1,25,False
0,1,0,1,21,False
1,2,1,1,22,False
0,1,0,1,23,False
0,1,0,1,23,False
0,1,0,1,25,False
0,1,0,1,24,False
0,1,0,1,24,False
0,1,0,1,24,False
0,0,0,1,24,False
0,1,0,1,23,False
0,1,0,0,26,False
0,0,0,0,18,False
1,0,0,1,21,False
1,1,0,0,19,False
0,1,0,1,20,False
0,1,0,1,29,False
0,1,0,1,30,False
0,1,0,0,26,False
0,2,0,1,26,False
0,3,0,0,19,False
0,1,0,1,22,False
0,3,0,1,25,False
0,2,0,0,31,False
0,2,0,0,36,False
0,1,0,0,100,False
0,0,0,0,40,False
0,0,0,1,48,False
0,2,0,1,33,False
0,2,0,1,27,False
0,1,0,0,22,False
0,1,0,0,20,False
0,1,0,1,22,False
0,1,0,1,24,False
0,1,0,0,18,False
0,2,0,1,21,False
0,2,0,0,20,False
0,1,0,0,26,False
0,1,0,0,24,False
0,1,0,0,27,False
0,3,0,0,16,False
0,1,0,1,22,False
0,1,0,1,22,False
0,1,1,1,27,False
0,1,0,1,20,False
0,1,0,1,17,False
0,2,0,1,19,False
0,0,0,0,18,False
0,1,0,0,17,False
0,1,1,1,19,False
0,1,0,0,18,False
0,1,0,1,17,False
0,3,1,1,15,False
0,1,1,1,14,False
0,2,0,1,14,False
0,2,0,1,15,False
0,1,0,1,11,False
0,3,0,1,16,False
0,3,0,1,18,False
0,5,0,1,17,False
0,3,0,0,12,False
0,3,0,1,16,False
0,1,0,0,17,False
0,1,0,1,15,False
0,2,0,1,16,False
0,1,0,1,17,False
0,1,0,1,19,False
0,1,0,1,15,False
0,2,0,0,15,False
0,1,0,0,15,False
0,1,0,0,18,False
0,2,0,1,15,False
0,1,0,1,16,False
0,1,0,0,19,False
0,1,0,1,15,False
0,1,0,1,19,False
0,1,0,0,19,False
0,1,0,0,15,False
0,1,0,0,16,False
0,0,0,1,17,False
0,1,1,1,15,False
0,1,0,0,25,False
0,1,0,1,46,False
0,1,0,0,20,False
0,1,0,0,13,False
0,2,1,1,13,False
0,1,0,0,16,False
0,1,0,0,28,False
0,1,0,1,26,False
0,1,0,1,19,False
0,1,0,1,16,True
