John Graham-Cumming,Vinay Venkatraman,James Stavridis,Malte Spitz,Iraola,isPartial
16,0,0,0,47,False
0,0,0,0,26,False
19,19,0,0,19,False
15,0,0,0,30,False
0,0,13,0,22,False
0,0,0,13,26,False
0,0,14,0,36,False
0,0,0,0,38,False
0,0,0,0,31,False
0,0,0,0,40,False
0,0,24,0,32,False
0,0,0,0,33,False
0,0,10,0,26,False
10,0,0,0,24,False
0,0,0,0,28,False
0,0,10,0,45,False
8,0,0,0,20,False
0,0,0,0,31,False
9,0,9,0,29,False
0,8,0,0,19,False
0,0,0,0,30,False
0,0,0,0,26,False
0,0,0,0,35,False
0,0,0,0,19,False
0,0,0,0,14,False
0,0,0,0,31,False
0,0,0,0,38,False
0,0,6,0,27,False
0,0,5,0,37,False
0,0,0,0,34,False
0,0,0,0,37,False
0,0,5,0,26,False
5,0,5,5,26,False
0,0,9,0,24,False
0,0,4,4,17,False
5,0,5,0,32,False
0,0,0,4,30,False
0,0,6,8,39,False
0,0,5,0,34,False
0,4,4,0,20,False
0,0,0,0,17,False
0,0,0,0,25,False
3,0,0,3,28,False
0,3,3,3,27,False
0,0,3,0,35,False
0,3,0,0,24,False
0,0,3,3,23,False
0,3,3,3,31,False
0,0,0,3,24,False
0,3,0,3,26,False
0,0,0,0,31,False
0,0,2,0,29,False
0,2,2,2,34,False
0,0,2,0,29,False
0,0,7,2,20,False
0,0,2,0,33,False
0,0,4,2,37,False
0,2,2,4,36,False
0,0,2,2,35,False
0,2,0,2,38,False
2,0,2,0,37,False
0,2,2,2,37,False
0,0,8,0,26,False
0,0,3,0,29,False
0,0,9,0,29,False
2,0,5,3,36,False
2,0,3,2,25,False
3,0,5,0,28,False
3,0,5,0,38,False
2,2,4,3,36,False
2,0,2,0,37,False
2,0,4,0,31,False
0,0,2,3,43,False
0,0,2,2,29,False
3,0,3,1,25,False
0,0,4,2,28,False
0,0,6,1,27,False
1,0,4,1,31,False
1,1,4,0,29,False
1,0,1,2,29,False
0,0,0,0,37,False
2,0,3,1,31,False
0,0,2,4,46,False
0,0,3,2,36,False
0,0,3,1,30,False
1,0,3,8,37,False
0,0,14,8,48,False
0,1,5,6,30,False
1,0,11,4,41,False
0,0,4,2,38,False
1,0,2,3,28,False
0,1,3,2,51,False
0,0,2,2,33,False
1,0,3,2,30,False
1,0,2,2,30,False
1,0,3,1,25,False
1,1,3,2,30,False
1,0,2,2,30,False
0,0,5,2,58,False
2,0,2,2,32,False
1,1,3,1,42,False
1,0,2,2,31,False
2,2,3,8,24,False
0,3,4,5,28,False
1,1,3,5,34,False
1,1,4,2,26,False
0,0,7,2,23,False
0,0,2,2,29,False
0,1,3,1,27,False
1,1,3,1,26,False
0,1,3,1,24,False
1,1,4,1,25,False
1,0,5,1,23,False
1,0,1,2,23,False
0,0,2,7,27,False
0,1,3,3,26,False
1,1,3,3,26,False
1,1,2,2,26,False
0,0,2,5,26,False
1,1,2,2,23,False
1,0,1,1,26,False
1,1,1,1,27,False
0,1,3,2,30,False
1,1,2,2,20,False
1,1,1,1,22,False
0,1,2,1,22,False
1,1,1,1,26,False
0,1,3,2,35,False
1,1,3,1,36,False
1,1,2,3,27,False
1,1,2,2,29,False
1,2,1,1,22,False
1,0,2,1,26,False
1,0,1,1,27,False
1,1,2,0,41,False
0,1,2,1,45,False
1,1,1,1,100,False
1,1,2,1,45,False
1,0,2,1,52,False
1,1,2,1,37,False
0,1,1,1,31,False
0,0,1,1,23,False
1,0,4,1,27,False
1,1,2,1,25,False
1,0,2,2,28,False
1,0,1,1,21,False
0,0,2,1,25,False
0,1,2,2,22,False
0,0,1,1,34,False
0,0,1,1,29,False
0,0,64,1,30,False
1,0,2,1,19,False
0,1,1,1,25,False
1,1,4,2,26,False
0,0,3,1,30,False
0,0,9,1,23,False
0,1,2,1,17,False
1,0,4,1,21,False
0,0,3,1,21,False
0,0,4,1,21,False
0,0,3,0,26,False
1,1,4,1,19,False
1,0,3,1,20,False
0,0,4,1,18,False
0,0,2,0,16,False
0,0,2,1,19,False
0,0,2,1,16,False
0,0,2,0,15,False
0,0,2,1,19,False
0,0,2,0,17,False
1,0,3,0,18,False
0,0,2,1,16,False
0,0,2,1,17,False
0,0,2,1,16,False
0,0,2,1,16,False
1,1,2,0,20,False
0,0,2,1,22,False
0,0,1,0,22,False
0,0,2,1,19,False
0,0,2,0,20,False
1,0,3,1,15,False
0,0,2,1,20,False
0,0,2,1,16,False
0,0,2,1,20,False
0,0,3,1,21,False
0,0,1,1,17,False
1,0,2,1,20,False
0,0,1,0,19,False
0,0,2,1,18,False
0,0,7,1,17,False
0,0,4,1,17,False
0,0,1,1,18,False
1,0,5,0,28,False
0,0,2,1,56,False
0,0,2,1,25,False
0,0,2,0,18,False
1,0,2,1,15,False
0,0,3,0,18,False
0,0,1,0,36,False
1,0,1,0,27,False
0,0,2,0,22,False
0,0,2,1,19,True
