Michael Tilson Thomas,JP Rangaswami,Karen Bass,Joshua Foer,Iraola,isPartial
0,0,4,0,7,False
2,0,2,0,4,False
3,0,4,0,3,False
6,2,5,0,5,False
0,0,2,2,3,False
3,0,2,0,4,False
2,0,4,0,6,False
2,0,2,0,6,False
2,2,2,0,5,False
2,0,5,2,6,False
4,0,2,0,5,False
3,0,2,0,5,False
2,1,1,0,4,False
2,2,3,0,4,False
0,0,1,1,4,False
2,1,1,1,7,False
2,1,3,1,3,False
1,2,2,1,5,False
3,2,2,1,4,False
1,2,4,1,3,False
2,0,2,1,5,False
3,0,3,0,4,False
1,0,2,0,5,False
2,1,2,0,3,False
1,1,2,0,2,False
2,1,3,2,5,False
3,0,2,2,6,False
1,1,3,4,4,False
1,2,1,1,6,False
2,0,1,0,5,False
1,0,3,0,6,False
1,1,2,1,4,False
3,2,2,1,4,False
2,1,3,1,4,False
4,1,3,1,3,False
3,1,1,1,5,False
1,1,1,1,5,False
1,0,1,0,6,False
1,1,1,1,5,False
2,1,1,1,3,False
2,0,1,0,3,False
2,0,1,1,4,False
1,2,1,1,4,False
1,0,1,0,4,False
3,1,1,1,5,False
1,0,1,0,4,False
1,1,1,0,4,False
2,0,1,0,5,False
2,0,2,0,4,False
1,0,2,0,4,False
1,1,2,0,5,False
1,0,1,0,4,False
1,0,5,0,5,False
1,0,2,1,4,False
1,1,3,0,3,False
1,1,2,0,5,False
1,0,2,0,6,False
2,0,2,0,5,False
1,0,2,1,5,False
2,0,3,0,6,False
2,0,3,0,6,False
1,0,3,0,6,False
1,0,2,0,4,False
3,0,2,0,4,False
1,0,3,0,4,False
1,0,3,0,5,False
1,0,5,0,4,False
1,0,2,0,4,False
1,0,3,0,6,False
3,0,1,0,5,False
1,0,2,0,6,False
2,0,2,0,5,False
1,0,2,0,7,False
1,0,2,1,4,False
2,0,2,0,4,False
1,0,2,0,4,False
1,0,2,0,4,False
1,0,2,0,5,False
1,0,1,0,4,False
1,0,1,0,4,False
1,0,1,0,6,False
1,0,2,1,5,False
1,0,2,0,7,False
1,0,1,0,5,False
1,0,2,0,5,False
2,0,1,3,6,False
2,0,2,8,7,False
2,0,2,3,5,False
2,0,2,1,6,False
2,0,2,1,6,False
1,0,1,2,4,False
1,0,2,1,8,False
1,0,2,2,5,False
1,0,1,2,5,False
1,0,1,1,5,False
1,0,1,1,4,False
1,0,1,2,5,False
1,0,2,3,5,False
3,0,1,2,9,False
1,0,1,1,5,False
2,0,1,4,6,False
1,0,1,2,5,False
1,1,1,2,4,False
1,0,1,1,4,False
1,0,2,2,5,False
1,0,1,1,4,False
1,0,1,1,3,False
1,0,1,2,4,False
1,0,1,2,4,False
1,0,1,1,4,False
1,0,1,2,4,False
1,0,1,1,4,False
1,0,1,1,3,False
1,0,1,1,4,False
0,0,1,1,4,False
1,0,1,2,4,False
1,0,1,1,4,False
1,0,1,1,4,False
1,0,1,1,4,False
1,0,1,2,3,False
1,0,1,1,4,False
1,0,1,2,4,False
1,0,1,1,5,False
1,0,1,1,3,False
1,0,1,1,3,False
1,0,1,1,3,False
1,0,1,1,4,False
1,0,1,1,5,False
1,0,1,1,6,False
1,0,1,1,4,False
1,0,1,1,4,False
1,0,1,1,3,False
1,0,1,1,4,False
1,0,1,1,4,False
1,0,1,1,6,False
1,0,1,1,7,False
0,0,1,1,15,False
1,0,1,1,7,False
1,0,1,1,8,False
1,0,1,1,6,False
1,0,1,1,5,False
1,0,1,1,3,False
0,0,1,1,4,False
1,0,1,1,4,False
0,0,1,1,4,False
0,0,1,1,3,False
1,0,1,1,4,False
1,0,1,1,3,False
1,0,1,1,5,False
0,0,2,0,4,False
0,0,1,0,5,False
0,0,2,0,3,False
0,0,1,0,4,False
0,0,1,1,4,False
1,0,2,1,5,False
0,0,1,1,4,False
0,0,2,1,3,False
0,0,2,1,3,False
0,0,2,1,3,False
1,0,1,1,3,False
1,0,1,0,4,False
1,0,1,0,3,False
1,0,1,1,3,False
0,0,1,1,3,False
1,0,1,0,2,False
0,0,1,1,3,False
1,0,1,0,2,False
0,0,1,1,2,False
0,0,1,0,3,False
0,0,1,1,3,False
1,0,1,0,3,False
0,0,1,0,2,False
0,0,1,0,3,False
0,0,2,0,2,False
0,0,1,0,2,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,1,0,3,False
0,0,2,0,3,False
1,0,1,0,3,False
1,0,1,0,2,False
0,0,2,0,3,False
1,0,1,0,2,False
1,0,2,0,3,False
1,0,1,1,3,False
1,0,1,0,3,False
1,0,2,1,3,False
0,0,1,0,3,False
1,0,1,0,3,False
0,0,1,0,3,False
1,0,1,0,3,False
8,0,4,0,3,False
1,0,1,0,4,False
1,0,1,1,8,False
1,0,2,0,4,False
1,0,1,0,3,False
1,0,2,1,2,False
1,0,18,1,3,False
0,0,81,0,6,False
1,0,100,0,4,False
1,0,2,0,3,False
3,0,3,0,3,True
