Ajit Narayanan,Anne-Marie Slaughter,Toby Shapshak,Carin Bondar,Iraola,isPartial
0,28,0,0,28,False
0,14,0,0,37,False
0,17,0,0,17,False
0,13,0,0,31,False
0,12,0,0,27,False
12,23,0,0,35,False
0,24,0,0,28,False
0,11,0,0,39,False
0,0,0,0,31,False
0,11,0,0,21,False
0,11,0,0,14,False
0,0,0,0,33,False
0,9,0,0,26,False
0,0,0,0,23,False
0,8,0,0,18,False
0,9,0,0,17,False
0,7,0,0,17,False
0,8,0,0,15,False
0,0,0,0,15,False
0,7,0,0,15,False
0,13,0,0,29,False
0,6,0,0,31,False
0,6,0,0,27,False
0,6,0,0,23,False
5,16,0,0,16,False
0,8,0,6,20,False
0,5,0,0,38,False
0,10,0,0,19,False
0,9,0,5,25,False
0,0,0,0,26,False
0,0,0,0,29,False
0,7,0,0,24,False
0,7,0,0,20,False
0,8,0,0,20,False
0,5,0,0,21,False
0,8,0,0,32,False
0,5,0,0,23,False
4,7,0,0,30,False
0,4,0,0,34,False
0,8,0,0,21,False
3,7,0,0,22,False
0,6,0,0,28,False
6,8,0,0,16,False
0,6,0,0,21,False
3,8,0,0,30,False
0,3,2,0,27,False
0,3,0,0,16,False
0,5,0,3,26,False
0,0,0,0,22,False
2,5,0,0,27,False
0,7,0,0,26,False
0,3,2,0,32,False
0,3,0,0,29,False
0,4,0,0,18,False
0,3,0,0,21,False
0,4,0,0,34,False
0,2,0,0,33,False
0,3,0,0,29,False
0,3,0,0,28,False
2,2,0,0,27,False
2,8,0,0,28,False
3,4,2,0,29,False
2,4,2,0,23,False
0,4,0,0,29,False
0,3,0,0,28,False
0,7,0,0,23,False
0,5,3,0,25,False
0,2,3,0,26,False
1,4,0,0,37,False
1,2,0,0,32,False
1,1,0,0,32,False
0,3,3,0,32,False
0,2,2,0,35,False
1,4,1,0,23,False
1,2,1,0,25,False
1,4,1,0,26,False
0,5,2,0,26,False
1,4,0,0,27,False
1,1,1,1,18,False
1,2,0,0,23,False
1,2,0,1,33,False
1,1,0,1,33,False
1,2,0,0,41,False
1,2,1,0,29,False
0,3,1,0,26,False
1,2,0,1,31,False
1,8,0,2,39,False
1,4,1,0,29,False
2,4,0,1,31,False
1,5,0,3,28,False
1,4,0,0,24,False
1,4,1,1,34,False
0,1,0,1,32,False
1,3,1,0,25,False
2,2,1,1,27,False
1,2,0,0,23,False
1,5,1,1,24,False
0,5,1,1,25,False
1,3,0,1,55,False
1,1,0,1,27,False
1,1,0,0,39,False
1,37,1,1,26,False
1,29,1,1,24,False
1,10,1,0,24,False
1,9,1,0,25,False
1,10,1,1,25,False
0,7,0,5,20,False
1,5,0,9,24,False
1,4,1,4,25,False
1,5,0,9,25,False
1,9,0,5,21,False
2,8,1,5,25,False
1,5,1,7,21,False
1,4,0,6,22,False
1,3,1,3,23,False
1,1,1,5,23,False
1,5,1,2,25,False
0,3,1,3,24,False
1,2,0,2,24,False
1,2,1,3,24,False
0,4,0,4,24,False
1,3,1,5,23,False
7,6,3,15,26,False
2,2,1,14,18,False
1,3,0,10,21,False
1,1,2,5,19,False
1,1,1,6,20,False
1,2,1,8,29,False
1,1,1,4,30,False
1,2,0,4,26,False
1,2,0,4,26,False
1,1,1,3,19,False
1,2,1,8,22,False
1,2,1,12,25,False
0,2,1,6,31,False
1,1,0,4,36,False
1,1,0,3,100,False
0,1,0,4,40,False
0,1,0,3,48,False
1,2,0,5,33,False
0,9,0,4,27,False
1,11,1,3,22,False
0,5,0,3,20,False
1,6,0,2,22,False
0,4,0,6,24,False
1,5,0,6,18,False
0,6,0,4,21,False
0,2,0,2,20,False
0,2,0,2,26,False
1,2,0,3,24,False
1,2,0,3,27,False
0,2,0,5,16,False
1,1,0,2,22,False
1,3,0,4,22,False
1,2,0,6,27,False
0,2,0,5,20,False
1,2,0,5,17,False
0,2,1,5,19,False
0,3,0,4,18,False
1,4,0,2,17,False
0,2,0,2,19,False
0,2,0,3,18,False
1,1,0,2,17,False
0,6,1,2,15,False
0,4,0,1,14,False
0,1,1,1,14,False
0,1,0,1,15,False
0,1,0,1,11,False
0,1,0,2,16,False
0,1,0,1,18,False
0,2,0,4,17,False
0,1,0,1,12,False
0,1,0,2,16,False
0,2,0,1,17,False
1,2,0,2,15,False
1,0,0,1,16,False
1,2,0,1,17,False
1,2,0,1,19,False
0,1,0,1,15,False
1,1,0,2,15,False
0,1,0,2,15,False
0,1,0,1,18,False
0,1,0,1,15,False
1,1,0,1,16,False
0,1,0,0,19,False
1,1,0,1,15,False
1,1,0,1,19,False
0,1,0,1,19,False
0,1,1,1,15,False
0,1,0,0,16,False
0,1,0,1,17,False
0,1,0,1,15,False
0,1,0,1,25,False
1,1,0,1,46,False
0,1,0,1,20,False
0,1,0,1,13,False
1,1,0,2,13,False
0,1,0,1,16,False
1,2,0,2,28,False
0,1,0,2,26,False
0,1,0,1,19,False
0,1,0,1,16,True
