Abigail Marsh,David Burkus,Nadia Lopez,Sebastian Kraves,Iraola,isPartial
14,0,37,0,28,False
0,14,0,0,37,False
0,0,51,0,17,False
0,0,40,0,31,False
0,0,15,0,27,False
11,0,46,0,35,False
0,0,48,0,28,False
0,0,34,0,39,False
10,0,21,0,31,False
0,0,21,0,21,False
0,0,14,0,14,False
0,0,26,0,33,False
9,0,17,0,26,False
0,0,12,0,23,False
8,0,8,0,18,False
0,0,20,0,17,False
7,0,11,0,17,False
0,0,30,0,15,False
0,0,20,0,15,False
15,0,22,0,15,False
0,0,7,0,29,False
0,0,8,0,31,False
6,0,13,0,27,False
0,0,6,0,23,False
0,0,9,0,16,False
6,0,13,0,20,False
0,0,7,0,38,False
5,0,14,0,19,False
5,0,8,0,25,False
0,0,15,5,26,False
5,0,10,5,29,False
0,0,5,0,24,False
0,0,6,0,20,False
0,0,6,4,20,False
0,0,8,0,21,False
0,0,12,0,32,False
0,3,7,0,23,False
0,4,4,4,30,False
3,0,10,0,34,False
3,0,4,0,21,False
0,0,12,0,22,False
0,0,10,0,28,False
0,0,6,0,16,False
0,0,5,0,21,False
4,0,8,0,30,False
2,0,8,0,27,False
6,2,9,0,16,False
3,0,3,0,26,False
2,0,4,0,22,False
0,0,7,0,27,False
2,0,4,0,26,False
2,0,6,0,32,False
2,2,4,0,29,False
0,0,4,2,18,False
0,0,8,0,21,False
0,0,5,0,34,False
3,0,10,0,33,False
4,0,8,0,29,False
0,0,4,0,28,False
2,0,5,0,27,False
3,0,5,0,28,False
2,0,9,0,29,False
2,0,6,0,23,False
2,0,7,0,29,False
2,0,5,0,28,False
2,0,8,0,23,False
2,2,11,0,25,False
0,0,5,0,26,False
1,0,12,0,37,False
1,0,5,0,32,False
2,0,9,0,32,False
2,1,6,0,32,False
2,0,9,0,35,False
1,0,12,0,23,False
0,0,9,0,25,False
2,0,8,0,26,False
2,0,6,0,26,False
2,0,8,0,27,False
0,0,5,1,18,False
1,0,7,0,23,False
1,1,7,0,33,False
1,0,6,0,33,False
1,0,8,0,41,False
1,0,6,0,29,False
1,0,7,0,26,False
1,0,8,0,31,False
1,1,10,0,39,False
1,1,10,0,29,False
1,1,7,0,31,False
1,0,10,0,28,False
1,0,11,0,24,False
2,1,11,0,34,False
0,0,6,0,32,False
2,0,9,0,25,False
1,0,17,0,27,False
1,1,35,0,23,False
1,1,19,0,24,False
1,0,23,0,25,False
0,0,22,0,55,False
1,1,30,0,27,False
1,0,25,0,39,False
1,0,23,0,26,False
1,0,19,0,24,False
1,1,16,0,24,False
1,0,28,0,25,False
1,1,20,0,25,False
1,0,17,0,20,False
1,0,17,0,24,False
1,1,16,0,25,False
1,1,17,0,25,False
1,1,17,1,21,False
1,0,19,0,25,False
1,1,17,0,21,False
1,1,19,0,22,False
1,1,18,1,23,False
1,1,15,0,23,False
0,1,12,0,25,False
1,1,16,0,24,False
1,1,17,0,24,False
1,1,17,0,24,False
0,1,16,0,24,False
0,0,18,1,23,False
1,1,14,0,26,False
1,0,14,0,18,False
1,1,12,0,21,False
1,1,14,0,19,False
1,1,14,0,20,False
1,1,15,0,29,False
1,1,18,0,30,False
0,0,11,0,26,False
1,1,10,0,26,False
1,1,12,0,19,False
2,0,15,0,22,False
1,1,19,0,25,False
1,0,16,0,31,False
1,1,20,0,36,False
1,0,13,0,100,False
1,0,12,0,40,False
1,0,13,0,48,False
1,0,14,0,33,False
0,1,11,0,27,False
2,1,12,0,22,False
2,0,10,0,20,False
1,1,12,0,22,False
1,0,12,0,24,False
1,1,8,0,18,False
1,1,9,0,21,False
2,0,8,0,20,False
1,1,8,0,26,False
1,1,8,0,24,False
0,1,6,0,27,False
1,1,10,0,16,False
2,1,11,1,22,False
1,1,12,1,22,False
1,1,6,0,27,False
1,1,9,0,20,False
1,2,8,1,17,False
1,1,7,0,19,False
1,1,6,0,18,False
1,1,7,0,17,False
2,0,7,1,19,False
2,1,6,0,18,False
0,0,5,0,17,False
1,0,6,0,15,False
1,0,7,0,14,False
1,1,6,0,14,False
2,1,4,0,15,False
2,1,5,0,11,False
1,1,4,0,16,False
1,1,6,0,18,False
1,1,5,0,17,False
1,1,5,0,12,False
1,1,5,0,16,False
1,1,6,0,17,False
1,1,5,0,15,False
1,1,6,0,16,False
1,1,5,0,17,False
1,0,6,0,19,False
1,1,5,0,15,False
1,0,5,0,15,False
1,1,4,0,15,False
2,0,4,0,18,False
1,1,4,0,15,False
1,1,6,0,16,False
1,1,6,0,19,False
1,0,4,0,15,False
1,0,3,0,19,False
1,1,4,0,19,False
0,1,5,0,15,False
1,1,3,0,16,False
1,1,4,0,17,False
1,0,4,0,15,False
1,1,4,0,25,False
1,1,4,0,46,False
0,1,6,0,20,False
1,0,6,0,13,False
1,1,5,0,13,False
0,1,5,0,16,False
1,0,5,0,28,False
1,1,5,0,26,False
1,0,4,0,19,False
1,1,3,0,16,True
