Joe Lassiter,"Alicia Garza, Patrisse Cullors and Opal Tometi",Danny Dorling,Ryan Gravel,Iraola,isPartial
0,0,14,0,28,False
0,0,14,0,37,False
0,0,0,17,17,False
0,0,13,0,31,False
0,0,11,0,27,False
0,0,15,11,35,False
0,0,18,0,28,False
0,0,0,11,39,False
31,0,0,0,31,False
0,0,10,0,21,False
0,0,11,0,14,False
0,0,0,0,33,False
9,0,9,9,26,False
0,0,0,0,23,False
0,0,0,0,18,False
0,0,8,0,17,False
0,0,7,0,17,False
0,0,0,0,15,False
0,0,0,0,15,False
0,0,0,0,15,False
0,0,0,0,29,False
0,0,0,6,31,False
6,0,6,0,27,False
12,0,0,6,23,False
0,0,0,0,16,False
0,0,6,6,20,False
5,0,0,0,38,False
0,0,0,0,19,False
0,0,5,0,25,False
0,0,5,0,26,False
0,0,5,0,29,False
5,0,5,0,24,False
4,0,0,0,20,False
4,0,0,4,20,False
0,0,4,0,21,False
4,0,0,4,32,False
0,0,3,0,23,False
0,0,4,0,30,False
0,0,3,6,34,False
0,0,3,0,21,False
0,0,0,3,22,False
0,0,3,0,28,False
0,0,3,0,16,False
0,0,0,3,21,False
0,0,3,3,30,False
2,0,0,0,27,False
0,0,4,2,16,False
0,0,3,0,26,False
2,0,2,2,22,False
5,0,5,0,27,False
3,0,4,2,26,False
2,0,4,3,32,False
0,0,4,3,29,False
2,0,2,2,18,False
0,0,0,2,21,False
0,0,2,0,34,False
2,0,2,3,33,False
0,0,3,2,29,False
2,0,2,2,28,False
0,0,0,2,27,False
4,0,3,2,28,False
0,0,3,0,29,False
2,0,2,0,23,False
2,0,5,0,29,False
0,0,3,2,28,False
0,0,2,2,23,False
0,0,2,2,25,False
2,0,3,0,26,False
0,0,3,0,37,False
1,0,1,1,32,False
0,0,4,1,32,False
1,0,3,1,32,False
4,0,2,0,35,False
1,0,3,2,23,False
2,0,1,2,25,False
0,0,7,0,26,False
2,0,5,0,26,False
1,0,2,5,27,False
1,0,3,0,18,False
1,0,3,0,23,False
0,0,2,1,33,False
0,0,2,1,33,False
1,0,3,2,41,False
1,0,4,0,29,False
2,0,2,0,26,False
0,0,2,0,31,False
1,0,3,2,39,False
1,0,2,1,29,False
1,0,2,2,31,False
0,0,1,1,28,False
0,0,2,3,24,False
1,0,2,0,34,False
1,0,1,0,32,False
2,0,4,1,25,False
1,0,3,1,27,False
1,0,1,2,23,False
1,0,2,1,24,False
0,0,2,1,25,False
1,0,2,1,55,False
1,0,2,1,27,False
1,0,2,1,39,False
1,0,1,1,26,False
0,0,1,1,24,False
1,0,1,1,24,False
1,0,1,1,25,False
1,0,1,1,25,False
1,0,1,1,20,False
1,0,1,2,24,False
1,0,1,1,25,False
1,0,2,1,25,False
1,0,2,1,21,False
1,0,1,1,25,False
1,0,1,1,21,False
1,0,2,1,22,False
1,0,2,1,23,False
1,0,1,1,23,False
1,0,1,1,25,False
1,0,1,1,24,False
1,0,2,1,24,False
1,0,2,1,24,False
1,0,1,1,24,False
9,0,4,1,23,False
1,0,5,1,26,False
1,0,2,0,18,False
1,0,2,0,21,False
1,0,2,1,19,False
1,0,2,1,20,False
1,0,2,1,29,False
1,0,5,1,30,False
0,0,6,0,26,False
1,0,3,1,26,False
1,0,1,1,19,False
0,0,3,1,22,False
1,0,1,1,25,False
1,0,2,1,31,False
0,0,3,0,36,False
0,0,3,1,100,False
0,0,3,1,40,False
0,0,2,1,48,False
0,0,2,1,33,False
0,0,2,1,27,False
0,0,5,1,22,False
0,0,2,0,20,False
0,0,2,1,22,False
0,0,1,1,24,False
1,0,2,0,18,False
0,0,2,2,21,False
1,0,2,1,20,False
0,0,3,1,26,False
1,0,2,2,24,False
0,0,2,1,27,False
0,0,2,1,16,False
0,0,2,2,22,False
0,0,2,1,22,False
1,0,2,1,27,False
1,0,4,1,20,False
1,0,2,2,17,False
1,0,2,1,19,False
1,0,2,1,18,False
1,0,3,2,17,False
0,0,3,2,19,False
0,0,2,1,18,False
0,0,1,1,17,False
1,0,2,2,15,False
0,0,2,1,14,False
1,0,2,1,14,False
1,0,3,2,15,False
1,0,1,0,11,False
0,0,2,1,16,False
1,0,3,1,18,False
0,0,1,1,17,False
1,0,1,1,12,False
0,0,2,1,16,False
0,0,1,0,17,False
0,0,1,1,15,False
0,0,2,2,16,False
0,0,3,1,17,False
1,0,2,1,19,False
1,0,1,1,15,False
0,0,2,1,15,False
1,0,2,1,15,False
0,0,3,1,18,False
0,0,2,1,15,False
1,0,2,2,16,False
0,0,2,1,19,False
1,0,3,2,15,False
1,0,1,2,19,False
0,0,2,1,19,False
0,0,1,1,15,False
0,0,2,1,16,False
0,0,3,1,17,False
1,0,2,1,15,False
1,0,2,1,25,False
0,0,2,2,46,False
0,0,2,1,20,False
0,0,2,1,13,False
0,0,3,1,13,False
0,0,2,2,16,False
1,0,1,2,28,False
1,0,2,1,26,False
0,0,3,1,19,False
0,0,2,1,16,True
