Alexander Wagner,Pierre Thiam,Augie Picado,Helen Czerski,Iraola,isPartial
14,0,0,0,28,False
35,0,0,0,37,False
17,17,0,0,17,False
13,13,0,0,31,False
27,0,0,0,27,False
0,0,0,0,35,False
12,0,0,0,28,False
17,0,0,0,39,False
10,0,0,0,31,False
11,0,0,0,21,False
21,11,0,0,14,False
16,0,0,0,33,False
14,0,0,9,26,False
15,0,0,0,23,False
10,0,0,0,18,False
25,0,0,0,17,False
20,0,0,0,17,False
28,0,0,0,15,False
8,0,0,0,15,False
18,0,0,0,15,False
23,0,0,0,29,False
17,0,0,0,31,False
15,0,0,0,27,False
12,0,0,0,23,False
9,0,0,5,16,False
17,0,0,0,20,False
7,0,0,0,38,False
14,0,0,0,19,False
11,5,0,5,25,False
12,0,0,0,26,False
21,0,0,0,29,False
9,0,0,0,24,False
10,0,0,4,20,False
12,0,0,0,20,False
12,0,0,0,21,False
11,0,0,0,32,False
12,0,0,0,23,False
16,0,0,4,30,False
9,0,0,0,34,False
11,0,0,3,21,False
6,0,0,3,22,False
13,0,0,3,28,False
10,0,0,0,16,False
10,0,0,0,21,False
9,0,0,0,30,False
12,2,0,0,27,False
15,0,0,0,16,False
12,0,0,0,26,False
13,2,0,0,22,False
9,0,0,0,27,False
11,0,0,0,26,False
11,0,0,0,32,False
8,0,0,0,29,False
10,0,0,0,18,False
9,0,0,0,21,False
6,2,0,0,34,False
8,0,0,0,33,False
12,0,0,0,29,False
7,0,0,0,28,False
8,0,0,0,27,False
10,0,0,0,28,False
14,0,0,0,29,False
13,2,0,0,23,False
8,2,0,0,29,False
10,0,0,0,28,False
7,0,0,0,23,False
9,0,0,0,25,False
8,0,0,2,26,False
7,0,0,1,37,False
9,0,0,0,32,False
10,0,0,0,32,False
9,1,0,0,32,False
9,1,0,3,35,False
12,3,0,0,23,False
6,0,0,0,25,False
10,0,0,0,26,False
12,1,0,0,26,False
10,5,0,0,27,False
8,2,0,0,18,False
7,1,0,0,23,False
6,1,0,0,33,False
8,1,1,0,33,False
8,1,0,0,41,False
8,0,0,0,29,False
9,4,0,0,26,False
9,1,0,0,31,False
7,1,1,0,39,False
5,1,0,0,29,False
8,0,0,0,31,False
8,1,0,0,28,False
7,1,0,0,24,False
7,0,0,0,34,False
8,2,0,1,32,False
7,1,1,1,25,False
7,0,0,1,27,False
8,0,0,0,23,False
6,1,0,0,24,False
7,1,0,1,25,False
6,0,0,46,55,False
8,0,0,4,27,False
8,1,0,1,39,False
7,0,0,4,26,False
8,1,0,1,24,False
9,1,1,1,24,False
6,1,0,1,25,False
6,1,0,4,25,False
6,1,0,12,20,False
8,2,0,6,24,False
10,1,0,13,25,False
7,1,0,9,25,False
6,1,0,3,21,False
15,1,0,16,25,False
8,1,0,3,21,False
5,1,0,9,22,False
8,2,0,7,23,False
7,1,0,27,23,False
5,1,0,5,25,False
6,1,0,2,24,False
9,1,0,4,24,False
5,1,0,11,24,False
7,1,0,3,24,False
10,1,1,3,23,False
5,1,0,2,26,False
6,0,0,1,18,False
5,0,0,7,21,False
6,1,0,1,19,False
5,1,0,7,20,False
7,1,0,12,29,False
6,1,0,6,30,False
7,1,0,3,26,False
8,1,0,1,26,False
7,1,0,4,19,False
7,0,0,3,22,False
8,1,0,2,25,False
5,1,0,2,31,False
6,0,0,3,36,False
6,1,0,3,100,False
7,1,0,1,40,False
7,0,0,3,48,False
6,1,0,4,33,False
7,1,0,2,27,False
6,2,0,3,22,False
4,0,0,17,20,False
6,1,0,4,22,False
6,0,0,4,24,False
7,1,0,1,18,False
7,1,0,1,21,False
5,0,0,1,20,False
6,1,0,2,26,False
6,1,0,2,24,False
5,1,0,1,27,False
7,2,0,1,16,False
7,2,0,2,22,False
6,0,0,4,22,False
5,1,0,5,27,False
7,1,0,8,20,False
6,1,0,6,17,False
5,1,0,4,19,False
5,2,0,14,18,False
5,1,0,3,17,False
7,1,0,2,19,False
5,1,0,3,18,False
6,0,0,8,17,False
6,1,0,2,15,False
7,2,1,10,14,False
7,1,0,4,14,False
5,0,0,3,15,False
5,0,0,3,11,False
6,1,0,3,16,False
6,1,0,16,18,False
5,1,0,13,17,False
6,0,0,3,12,False
6,1,0,3,16,False
5,1,0,5,17,False
4,1,0,3,15,False
5,1,0,4,16,False
5,1,0,2,17,False
5,1,0,4,19,False
6,0,0,4,15,False
4,1,0,3,15,False
7,1,1,3,15,False
5,1,0,2,18,False
5,1,0,1,15,False
5,1,0,2,16,False
6,1,0,2,19,False
5,1,0,4,15,False
5,1,0,8,19,False
5,0,0,6,19,False
7,1,0,2,15,False
6,1,0,1,16,False
6,1,0,2,17,False
5,0,0,1,15,False
4,1,0,1,25,False
6,1,0,1,46,False
4,0,0,2,20,False
5,0,0,6,13,False
4,1,0,2,13,False
4,1,0,2,16,False
3,1,0,3,28,False
6,1,0,2,26,False
5,0,0,1,19,False
5,1,0,2,16,True
