Krista Donaldson,Paul Piff,Mick Cornett,Maysoon Zayid,Iraola,isPartial
0,0,15,0,15,False
0,0,14,0,44,False
0,0,18,0,18,False
0,0,14,0,42,False
0,0,0,0,30,False
0,0,0,12,42,False
0,0,0,0,25,False
0,0,0,0,58,False
0,0,0,0,32,False
0,0,0,0,11,False
0,11,0,11,11,False
10,0,0,0,36,False
9,0,9,0,22,False
0,0,9,0,23,False
0,0,0,8,12,False
0,0,0,0,18,False
0,0,0,0,23,False
8,0,0,0,16,False
0,0,0,0,20,False
0,0,8,0,8,False
0,0,0,0,28,False
6,0,10,0,39,False
0,0,10,0,39,False
6,0,13,0,22,False
0,6,0,0,14,False
0,0,11,0,20,False
0,0,0,7,40,False
0,5,5,0,19,False
5,0,5,0,32,False
0,0,5,10,21,False
0,0,13,5,28,False
0,0,7,0,21,False
0,0,0,0,18,False
0,0,4,0,16,False
0,0,4,4,24,False
0,0,0,0,39,False
0,4,4,0,29,False
0,0,0,0,38,False
0,0,0,0,35,False
0,0,0,3,17,False
3,0,3,3,24,False
0,0,0,0,25,False
0,3,0,0,12,False
0,0,3,7,23,False
0,3,0,0,28,False
0,0,3,0,33,False
0,0,5,0,17,False
0,0,3,3,29,False
0,0,9,5,22,False
0,0,5,5,30,False
0,0,4,2,23,False
0,0,2,2,36,False
2,0,2,6,26,False
0,0,4,2,18,False
0,0,0,9,22,False
2,0,0,5,41,False
0,0,0,8,35,False
2,2,0,3,33,False
0,0,0,2,31,False
0,0,4,4,31,False
0,2,2,2,29,False
0,0,2,5,30,False
0,0,2,2,29,False
0,2,2,3,31,False
0,2,2,2,32,False
0,0,2,2,23,False
0,0,0,2,27,False
0,0,2,2,29,False
0,0,4,1,39,False
0,1,3,2,36,False
0,0,0,3,33,False
0,0,3,3,33,False
1,3,3,1,39,False
0,0,3,2,24,False
0,0,4,2,21,False
0,4,1,1,28,False
0,0,0,4,30,False
0,0,1,2,28,False
0,2,4,2,18,False
1,1,0,1,26,False
1,2,0,2,31,False
1,0,2,2,32,False
1,1,3,1,41,False
1,0,3,15,31,False
1,2,2,9,26,False
1,1,4,2,31,False
2,0,1,4,36,False
2,1,4,5,28,False
0,0,2,1,33,False
0,1,3,1,28,False
0,0,0,9,25,False
0,1,0,1,33,False
0,0,1,8,32,False
0,1,2,4,25,False
0,0,1,4,28,False
0,1,2,4,25,False
0,1,1,5,22,False
0,5,1,5,27,False
1,4,5,5,52,False
1,1,1,1,28,False
1,1,1,2,37,False
1,1,3,1,26,False
0,1,1,3,24,False
1,2,1,4,23,False
0,1,1,1,23,False
0,2,2,1,23,False
0,1,2,2,21,False
0,2,1,8,24,False
1,3,1,3,28,False
1,1,1,1,29,False
1,1,1,1,20,False
1,1,1,2,24,False
0,0,2,1,23,False
1,2,1,1,24,False
1,6,1,3,22,False
0,2,2,3,23,False
0,2,1,1,24,False
0,2,2,2,24,False
1,3,1,1,25,False
2,4,1,2,26,False
3,6,7,36,22,False
0,4,5,8,24,False
1,2,6,64,27,False
1,4,1,52,20,False
0,2,1,21,20,False
1,2,1,13,21,False
0,2,1,9,22,False
0,3,1,10,30,False
1,2,2,8,33,False
1,2,1,10,28,False
1,3,1,8,29,False
1,3,1,15,19,False
0,1,1,9,22,False
1,3,2,6,27,False
0,2,1,10,33,False
0,1,1,6,36,False
0,1,2,4,100,False
0,1,1,3,40,False
0,1,1,6,49,False
0,2,1,7,35,False
0,4,1,4,28,False
0,3,1,7,23,False
0,2,1,4,19,False
0,2,0,7,19,False
0,2,1,3,24,False
1,4,1,2,19,False
0,2,1,4,22,False
0,2,1,2,20,False
0,3,1,3,24,False
0,1,1,2,25,False
0,1,1,3,27,False
0,1,1,3,16,False
0,1,1,2,22,False
0,1,0,4,24,False
0,0,1,3,29,False
0,1,1,3,19,False
0,1,1,3,19,False
0,1,2,2,21,False
1,1,1,7,21,False
1,2,1,4,19,False
0,2,2,5,17,False
0,1,8,3,19,False
0,1,1,7,17,False
0,1,1,14,14,False
0,1,4,6,15,False
0,1,1,31,14,False
0,2,1,8,15,False
0,1,2,5,12,False
0,3,3,8,16,False
0,2,4,2,20,False
1,2,2,2,17,False
0,2,4,4,14,False
0,2,5,3,18,False
0,1,24,7,16,False
0,2,6,2,17,False
0,1,24,1,17,False
0,1,1,3,17,False
0,1,2,7,19,False
0,1,0,6,16,False
0,1,1,3,17,False
0,1,1,4,15,False
1,1,1,1,17,False
0,1,1,2,15,False
0,1,0,2,15,False
0,0,2,2,21,False
0,1,0,11,15,False
0,1,1,15,19,False
0,0,1,5,18,False
0,1,0,4,16,False
0,1,1,3,16,False
0,1,0,6,17,False
0,1,0,10,17,False
0,1,1,6,25,False
0,1,1,6,50,False
0,1,0,7,21,False
0,1,0,2,13,False
0,1,0,3,12,False
0,1,0,3,18,False
0,1,0,2,31,False
0,1,1,2,26,False
0,1,0,2,19,False
0,1,1,2,16,True
