Kare Anderson,Alejandro Aravena,Haas&Hahn,Ramanan Laxminarayan,Iraola,isPartial
0,26,0,0,17,False
0,8,0,0,23,False
11,11,0,0,11,False
8,0,0,0,19,False
7,0,0,0,17,False
0,7,0,7,21,False
7,0,0,0,17,False
0,7,0,0,24,False
13,0,0,0,19,False
6,7,0,0,13,False
6,6,0,0,9,False
0,6,0,0,20,False
0,0,0,0,16,False
0,6,0,0,14,False
5,0,0,0,11,False
5,5,0,0,10,False
0,11,0,0,11,False
0,14,0,0,9,False
0,7,0,0,9,False
0,5,0,0,9,False
0,4,0,0,18,False
8,4,0,0,19,False
4,6,0,0,17,False
8,0,0,0,14,False
3,3,0,0,10,False
0,0,0,7,13,False
3,7,0,0,24,False
6,4,0,0,12,False
0,3,0,0,15,False
0,6,0,0,16,False
3,3,0,0,18,False
0,4,0,0,15,False
0,4,0,0,13,False
2,6,0,0,12,False
0,5,0,2,13,False
0,2,0,0,20,False
0,3,0,2,14,False
2,2,0,0,19,False
2,3,0,0,21,False
2,3,0,0,13,False
2,3,0,2,14,False
0,2,0,0,17,False
2,2,0,2,10,False
2,4,0,0,13,False
0,6,0,0,18,False
1,5,0,3,17,False
1,7,0,0,10,False
2,4,0,2,16,False
3,4,0,0,14,False
0,5,0,1,17,False
1,6,0,0,16,False
2,3,0,0,20,False
3,4,0,0,18,False
1,5,0,0,11,False
3,7,0,0,13,False
0,4,0,0,21,False
1,7,0,0,21,False
1,7,0,0,18,False
1,3,0,0,17,False
1,6,0,1,17,False
0,4,0,1,17,False
1,6,0,0,18,False
1,7,0,1,14,False
1,8,0,0,18,False
3,6,0,1,17,False
1,6,0,0,14,False
1,4,0,1,15,False
2,8,0,1,16,False
1,8,0,1,23,False
1,4,0,1,20,False
1,5,0,0,20,False
1,4,0,0,20,False
1,4,0,0,21,False
2,4,0,1,14,False
1,5,0,1,15,False
1,6,0,0,16,False
0,7,1,1,16,False
1,7,0,1,16,False
1,5,0,1,11,False
1,4,0,1,14,False
1,4,0,0,20,False
1,3,0,1,21,False
2,4,0,1,25,False
1,3,0,1,18,False
1,3,0,0,16,False
0,3,0,1,19,False
1,4,0,1,24,False
1,5,0,1,18,False
1,4,1,0,19,False
1,4,0,1,17,False
1,3,0,1,15,False
1,4,0,1,21,False
1,4,0,1,20,False
1,5,0,1,15,False
1,4,0,0,17,False
0,3,0,0,14,False
1,2,0,0,15,False
0,3,0,0,16,False
1,4,0,0,34,False
0,4,0,1,17,False
0,5,0,0,24,False
1,3,0,1,16,False
0,2,0,0,15,False
0,5,0,0,15,False
0,4,0,1,15,False
0,4,0,0,15,False
1,3,0,0,12,False
1,3,0,0,15,False
1,2,0,0,15,False
1,3,0,0,15,False
1,4,0,0,13,False
0,4,0,0,15,False
1,4,0,0,13,False
0,3,0,0,13,False
1,3,0,1,14,False
1,4,0,0,14,False
1,4,0,0,16,False
0,4,0,1,15,False
1,3,1,0,15,False
1,2,0,0,15,False
0,2,0,0,15,False
1,3,0,0,14,False
1,4,0,0,16,False
1,3,0,0,11,False
1,3,0,0,13,False
0,4,0,0,12,False
1,3,0,1,13,False
1,3,0,1,18,False
0,3,0,1,19,False
1,4,0,0,16,False
2,8,0,1,16,False
1,3,0,1,12,False
1,4,1,0,13,False
1,4,0,1,16,False
1,5,0,0,19,False
1,3,0,1,22,False
1,4,0,0,62,False
1,4,0,1,25,False
1,8,0,1,30,False
1,6,0,0,20,False
0,8,0,0,17,False
1,7,0,0,14,False
1,5,0,1,13,False
1,4,0,0,13,False
1,100,0,0,15,False
0,19,0,0,11,False
0,17,0,0,13,False
0,26,0,0,13,False
1,20,0,1,16,False
0,15,0,0,15,False
0,10,0,0,17,False
1,12,0,0,10,False
1,13,0,0,13,False
1,12,0,0,14,False
1,10,0,0,17,False
0,8,0,0,12,False
0,7,1,1,11,False
0,11,0,0,12,False
0,10,0,0,11,False
1,21,0,0,11,False
1,12,0,0,12,False
1,9,0,1,11,False
0,7,0,1,10,False
1,10,0,0,9,False
0,9,0,0,8,False
1,9,0,0,9,False
0,10,0,0,9,False
1,6,0,0,7,False
0,6,0,0,10,False
1,7,0,0,11,False
0,7,0,0,11,False
0,7,0,0,8,False
0,7,0,0,10,False
1,7,0,0,10,False
0,6,0,0,9,False
0,5,0,0,10,False
1,6,0,0,10,False
1,7,0,0,12,False
1,7,0,0,9,False
0,5,0,0,10,False
1,4,0,0,9,False
1,5,0,0,11,False
1,8,0,0,9,False
0,6,0,0,10,False
0,5,0,0,12,False
1,5,0,0,9,False
0,3,0,0,11,False
0,5,0,0,12,False
0,4,0,0,9,False
0,5,0,0,10,False
0,6,0,0,10,False
0,3,0,0,9,False
0,4,0,0,15,False
0,5,0,0,29,False
0,5,0,19,12,False
0,6,0,3,8,False
1,4,0,2,8,False
0,6,0,1,10,False
0,5,0,1,17,False
0,4,0,0,16,False
0,6,0,1,12,False
0,4,0,0,10,True
