Dave Eggers,Karen Armstrong,Neil Turok,Norman Foster,Iraola,isPartial
25,11,0,61,5,False
23,10,0,65,3,False
19,32,3,43,6,False
15,15,0,53,4,False
15,20,0,43,3,False
17,11,0,40,4,False
13,10,0,30,4,False
14,14,2,33,7,False
27,12,0,47,5,False
16,16,2,58,3,False
16,16,0,46,2,False
15,13,0,100,2,False
23,16,1,55,4,False
15,16,0,55,4,False
17,17,0,42,2,False
12,21,0,42,3,False
16,12,0,48,4,False
21,9,1,40,4,False
21,11,0,38,4,False
14,12,0,40,2,False
13,13,0,49,4,False
14,8,0,51,5,False
18,10,0,46,4,False
15,11,3,36,4,False
18,8,1,43,3,False
9,14,0,40,3,False
5,12,0,42,7,False
11,17,0,38,4,False
9,15,1,45,6,False
10,11,1,30,6,False
11,13,1,31,5,False
13,9,2,24,3,False
9,12,1,44,2,False
7,11,1,34,2,False
19,10,0,43,4,False
11,9,0,33,4,False
15,9,1,31,3,False
9,8,0,32,4,False
11,8,1,36,4,False
11,6,1,31,3,False
11,8,0,34,3,False
12,10,0,35,3,False
10,7,1,25,4,False
10,9,0,24,4,False
10,8,0,59,5,False
12,10,0,38,4,False
10,8,1,37,3,False
10,10,1,30,4,False
10,9,0,35,4,False
11,9,1,33,4,False
10,9,2,31,4,False
10,7,1,33,4,False
8,8,2,31,4,False
9,6,1,24,2,False
7,6,1,22,3,False
7,5,1,18,6,False
10,7,1,27,5,False
7,5,1,27,5,False
7,7,1,31,5,False
9,5,0,23,5,False
7,6,1,23,4,False
8,7,0,27,5,False
10,13,1,24,5,False
10,7,0,21,5,False
8,6,0,29,5,False
16,7,0,21,5,False
15,9,0,17,5,False
12,8,0,18,5,False
10,16,0,24,6,False
20,17,1,25,5,False
13,14,0,24,6,False
14,10,0,17,5,False
11,10,0,18,5,False
11,9,0,19,4,False
12,7,0,21,4,False
9,8,1,20,4,False
8,6,0,19,4,False
9,6,0,17,4,False
9,6,0,14,3,False
11,7,0,14,3,False
11,7,0,18,4,False
8,7,0,26,5,False
9,5,0,22,7,False
7,6,0,16,6,False
8,14,0,18,4,False
8,9,0,21,7,False
7,9,0,19,6,False
6,7,0,20,5,False
8,4,0,19,6,False
8,6,1,16,5,False
6,7,0,13,4,False
7,7,0,17,6,False
6,5,1,16,6,False
6,5,0,20,4,False
7,7,0,21,4,False
5,5,0,16,3,False
7,5,0,16,4,False
4,6,0,18,5,False
6,6,0,17,7,False
6,5,0,17,5,False
5,4,0,17,7,False
7,4,0,14,3,False
7,6,0,12,3,False
7,6,0,13,4,False
7,6,0,15,4,False
5,5,2,16,3,False
5,4,2,16,4,False
7,3,1,13,4,False
7,4,1,14,4,False
7,4,1,14,4,False
6,4,1,14,3,False
5,4,1,19,3,False
4,4,1,15,3,False
5,6,0,13,3,False
4,5,0,10,3,False
5,5,1,11,4,False
7,4,0,13,4,False
14,4,1,17,4,False
11,5,0,15,4,False
13,6,0,12,3,False
10,5,1,16,4,False
8,4,0,14,4,False
7,5,1,14,4,False
6,4,0,16,3,False
6,4,0,14,4,False
7,4,0,11,3,False
9,5,0,9,4,False
12,4,0,11,4,False
10,5,0,25,5,False
9,5,0,13,4,False
9,5,0,13,4,False
8,6,0,11,4,False
7,9,1,12,4,False
6,5,0,13,4,False
7,5,0,12,5,False
6,5,0,14,7,False
6,3,0,11,15,False
7,5,0,12,7,False
7,3,0,8,7,False
7,4,0,12,6,False
6,4,0,13,4,False
6,4,1,13,4,False
6,5,0,13,4,False
5,5,0,10,3,False
5,4,0,10,3,False
5,3,0,11,3,False
5,4,1,12,3,False
7,4,0,12,3,False
5,2,0,12,4,False
5,3,0,8,4,False
6,3,0,7,4,False
5,3,0,9,3,False
5,4,0,12,3,False
5,3,0,10,4,False
6,2,0,11,5,False
7,3,0,8,4,False
5,3,0,9,3,False
6,3,0,8,3,False
6,3,1,10,3,False
8,3,0,10,3,False
6,3,0,12,3,False
4,4,0,11,3,False
5,3,0,9,3,False
4,3,0,8,3,False
4,3,0,12,3,False
4,5,0,13,3,False
4,3,0,13,3,False
4,4,0,9,2,False
4,3,0,10,3,False
5,3,0,10,3,False
4,3,0,11,2,False
4,2,0,9,2,False
4,3,0,9,3,False
3,2,0,9,3,False
3,2,0,9,2,False
3,2,0,10,3,False
3,3,0,11,3,False
3,8,0,12,3,False
4,6,0,10,3,False
3,5,0,8,3,False
4,9,0,8,2,False
3,9,0,8,3,False
4,6,0,10,2,False
3,4,0,12,3,False
3,3,0,9,3,False
3,4,0,9,2,False
3,11,0,8,3,False
3,6,0,8,3,False
3,5,0,9,3,False
3,3,0,9,2,False
3,4,0,9,3,False
4,4,0,7,3,False
3,4,0,9,4,False
3,3,0,9,7,False
3,3,0,7,3,False
3,3,0,8,2,False
5,4,0,8,3,False
3,3,0,7,2,False
3,3,0,7,5,False
2,3,0,6,4,False
2,3,0,8,3,False
2,2,0,7,3,True
