Henry Markram,Julian Treasure,John Gerzema,Paul Debevec,Iraola,isPartial
15,0,0,44,15,False
0,0,0,0,44,False
0,0,0,36,18,False
0,0,0,14,42,False
12,0,0,0,30,False
12,0,0,12,42,False
0,0,0,13,25,False
0,0,0,12,58,False
11,0,0,0,32,False
11,0,0,11,11,False
11,0,0,0,11,False
0,10,0,10,36,False
0,9,0,0,22,False
0,0,0,9,23,False
8,0,0,16,12,False
0,0,0,9,18,False
8,0,0,19,23,False
8,0,0,8,16,False
8,0,0,8,20,False
8,0,0,15,8,False
0,0,0,21,28,False
0,0,0,7,39,False
7,0,0,13,39,False
0,0,0,0,22,False
0,11,0,11,14,False
0,0,0,14,20,False
0,0,0,5,40,False
5,0,0,0,19,False
5,0,0,0,32,False
0,0,0,13,21,False
5,0,0,5,28,False
5,5,0,5,21,False
0,0,0,5,18,False
4,0,4,4,16,False
8,0,0,4,24,False
0,0,0,13,39,False
0,0,0,7,29,False
4,4,0,4,38,False
0,0,0,7,35,False
7,3,0,3,17,False
0,3,0,6,24,False
6,3,0,9,25,False
3,0,0,6,12,False
0,0,0,6,23,False
3,0,0,0,28,False
0,0,0,3,33,False
5,0,0,4,17,False
0,0,0,7,29,False
2,0,0,6,22,False
2,0,0,2,30,False
0,3,0,4,23,False
3,2,0,3,36,False
2,2,2,3,26,False
2,2,0,2,18,False
2,2,0,7,22,False
2,0,0,2,41,False
4,2,0,5,35,False
2,2,3,6,33,False
2,4,0,4,31,False
4,0,0,4,31,False
0,2,2,2,29,False
0,0,0,5,30,False
2,0,2,2,29,False
3,0,2,2,31,False
2,0,0,2,32,False
3,2,0,2,23,False
11,3,0,2,27,False
6,2,2,6,29,False
4,0,0,2,39,False
8,1,1,4,36,False
4,2,3,6,33,False
4,1,2,5,33,False
5,1,1,3,39,False
4,2,1,3,24,False
2,0,0,4,21,False
4,1,3,4,28,False
3,3,1,2,30,False
1,1,3,3,28,False
7,2,0,2,18,False
3,2,0,5,26,False
2,3,2,3,31,False
2,7,1,2,32,False
2,1,0,3,41,False
1,2,1,4,31,False
3,2,0,3,26,False
2,3,2,2,31,False
3,2,2,2,36,False
2,1,0,2,28,False
7,1,1,3,33,False
2,1,1,1,28,False
3,6,1,2,25,False
4,15,2,1,33,False
3,4,0,3,32,False
2,4,0,2,25,False
2,3,1,1,28,False
4,1,0,2,25,False
1,3,1,1,22,False
2,3,1,2,27,False
2,1,1,1,52,False
4,2,1,2,28,False
2,1,1,2,37,False
1,2,1,1,26,False
5,2,1,1,24,False
3,2,1,1,23,False
3,5,1,1,23,False
3,5,0,2,23,False
4,2,1,2,21,False
1,3,0,1,24,False
6,4,1,1,28,False
6,4,0,2,29,False
3,2,1,1,20,False
3,2,1,1,24,False
5,4,1,2,23,False
2,4,3,1,24,False
4,2,1,2,22,False
2,1,2,2,23,False
2,3,2,1,24,False
4,5,1,3,24,False
3,3,2,2,25,False
3,3,1,1,26,False
4,3,1,1,22,False
3,2,1,1,24,False
4,5,1,1,27,False
3,3,2,1,20,False
1,1,1,2,20,False
1,7,1,1,21,False
4,10,1,2,22,False
2,7,0,2,30,False
3,8,1,2,33,False
2,7,0,2,28,False
2,9,0,2,29,False
1,5,1,1,19,False
1,7,1,2,22,False
2,8,1,1,27,False
2,10,0,1,33,False
2,5,0,1,36,False
1,6,0,1,100,False
1,6,0,1,40,False
1,7,0,2,49,False
1,7,0,2,35,False
1,9,0,1,28,False
3,9,0,1,23,False
3,5,0,1,19,False
1,5,0,1,19,False
0,9,0,0,24,False
0,8,0,1,19,False
0,7,0,1,22,False
2,6,0,1,20,False
1,6,0,0,24,False
1,9,0,0,25,False
1,6,0,1,27,False
1,5,0,1,16,False
1,8,1,0,22,False
1,5,0,1,24,False
1,8,0,1,29,False
2,3,0,1,19,False
0,5,0,0,19,False
0,8,1,1,21,False
2,8,0,0,21,False
1,8,0,1,19,False
1,6,0,0,17,False
1,6,0,0,19,False
1,5,0,0,17,False
0,5,0,0,14,False
0,10,0,1,15,False
2,8,0,1,14,False
1,7,0,0,15,False
1,4,0,0,12,False
2,5,0,0,16,False
1,7,1,1,20,False
1,5,1,1,17,False
1,6,0,0,14,False
1,6,0,1,18,False
0,4,0,0,16,False
0,5,0,0,17,False
1,5,0,1,17,False
2,5,1,1,17,False
1,6,0,1,19,False
2,6,0,0,16,False
2,3,0,2,17,False
3,5,0,1,15,False
1,5,0,0,17,False
1,6,0,0,15,False
3,4,0,0,15,False
1,4,0,1,21,False
1,3,0,0,15,False
1,4,1,1,19,False
1,4,0,0,18,False
2,7,0,1,16,False
1,6,0,1,16,False
1,4,0,1,17,False
1,3,0,0,17,False
1,5,0,0,25,False
1,5,0,1,50,False
1,3,0,0,21,False
1,3,0,0,13,False
1,4,0,1,12,False
0,6,0,0,18,False
1,3,0,0,31,False
1,4,0,1,26,False
1,5,1,1,19,False
1,6,0,0,16,True
