Tim Ferriss,Matthew Childs,Margaret Wertheim,Niels Diffrient,Iraola,isPartial
0,4,0,0,7,False
4,4,0,0,13,False
0,0,5,5,8,False
0,4,0,0,9,False
0,0,0,0,9,False
0,0,4,0,7,False
0,4,0,4,8,False
0,0,4,4,14,False
3,3,3,3,8,False
3,3,0,0,7,False
0,3,0,0,3,False
0,3,3,0,5,False
0,3,3,0,6,False
0,3,0,0,9,False
0,2,0,0,6,False
0,5,3,3,8,False
0,0,0,2,6,False
0,3,0,0,8,False
0,0,0,0,7,False
2,0,0,0,5,False
0,0,2,4,9,False
2,3,2,0,8,False
0,2,0,4,6,False
2,0,0,0,8,False
2,3,2,2,5,False
0,0,0,4,6,False
0,2,2,2,10,False
0,2,0,0,6,False
0,2,2,2,10,False
0,2,2,3,10,False
0,0,0,2,10,False
1,0,0,0,6,False
1,1,0,0,7,False
0,1,3,0,6,False
1,2,1,2,7,False
0,1,2,0,7,False
1,1,0,1,6,False
1,0,0,0,7,False
1,2,0,1,8,False
4,0,2,0,7,False
7,0,2,1,9,False
7,0,0,1,7,False
7,0,1,1,8,False
9,1,1,1,7,False
7,0,1,0,9,False
6,1,0,1,6,False
6,0,2,0,8,False
4,1,0,0,8,False
8,1,1,0,7,False
7,1,0,0,6,False
7,1,1,0,8,False
7,1,1,0,8,False
8,1,1,0,8,False
8,1,0,0,5,False
7,1,1,0,5,False
9,1,1,0,10,False
6,2,1,0,10,False
5,1,1,1,9,False
7,1,1,1,10,False
14,1,0,1,9,False
9,1,0,0,8,False
11,1,1,0,8,False
9,0,1,0,8,False
20,1,2,3,10,False
18,1,1,2,8,False
14,1,0,0,9,False
18,0,1,0,9,False
16,0,0,0,10,False
12,1,0,0,11,False
13,0,0,1,9,False
9,1,0,1,11,False
16,1,0,1,10,False
21,1,0,1,10,False
14,0,1,1,7,False
15,1,1,0,9,False
15,1,1,0,8,False
13,1,1,1,7,False
16,1,1,0,9,False
16,0,1,1,6,False
16,1,1,0,7,False
16,0,0,0,8,False
20,0,0,0,10,False
16,0,1,1,13,False
44,0,0,0,10,False
51,1,0,1,9,False
36,1,0,1,13,False
34,0,0,0,12,False
34,0,0,0,10,False
28,0,0,0,11,False
30,0,1,0,10,False
36,0,0,0,7,False
35,1,0,0,11,False
40,1,1,0,11,False
30,0,0,0,9,False
28,0,1,0,8,False
27,1,1,0,7,False
30,0,0,0,8,False
32,0,1,0,10,False
27,0,0,0,15,False
31,0,1,0,9,False
25,1,1,0,15,False
28,1,0,0,7,False
31,1,0,0,7,False
26,0,1,0,8,False
25,0,1,0,8,False
22,1,0,0,7,False
56,1,0,0,7,False
40,0,0,0,8,False
57,1,0,0,7,False
46,0,1,0,7,False
35,0,0,0,6,False
35,0,0,0,7,False
34,0,0,0,7,False
33,0,0,1,7,False
35,0,0,0,7,False
34,0,0,1,8,False
29,0,0,0,8,False
27,1,0,0,7,False
31,0,1,0,8,False
39,0,0,0,7,False
34,0,1,0,7,False
32,0,0,0,8,False
27,0,0,0,8,False
29,0,0,0,7,False
33,1,0,0,8,False
36,0,0,0,7,False
31,0,0,0,7,False
36,0,0,0,10,False
31,0,0,0,11,False
35,0,0,0,8,False
31,0,0,0,8,False
33,1,0,0,7,False
37,1,0,0,7,False
44,0,0,0,8,False
39,0,0,0,10,False
48,0,2,0,13,False
67,0,1,0,28,False
56,0,0,0,13,False
54,0,0,0,14,False
58,0,1,0,11,False
50,0,0,0,8,False
52,0,0,0,7,False
46,0,0,0,7,False
54,0,0,0,7,False
60,0,0,0,7,False
56,0,0,0,5,False
47,0,0,0,7,False
45,0,0,0,6,False
58,0,0,0,8,False
53,0,0,0,8,False
52,0,0,0,8,False
53,0,0,0,6,False
46,0,0,0,6,False
48,1,0,0,8,False
49,1,0,0,9,False
81,0,0,0,8,False
100,0,0,0,5,False
77,0,1,0,6,False
71,0,1,0,5,False
64,0,0,0,5,False
69,0,0,0,6,False
74,0,0,0,5,False
70,0,0,0,5,False
64,0,0,0,5,False
61,0,0,0,5,False
57,1,0,0,5,False
68,0,0,0,5,False
72,0,0,0,3,False
65,0,0,0,5,False
55,0,0,0,5,False
52,0,0,0,5,False
50,0,0,0,4,False
49,0,0,0,6,False
46,0,0,0,5,False
49,0,0,0,5,False
48,0,0,0,6,False
44,0,0,0,6,False
43,0,0,0,6,False
40,0,0,0,6,False
45,0,0,0,6,False
49,0,0,0,5,False
42,0,0,0,5,False
39,0,0,0,5,False
39,0,0,0,5,False
38,0,0,0,5,False
40,0,0,0,5,False
41,0,0,0,7,False
37,0,0,0,6,False
35,0,0,0,6,False
35,0,0,0,5,False
34,0,0,0,5,False
31,0,0,0,5,False
34,0,0,0,8,False
37,0,0,0,15,False
30,0,0,0,6,False
35,0,0,0,5,False
35,0,0,0,5,False
30,0,0,0,4,False
33,0,0,0,10,False
29,0,0,0,8,False
30,0,0,0,6,False
24,0,0,0,5,True
