Simon Sinek,Jeremy Jackson,Anil Gupta,Thomas Dolby,Iraola,isPartial
0,5,3,6,3,False
0,11,3,7,4,False
0,6,3,9,2,False
0,4,3,5,4,False
0,8,1,7,3,False
0,6,3,7,4,False
0,9,3,11,3,False
0,6,4,6,5,False
0,3,2,8,4,False
0,6,3,11,3,False
0,7,3,7,2,False
0,4,3,7,4,False
0,6,2,9,3,False
0,5,2,7,3,False
0,5,2,6,2,False
0,5,2,8,2,False
0,6,3,7,2,False
0,7,3,6,2,False
1,6,4,8,2,False
0,6,5,7,2,False
1,6,4,5,3,False
1,7,3,8,4,False
0,4,3,6,3,False
0,8,3,5,3,False
0,5,1,5,2,False
0,8,3,7,2,False
0,10,2,8,5,False
0,17,2,15,2,False
0,4,3,15,3,False
0,3,4,11,3,False
0,6,3,6,4,False
0,8,2,6,3,False
1,7,3,8,2,False
0,5,2,7,2,False
0,4,2,10,2,False
0,4,2,11,4,False
0,5,1,6,3,False
0,5,2,4,4,False
0,4,3,8,4,False
0,5,2,4,3,False
0,4,2,5,3,False
0,5,2,6,3,False
0,5,3,5,2,False
0,5,3,6,3,False
0,3,3,7,4,False
0,5,3,8,3,False
0,3,2,6,2,False
0,4,2,4,3,False
0,5,3,5,3,False
1,4,1,5,3,False
0,5,2,5,3,False
0,4,2,5,4,False
0,4,2,5,4,False
0,4,2,4,2,False
0,21,2,5,3,False
0,5,2,4,4,False
0,37,3,5,4,False
0,7,2,4,3,False
0,5,2,4,3,False
0,6,2,5,3,False
0,33,2,4,3,False
0,14,2,4,3,False
0,6,2,4,3,False
0,6,2,5,4,False
0,5,2,6,3,False
0,9,2,4,3,False
0,14,2,4,3,False
0,9,3,4,3,False
0,5,3,5,4,False
0,6,3,4,4,False
1,6,2,5,4,False
0,6,2,3,4,False
0,5,2,3,4,False
1,6,2,5,3,False
1,6,3,4,3,False
1,5,2,3,3,False
6,6,3,4,3,False
3,5,2,4,3,False
2,5,2,4,2,False
2,14,2,4,3,False
2,6,2,4,4,False
2,5,2,4,4,False
3,4,2,4,5,False
2,7,2,3,3,False
2,5,2,3,3,False
3,7,2,4,4,False
3,17,2,3,5,False
3,5,2,3,4,False
4,5,2,3,4,False
4,21,2,3,3,False
4,19,2,5,3,False
3,15,2,4,4,False
4,9,2,4,4,False
6,6,2,7,3,False
5,6,2,5,3,False
3,5,2,4,3,False
5,5,2,4,3,False
6,8,2,4,3,False
7,6,2,5,7,False
6,5,2,5,3,False
7,7,3,5,5,False
6,9,3,4,3,False
6,7,3,3,3,False
6,7,3,3,3,False
7,7,3,3,3,False
8,6,2,3,3,False
7,7,3,2,2,False
6,7,2,2,3,False
7,12,2,2,3,False
8,6,2,2,3,False
8,5,2,2,3,False
8,5,2,2,3,False
8,4,2,5,3,False
7,4,2,4,3,False
8,5,2,3,3,False
8,6,2,3,3,False
7,5,2,6,3,False
9,7,2,4,3,False
10,4,2,4,3,False
8,5,2,3,3,False
11,8,2,2,3,False
11,4,2,2,3,False
12,6,2,3,3,False
11,8,2,2,2,False
13,9,2,2,3,False
12,6,2,2,2,False
11,13,2,2,2,False
12,6,2,2,4,False
13,6,2,2,4,False
13,6,2,2,3,False
13,5,2,2,3,False
10,5,2,2,2,False
11,100,1,2,3,False
12,5,2,2,3,False
13,7,2,2,4,False
11,11,2,2,4,False
12,7,2,2,12,False
12,5,2,2,5,False
10,5,2,2,6,False
11,7,2,2,4,False
12,6,2,2,3,False
12,8,3,2,3,False
12,5,1,2,2,False
10,5,2,2,3,False
10,7,1,2,3,False
11,4,1,2,2,False
12,4,2,2,3,False
11,4,2,2,2,False
12,3,2,2,3,False
11,3,2,2,3,False
10,5,2,2,3,False
11,5,1,2,2,False
13,4,1,2,3,False
13,4,1,3,3,False
13,3,2,2,3,False
45,4,2,2,2,False
77,3,1,2,2,False
38,3,1,3,2,False
33,2,1,2,2,False
22,8,2,2,2,False
27,4,2,2,2,False
22,5,1,3,2,False
21,4,1,2,2,False
27,5,2,2,2,False
49,4,2,2,2,False
38,3,1,1,2,False
30,3,1,2,2,False
27,3,1,3,1,False
32,3,1,2,2,False
30,3,2,2,2,False
29,3,1,2,2,False
26,3,2,3,2,False
25,2,1,2,2,False
27,3,2,1,2,False
25,3,2,2,2,False
27,3,2,2,2,False
26,3,1,2,2,False
29,6,2,2,2,False
41,2,1,2,2,False
29,2,1,2,2,False
29,3,1,2,2,False
28,3,1,2,2,False
24,3,2,2,2,False
21,3,2,2,2,False
22,3,1,2,2,False
21,3,2,2,2,False
20,4,1,2,2,False
21,4,2,2,2,False
22,3,2,2,2,False
28,3,1,1,2,False
30,3,2,1,2,False
23,3,1,2,2,False
25,3,1,2,3,False
25,3,2,2,6,False
20,3,1,1,2,False
22,4,1,2,2,False
20,3,1,2,2,False
21,3,1,2,2,False
19,3,1,2,3,False
20,3,2,2,3,False
21,3,1,1,2,False
19,11,1,2,2,True
