Billie Jean King,David Rothkopf,Mia Birdsong,Michael Kimmel,Iraola,isPartial
5,2,0,4,4,False
5,4,0,3,5,False
12,2,0,2,2,False
6,2,0,4,4,False
9,0,0,4,3,False
7,0,0,2,4,False
6,0,0,2,4,False
4,0,0,1,5,False
4,0,0,2,4,False
5,0,0,2,3,False
6,1,0,3,2,False
5,0,0,2,4,False
4,1,0,2,3,False
6,0,0,2,3,False
9,1,0,1,2,False
6,0,0,2,2,False
6,1,0,2,2,False
7,2,0,1,2,False
3,1,0,1,2,False
4,1,0,1,2,False
5,2,0,1,4,False
4,1,0,3,4,False
8,1,0,2,3,False
5,1,0,1,3,False
6,0,0,2,2,False
5,1,0,2,3,False
9,1,0,2,5,False
7,1,0,2,2,False
7,1,0,2,3,False
5,1,0,1,3,False
6,1,0,1,4,False
21,1,0,1,3,False
13,1,0,1,3,False
6,0,0,1,2,False
5,0,0,0,3,False
4,1,0,2,4,False
5,0,0,1,3,False
5,0,0,2,4,False
9,1,0,2,4,False
5,0,0,1,3,False
6,1,0,1,3,False
6,1,0,1,4,False
11,0,0,0,2,False
7,0,0,1,3,False
10,1,0,2,4,False
4,0,0,1,3,False
4,0,0,1,2,False
4,0,0,1,3,False
4,0,0,1,3,False
6,0,0,2,3,False
5,1,0,1,3,False
7,1,0,1,4,False
6,1,0,1,4,False
6,1,0,1,2,False
8,1,0,1,3,False
7,0,0,1,4,False
8,1,0,3,4,False
7,1,0,1,4,False
4,1,0,2,4,False
3,1,0,0,3,False
4,0,0,1,4,False
6,1,0,1,4,False
9,1,0,1,3,False
4,0,0,2,4,False
5,1,0,1,4,False
8,1,0,2,3,False
13,1,0,1,3,False
10,0,0,2,3,False
10,1,0,2,5,False
5,0,0,2,4,False
4,1,0,1,4,False
3,0,0,1,4,False
5,1,0,1,4,False
6,0,0,1,3,False
7,0,0,1,3,False
5,0,0,1,3,False
5,0,0,2,3,False
5,0,0,1,3,False
9,0,0,1,2,False
5,0,0,1,3,False
8,0,0,1,4,False
3,0,0,1,4,False
3,1,0,1,5,False
3,0,0,1,4,False
3,0,0,1,3,False
3,0,0,1,4,False
5,0,0,1,5,False
4,0,0,1,4,False
4,1,0,1,4,False
12,0,0,1,3,False
9,0,0,1,3,False
5,0,0,1,4,False
9,0,0,1,4,False
5,0,0,1,3,False
3,0,0,2,3,False
3,0,0,1,3,False
4,0,0,1,3,False
3,1,0,1,3,False
5,1,0,1,7,False
4,1,0,1,3,False
4,0,0,1,5,False
6,0,0,1,3,False
6,0,0,1,3,False
6,0,0,1,3,False
7,0,0,2,3,False
4,1,0,2,3,False
3,0,0,2,3,False
2,0,0,1,3,False
3,1,0,2,3,False
4,0,0,2,3,False
4,0,0,2,3,False
4,0,0,1,3,False
4,0,0,1,3,False
12,0,0,2,3,False
10,0,0,2,3,False
14,0,0,1,3,False
25,0,0,1,3,False
5,0,0,2,3,False
5,0,0,2,3,False
20,0,0,2,3,False
13,0,0,1,3,False
14,0,0,2,3,False
5,0,0,2,3,False
4,0,0,1,2,False
5,0,0,2,3,False
8,0,0,2,2,False
6,0,0,1,3,False
7,0,0,1,4,False
8,0,0,3,4,False
5,1,0,2,3,False
3,0,0,2,3,False
4,0,0,2,2,False
5,0,0,1,3,False
4,0,0,2,3,False
5,0,0,1,4,False
6,0,0,2,5,False
5,0,0,2,13,False
7,0,0,1,5,False
10,0,0,1,6,False
6,0,0,1,4,False
13,0,0,1,3,False
4,0,0,12,3,False
5,0,0,3,3,False
4,0,0,2,3,False
4,0,0,1,3,False
6,0,0,2,2,False
10,0,0,2,3,False
9,0,0,2,3,False
6,0,0,2,3,False
10,0,0,1,3,False
13,0,0,1,3,False
6,0,1,1,2,False
6,0,0,2,3,False
3,0,0,1,3,False
4,0,0,1,3,False
4,0,0,1,3,False
5,0,0,1,2,False
5,1,0,3,2,False
7,1,0,2,2,False
5,1,0,1,2,False
15,1,0,2,2,False
13,1,0,2,2,False
21,1,0,1,2,False
11,1,0,1,2,False
100,0,0,1,2,False
44,0,0,2,2,False
28,0,0,2,2,False
31,0,0,1,1,False
82,0,0,1,2,False
28,0,0,1,2,False
21,1,0,2,2,False
15,0,0,1,2,False
12,0,0,1,2,False
13,0,0,1,2,False
71,1,0,1,2,False
37,1,0,3,2,False
33,0,0,2,2,False
21,0,0,2,2,False
19,1,0,2,2,False
24,0,0,1,2,False
17,0,0,1,2,False
15,0,0,1,2,False
17,1,0,1,2,False
10,0,0,1,2,False
10,0,0,1,2,False
10,0,0,1,2,False
22,1,0,1,2,False
13,1,0,1,2,False
23,0,0,1,2,False
8,1,0,1,2,False
7,1,0,1,2,False
6,0,0,1,2,False
6,0,0,1,3,False
9,1,0,1,6,False
11,0,0,1,2,False
9,0,0,1,2,False
8,1,0,1,2,False
6,1,0,2,2,False
11,1,0,1,3,False
11,0,0,1,3,False
14,0,0,1,2,False
10,1,0,1,2,True
