José Bowen,Bart Knols,Tali Sharot,Jean-Baptiste Michel,Iraola,isPartial
0,0,0,0,47,False
0,0,0,16,26,False
0,0,0,19,19,False
0,0,0,15,30,False
0,0,0,13,22,False
0,0,0,0,26,False
0,0,0,0,36,False
0,0,0,13,38,False
0,0,0,12,31,False
0,0,0,0,40,False
0,0,0,0,32,False
0,0,0,22,33,False
0,10,0,10,26,False
0,0,0,0,24,False
0,0,0,8,28,False
0,0,0,10,45,False
0,0,0,17,20,False
0,0,0,0,31,False
0,9,0,9,29,False
0,0,0,0,19,False
0,8,0,8,30,False
0,0,7,11,26,False
0,0,0,0,35,False
0,0,0,0,19,False
0,0,6,0,14,False
0,0,0,6,31,False
0,0,0,0,38,False
0,0,6,6,27,False
0,0,5,5,37,False
0,0,0,0,34,False
0,0,0,6,37,False
0,5,0,5,26,False
0,5,5,5,26,False
0,7,0,4,24,False
0,4,0,0,17,False
0,0,4,5,32,False
0,0,0,4,30,False
0,0,0,4,39,False
0,4,0,4,34,False
0,0,0,6,20,False
0,0,0,13,17,False
0,0,0,3,25,False
0,0,0,3,28,False
0,6,0,6,27,False
0,0,0,3,35,False
0,0,3,3,24,False
0,3,3,3,23,False
0,3,3,6,31,False
0,0,4,3,24,False
0,3,0,3,26,False
0,0,0,3,31,False
0,0,0,2,29,False
0,0,2,5,34,False
0,0,0,4,29,False
0,2,2,2,20,False
0,2,2,0,33,False
0,0,2,5,37,False
0,0,2,3,36,False
0,0,0,2,35,False
0,0,2,3,38,False
0,2,0,6,37,False
0,2,0,2,37,False
0,0,2,3,26,False
0,0,2,2,29,False
0,2,0,2,29,False
0,2,0,0,36,False
0,0,0,3,25,False
0,2,0,2,28,False
0,2,0,3,38,False
0,2,2,4,36,False
0,2,2,2,37,False
0,0,0,2,31,False
0,1,1,3,43,False
0,2,0,2,29,False
0,1,1,2,25,False
0,1,0,1,28,False
0,3,0,3,27,False
0,0,1,3,31,False
0,3,1,3,29,False
0,0,1,3,29,False
0,2,0,4,37,False
0,0,0,2,31,False
0,2,0,3,46,False
0,0,1,2,36,False
0,1,0,2,30,False
0,1,1,1,37,False
0,1,0,1,48,False
0,1,2,2,30,False
0,1,2,2,41,False
0,1,6,3,38,False
0,1,4,3,28,False
0,0,3,2,51,False
0,0,1,4,33,False
0,0,3,1,30,False
0,0,2,2,30,False
0,0,1,2,25,False
0,1,3,2,30,False
0,1,3,2,30,False
0,1,5,2,58,False
0,2,4,1,32,False
0,3,20,6,42,False
0,1,5,2,31,False
0,0,7,1,24,False
0,1,2,2,28,False
0,2,2,3,34,False
0,1,3,1,26,False
0,1,11,2,23,False
0,1,9,1,29,False
0,1,3,2,27,False
0,0,3,2,26,False
0,0,4,2,24,False
0,1,4,4,25,False
0,1,3,1,23,False
0,0,2,1,23,False
0,1,4,2,27,False
0,1,2,1,26,False
0,1,2,1,26,False
0,1,3,1,26,False
0,1,2,1,26,False
0,1,2,0,23,False
0,0,3,1,26,False
0,1,3,1,27,False
0,1,2,1,30,False
0,1,1,1,20,False
0,1,1,1,22,False
0,0,3,2,22,False
0,1,2,2,26,False
0,1,1,1,35,False
0,1,1,1,36,False
0,1,3,1,27,False
0,1,1,1,29,False
0,1,2,1,22,False
0,1,3,2,26,False
0,1,2,1,27,False
0,1,1,1,41,False
0,1,2,1,45,False
0,1,2,1,100,False
0,2,2,1,45,False
0,1,1,1,52,False
0,1,2,1,37,False
0,1,1,1,31,False
0,0,1,0,23,False
0,0,2,1,27,False
0,0,2,1,25,False
0,1,2,1,28,False
0,1,1,1,21,False
0,0,2,1,25,False
0,1,1,1,22,False
0,0,2,2,34,False
0,1,2,1,29,False
0,1,1,1,30,False
0,1,2,1,19,False
0,1,1,1,25,False
0,1,2,1,26,False
0,1,1,1,30,False
0,0,1,1,23,False
0,0,1,1,17,False
0,1,1,1,21,False
0,0,2,1,21,False
0,1,2,1,21,False
0,0,2,1,26,False
0,1,2,1,19,False
0,1,1,1,20,False
0,0,2,1,18,False
0,0,4,1,16,False
0,0,3,1,19,False
0,0,2,1,16,False
0,0,3,1,15,False
0,0,3,1,19,False
0,1,3,1,17,False
0,0,2,1,18,False
0,0,2,1,16,False
0,0,3,1,17,False
0,0,3,0,16,False
0,0,2,0,16,False
0,0,4,1,20,False
0,0,3,0,22,False
0,0,3,1,22,False
0,1,3,0,19,False
0,0,4,1,20,False
0,1,4,1,15,False
0,0,1,0,20,False
0,0,4,1,16,False
0,1,3,0,20,False
0,1,4,1,21,False
0,1,2,1,17,False
0,0,3,0,20,False
0,0,2,1,19,False
0,1,4,1,18,False
0,1,4,1,17,False
0,0,4,1,17,False
0,1,4,1,18,False
0,0,4,2,28,False
0,1,6,1,56,False
0,0,5,1,25,False
0,0,4,1,18,False
0,1,2,1,15,False
0,0,3,1,18,False
0,0,1,1,36,False
0,1,2,1,27,False
0,0,3,1,22,False
0,0,2,1,19,True
