Hans and Ola Rosling,Uldus Bakhtiozina,Rishi Manchanda,Andrew Connolly,Iraola,isPartial
0,0,0,0,28,False
0,0,0,0,37,False
0,0,0,0,17,False
0,0,0,0,31,False
0,0,0,0,27,False
0,0,0,0,35,False
0,0,0,12,28,False
0,0,0,11,39,False
0,0,0,10,31,False
0,0,0,0,21,False
0,0,0,11,14,False
0,0,0,10,33,False
0,0,0,9,26,False
0,0,0,14,23,False
0,0,0,8,18,False
0,0,0,9,17,False
0,0,0,7,17,False
0,0,0,15,15,False
0,0,0,0,15,False
0,0,0,7,15,False
0,0,0,10,29,False
0,0,0,6,31,False
0,0,0,6,27,False
0,0,0,6,23,False
0,0,0,5,16,False
0,0,6,8,20,False
0,0,0,8,38,False
0,0,0,5,19,False
0,0,0,5,25,False
0,0,0,5,26,False
0,0,0,10,29,False
0,0,0,5,24,False
0,0,0,9,20,False
0,0,0,12,20,False
0,0,0,5,21,False
0,0,0,0,32,False
0,0,0,7,23,False
0,0,0,9,30,False
0,0,0,10,34,False
0,0,0,10,21,False
0,0,0,6,22,False
0,0,0,6,28,False
0,0,0,3,16,False
0,0,0,7,21,False
0,0,0,4,30,False
0,0,0,2,27,False
0,0,0,2,16,False
0,0,0,3,26,False
0,0,2,2,22,False
0,0,0,5,27,False
0,0,0,4,26,False
0,0,0,4,32,False
0,0,0,4,29,False
0,0,0,6,18,False
0,0,0,5,21,False
0,0,0,3,34,False
0,0,0,4,33,False
0,0,0,2,29,False
0,0,0,4,28,False
0,0,2,4,27,False
0,0,0,3,28,False
0,0,0,2,29,False
0,0,0,2,23,False
0,0,0,2,29,False
0,0,2,2,28,False
0,0,0,3,23,False
0,0,2,3,25,False
0,0,0,3,26,False
0,0,1,6,37,False
0,0,1,5,32,False
0,0,0,5,32,False
0,0,0,4,32,False
0,0,2,3,35,False
0,0,2,3,23,False
0,0,0,3,25,False
0,0,0,4,26,False
0,0,0,3,26,False
0,0,1,3,27,False
0,0,0,2,18,False
0,0,0,3,23,False
0,0,0,5,33,False
0,0,0,3,33,False
0,0,1,3,41,False
0,0,1,2,29,False
0,0,0,4,26,False
0,0,1,3,31,False
0,0,0,3,39,False
0,0,0,2,29,False
0,0,1,9,31,False
0,0,0,5,28,False
0,0,1,4,24,False
0,0,1,7,34,False
0,0,2,4,32,False
0,0,1,2,25,False
0,0,1,3,27,False
0,0,1,2,23,False
0,0,1,4,24,False
0,0,1,3,25,False
0,0,0,2,55,False
0,0,1,2,27,False
0,0,0,2,39,False
0,0,1,4,26,False
0,0,1,3,24,False
0,0,0,3,24,False
0,0,0,3,25,False
0,0,0,3,25,False
0,0,0,5,20,False
0,0,0,2,24,False
0,0,0,2,25,False
0,0,1,3,25,False
0,0,1,3,21,False
0,0,0,3,25,False
0,0,1,4,21,False
0,0,2,4,22,False
0,0,1,6,23,False
0,0,0,3,23,False
0,1,1,3,25,False
0,0,1,7,24,False
0,1,1,4,24,False
0,0,1,3,24,False
0,0,0,3,24,False
0,0,0,3,23,False
0,0,1,3,26,False
0,1,0,2,18,False
0,0,0,2,21,False
0,1,0,4,19,False
0,1,1,3,20,False
0,0,0,2,29,False
1,6,2,5,30,False
0,3,1,4,26,False
1,2,1,3,26,False
0,1,1,1,19,False
0,2,1,1,22,False
1,1,1,2,25,False
0,1,1,2,31,False
0,2,1,2,36,False
0,0,0,2,100,False
0,0,0,3,40,False
0,1,0,3,48,False
0,1,1,2,33,False
1,0,1,1,27,False
1,0,0,2,22,False
0,1,0,4,20,False
0,1,1,3,22,False
0,1,1,2,24,False
0,0,0,2,18,False
1,1,1,3,21,False
0,1,1,2,20,False
0,0,0,1,26,False
0,1,0,2,24,False
0,0,0,2,27,False
0,0,1,2,16,False
0,1,0,2,22,False
0,1,1,1,22,False
0,0,1,1,27,False
0,0,1,2,20,False
0,0,0,2,17,False
0,0,0,2,19,False
1,0,1,1,18,False
0,0,1,3,17,False
0,1,0,3,19,False
0,0,0,2,18,False
0,0,1,2,17,False
0,0,1,2,15,False
0,0,1,3,14,False
0,3,1,1,14,False
0,1,1,3,15,False
0,1,0,2,11,False
0,1,1,2,16,False
0,0,1,2,18,False
0,0,1,2,17,False
0,1,1,2,12,False
1,1,1,2,16,False
0,0,0,2,17,False
0,0,0,1,15,False
1,0,1,2,16,False
1,0,1,3,17,False
0,1,1,1,19,False
1,1,0,1,15,False
1,0,0,2,15,False
0,0,0,2,15,False
0,1,0,2,18,False
0,0,1,2,15,False
0,0,0,1,16,False
0,1,0,2,19,False
1,0,0,1,15,False
0,0,1,3,19,False
0,0,1,2,19,False
0,0,1,2,15,False
0,0,0,2,16,False
0,1,1,2,17,False
0,2,1,1,15,False
1,0,0,2,25,False
0,1,1,2,46,False
0,0,1,1,20,False
0,0,0,2,13,False
0,0,1,2,13,False
0,0,0,1,16,False
0,1,0,2,28,False
0,0,0,1,26,False
0,0,0,2,19,False
1,0,0,1,16,True
