Mike deGruy,Aleph Molinari,Nancy Duarte,Neil Burgess,Iraola,isPartial
0,0,0,15,15,False
0,0,14,0,44,False
0,0,0,0,18,False
0,0,0,0,42,False
0,0,0,12,30,False
0,0,0,0,42,False
13,0,0,13,25,False
0,0,0,0,58,False
0,0,0,11,32,False
0,0,0,0,11,False
0,0,0,11,11,False
0,0,20,10,36,False
0,0,0,0,22,False
0,0,0,9,23,False
0,0,0,8,12,False
0,0,0,9,18,False
0,0,0,12,23,False
0,0,0,8,16,False
0,0,0,24,20,False
0,0,0,15,8,False
0,0,0,0,28,False
0,0,0,13,39,False
0,0,0,6,39,False
0,0,0,6,22,False
6,0,0,6,14,False
0,0,0,11,20,False
0,0,0,15,40,False
0,0,5,5,19,False
5,0,0,5,32,False
0,0,0,5,21,False
0,5,0,10,28,False
5,0,0,5,21,False
0,0,0,5,18,False
0,0,4,0,16,False
4,0,4,4,24,False
0,0,0,8,39,False
4,0,0,4,29,False
0,0,4,8,38,False
0,0,0,3,35,False
0,0,0,10,17,False
0,0,0,7,24,False
0,0,0,5,25,False
3,3,0,8,12,False
3,0,6,12,23,False
0,0,0,0,28,False
0,0,0,8,33,False
0,0,0,2,17,False
3,0,3,3,29,False
0,0,0,5,22,False
0,0,2,8,30,False
0,0,2,3,23,False
2,0,4,0,36,False
0,0,4,2,26,False
0,0,4,2,18,False
0,0,3,6,22,False
0,0,6,7,41,False
2,2,2,3,35,False
2,0,3,3,33,False
0,0,3,4,31,False
0,0,2,7,31,False
2,0,6,3,29,False
0,2,4,4,30,False
2,0,3,6,29,False
2,0,5,2,31,False
0,0,6,2,32,False
0,0,6,2,23,False
2,0,2,2,27,False
0,0,5,2,29,False
0,0,4,3,39,False
0,0,6,4,36,False
1,0,3,3,33,False
1,0,3,2,33,False
0,0,5,3,39,False
1,0,4,2,24,False
1,0,4,2,21,False
6,0,4,3,28,False
2,0,3,3,30,False
2,0,4,4,28,False
0,0,4,2,18,False
0,0,3,1,26,False
0,0,6,2,31,False
0,0,5,4,32,False
1,1,9,5,41,False
1,0,5,2,31,False
0,1,6,4,26,False
0,0,5,2,31,False
0,0,5,2,36,False
1,0,5,2,28,False
0,0,9,3,33,False
1,0,8,2,28,False
1,1,6,1,25,False
0,0,8,2,33,False
0,0,6,3,32,False
0,0,9,2,25,False
1,0,8,2,28,False
1,0,4,3,25,False
0,0,6,1,22,False
52,2,18,3,27,False
6,1,14,1,52,False
5,0,8,3,28,False
4,1,5,1,37,False
1,1,10,3,26,False
1,0,7,3,24,False
4,0,7,3,23,False
1,0,8,2,23,False
2,0,8,3,23,False
1,0,9,2,21,False
1,0,9,3,24,False
23,0,10,4,28,False
12,0,11,1,29,False
6,0,10,2,20,False
2,1,8,2,24,False
5,0,9,2,23,False
4,1,9,4,24,False
1,0,10,3,22,False
3,0,11,3,23,False
1,1,6,3,24,False
0,1,9,2,24,False
2,0,10,2,25,False
1,0,9,2,26,False
1,0,9,3,22,False
0,0,6,5,24,False
5,0,8,1,27,False
3,1,10,1,20,False
1,0,10,1,20,False
1,1,10,3,21,False
3,1,9,3,22,False
1,0,7,3,30,False
1,0,9,3,33,False
2,0,6,4,28,False
1,0,9,2,29,False
1,0,7,2,19,False
1,0,6,4,22,False
1,1,8,4,27,False
0,0,12,1,33,False
3,0,9,4,36,False
1,0,10,2,100,False
1,0,8,2,40,False
1,1,5,2,49,False
0,0,6,3,35,False
1,0,7,3,28,False
2,0,6,4,23,False
2,0,7,1,19,False
2,0,4,4,19,False
2,0,7,4,24,False
1,0,5,2,19,False
1,0,8,3,22,False
2,0,7,3,20,False
1,0,6,2,24,False
0,0,5,2,25,False
0,0,5,5,27,False
0,0,4,2,16,False
0,0,3,1,22,False
1,1,6,2,24,False
1,0,4,3,29,False
1,0,4,2,19,False
0,0,5,1,19,False
0,0,7,2,21,False
1,0,7,2,21,False
2,0,4,3,19,False
1,0,4,2,17,False
1,0,4,2,19,False
1,0,5,2,17,False
1,0,5,2,14,False
1,0,5,1,15,False
1,0,5,5,14,False
1,1,8,2,15,False
1,0,4,3,12,False
1,0,7,1,16,False
1,0,7,3,20,False
2,0,4,2,17,False
0,0,5,3,14,False
2,0,4,3,18,False
0,0,3,2,16,False
0,0,6,2,17,False
0,0,6,1,17,False
1,0,4,2,17,False
1,0,4,3,19,False
2,0,5,4,16,False
2,0,4,1,17,False
1,0,4,3,15,False
1,0,4,2,17,False
1,0,5,1,15,False
1,0,3,3,15,False
0,0,5,1,21,False
1,0,4,1,15,False
1,0,4,2,19,False
1,0,4,2,18,False
1,0,4,2,16,False
1,0,5,3,16,False
1,0,6,2,17,False
1,0,6,2,17,False
2,0,4,1,25,False
0,0,5,2,50,False
1,0,3,1,21,False
1,0,4,1,13,False
0,0,5,3,12,False
0,0,5,1,18,False
1,0,4,1,31,False
1,0,5,1,26,False
1,0,5,2,19,False
0,0,3,2,16,True
