Yasheng Huang,Kate Hartman,Richard Resnick,Lauren Zalaznick,Iraola,isPartial
14,14,0,0,28,False
18,0,0,14,37,False
23,0,34,0,17,False
13,0,13,0,31,False
0,11,0,0,27,False
11,12,34,0,35,False
0,0,12,12,28,False
0,0,11,0,39,False
0,10,0,0,31,False
21,10,16,0,21,False
11,0,0,0,14,False
10,0,10,0,33,False
0,9,0,9,26,False
9,9,9,9,23,False
7,8,0,0,18,False
0,8,0,8,17,False
7,0,7,0,17,False
7,0,7,0,15,False
8,8,8,8,15,False
0,0,0,0,15,False
7,13,7,0,29,False
12,6,0,0,31,False
6,0,12,0,27,False
0,9,6,0,23,False
11,5,0,0,16,False
6,6,6,6,20,False
8,0,5,0,38,False
5,5,0,0,19,False
5,5,5,0,25,False
5,15,0,5,26,False
7,5,0,0,29,False
9,5,0,0,24,False
4,0,9,0,20,False
4,0,4,0,20,False
8,4,6,0,21,False
4,4,4,0,32,False
3,10,0,0,23,False
4,4,4,4,30,False
3,0,3,3,34,False
10,3,0,0,21,False
3,0,3,4,22,False
0,3,0,3,28,False
0,3,4,3,16,False
0,6,3,6,21,False
5,3,3,0,30,False
2,0,2,4,27,False
0,5,2,3,16,False
0,4,3,5,26,False
0,4,2,3,22,False
0,2,5,2,27,False
0,2,2,2,26,False
2,2,2,2,32,False
2,0,2,3,29,False
2,0,0,0,18,False
2,4,2,2,21,False
4,0,3,4,34,False
3,2,4,0,33,False
5,2,2,5,29,False
3,2,2,4,28,False
4,2,2,4,27,False
3,3,3,3,28,False
7,0,2,2,29,False
3,2,2,3,23,False
2,2,2,5,29,False
5,2,0,3,28,False
2,2,2,2,23,False
2,2,5,4,25,False
5,2,2,2,26,False
3,2,2,3,37,False
5,2,2,4,32,False
2,3,3,1,32,False
1,2,1,2,32,False
2,2,2,1,35,False
2,1,3,2,23,False
3,1,1,1,25,False
4,1,2,2,26,False
3,2,1,1,26,False
3,2,1,3,27,False
2,1,2,2,18,False
2,2,1,2,23,False
2,2,1,3,33,False
3,2,1,1,33,False
3,2,1,2,41,False
2,1,2,4,29,False
2,2,2,2,26,False
1,2,1,3,31,False
1,3,1,1,39,False
2,2,1,2,29,False
3,3,1,1,31,False
2,2,2,2,28,False
3,1,1,1,24,False
1,1,1,2,34,False
7,5,5,3,32,False
5,3,3,2,25,False
2,2,2,1,27,False
2,1,3,1,23,False
1,2,1,1,24,False
1,1,1,1,25,False
2,1,1,1,55,False
1,2,1,1,27,False
1,1,2,1,39,False
1,1,1,1,26,False
2,2,1,1,24,False
1,1,1,1,24,False
1,2,1,1,25,False
1,1,1,1,25,False
1,2,1,1,20,False
2,1,1,1,24,False
1,1,2,1,25,False
1,2,1,5,25,False
1,2,1,2,21,False
1,1,1,1,25,False
2,1,1,1,21,False
1,1,1,1,22,False
1,2,1,1,23,False
1,2,1,1,23,False
1,1,1,4,25,False
2,1,1,2,24,False
1,1,1,1,24,False
1,2,1,2,24,False
1,1,1,1,24,False
1,1,3,1,23,False
1,1,1,1,26,False
1,1,1,2,18,False
1,2,1,0,21,False
2,1,1,1,19,False
1,1,1,2,20,False
1,1,1,1,29,False
1,1,1,1,30,False
1,1,0,1,26,False
2,2,1,1,26,False
1,1,1,0,19,False
0,1,1,1,22,False
1,2,3,1,25,False
1,1,0,1,31,False
1,1,1,1,36,False
0,1,1,1,100,False
0,1,1,1,40,False
1,1,1,1,48,False
1,1,1,0,33,False
1,2,1,1,27,False
1,1,1,1,22,False
0,1,1,1,20,False
1,1,1,0,22,False
0,2,1,1,24,False
0,1,1,0,18,False
0,0,0,0,21,False
1,1,2,1,20,False
0,1,1,1,26,False
1,1,1,1,24,False
0,1,1,1,27,False
0,1,1,1,16,False
0,1,1,0,22,False
1,1,1,1,22,False
1,1,0,0,27,False
1,1,1,1,20,False
1,1,1,0,17,False
1,1,1,1,19,False
1,1,1,0,18,False
1,1,1,1,17,False
1,1,1,1,19,False
1,2,1,0,18,False
0,1,1,0,17,False
0,1,1,1,15,False
1,0,1,0,14,False
0,1,1,1,14,False
1,1,1,1,15,False
1,2,1,0,11,False
0,1,1,0,16,False
1,1,1,0,18,False
0,0,1,1,17,False
1,1,1,0,12,False
0,1,0,0,16,False
0,2,0,1,17,False
1,1,1,1,15,False
0,1,1,0,16,False
1,1,1,0,17,False
1,1,1,0,19,False
1,1,1,0,15,False
1,1,1,0,15,False
0,2,0,0,15,False
1,1,1,0,18,False
1,1,1,0,15,False
1,0,0,1,16,False
0,1,0,0,19,False
1,1,0,0,15,False
1,1,0,0,19,False
0,1,1,0,19,False
1,1,0,0,15,False
1,1,1,1,16,False
1,1,1,0,17,False
0,1,1,0,15,False
0,1,1,0,25,False
0,0,1,0,46,False
0,0,0,0,20,False
1,1,1,0,13,False
1,1,1,0,13,False
1,1,1,0,16,False
1,1,1,0,28,False
0,1,1,0,26,False
0,0,0,0,19,False
0,1,1,0,16,True
