Manwar Ali,Philippa Neave,Wanis Kabbaj,Ian Bremmer,Iraola,isPartial
0,0,0,14,28,False
0,0,0,14,37,False
0,0,0,17,17,False
0,0,0,20,31,False
0,0,0,0,27,False
0,0,0,0,35,False
0,0,0,0,28,False
0,0,0,11,39,False
0,0,0,10,31,False
0,0,0,0,21,False
0,0,0,14,14,False
0,0,0,10,33,False
0,0,0,0,26,False
0,0,0,18,23,False
0,0,0,19,18,False
0,0,0,0,17,False
0,0,0,0,17,False
0,0,0,8,15,False
0,0,0,0,15,False
0,0,0,0,15,False
0,0,0,7,29,False
0,0,0,0,31,False
0,0,0,9,27,False
0,6,0,6,23,False
0,0,0,0,16,False
0,0,0,6,20,False
0,0,0,10,38,False
0,0,0,10,19,False
0,0,0,5,25,False
0,0,0,10,26,False
0,0,0,5,29,False
0,0,0,11,24,False
0,0,0,10,20,False
0,0,0,25,20,False
0,0,0,13,21,False
0,0,0,10,32,False
0,0,0,7,23,False
0,0,0,4,30,False
0,0,0,6,34,False
3,0,0,5,21,False
0,0,0,8,22,False
0,0,0,6,28,False
0,0,0,4,16,False
0,0,0,3,21,False
0,0,0,4,30,False
0,0,0,7,27,False
2,0,0,5,16,False
0,0,0,3,26,False
0,0,0,2,22,False
0,0,0,2,27,False
0,0,0,5,26,False
0,0,0,4,32,False
0,0,0,2,29,False
0,0,0,2,18,False
0,2,2,3,21,False
0,0,0,3,34,False
0,0,0,4,33,False
0,0,0,3,29,False
0,0,0,5,28,False
0,0,0,2,27,False
0,0,0,5,28,False
0,0,0,5,29,False
0,0,0,7,23,False
0,0,0,7,29,False
0,0,0,9,28,False
0,0,0,5,23,False
0,0,0,4,25,False
0,0,0,6,26,False
0,0,0,3,37,False
0,0,0,4,32,False
0,0,0,3,32,False
0,0,0,4,32,False
0,0,0,4,35,False
0,0,0,2,23,False
0,0,0,5,25,False
0,0,0,4,26,False
0,0,0,36,26,False
0,1,0,18,27,False
0,0,0,9,18,False
1,0,0,9,23,False
0,0,0,6,33,False
0,2,0,6,33,False
0,0,0,15,41,False
0,0,0,6,29,False
1,0,0,4,26,False
1,0,0,8,31,False
1,0,0,6,39,False
2,0,0,5,29,False
0,0,0,5,31,False
0,0,0,6,28,False
0,0,0,7,24,False
1,0,0,2,34,False
1,0,0,4,32,False
0,0,0,5,25,False
0,0,0,10,27,False
0,0,0,6,23,False
0,0,0,10,24,False
1,0,0,4,25,False
0,0,0,7,55,False
0,0,0,5,27,False
1,0,0,20,39,False
1,0,0,9,26,False
0,0,0,7,24,False
0,0,0,4,24,False
0,0,0,4,25,False
1,0,0,5,25,False
1,0,0,5,20,False
0,0,0,4,24,False
0,0,0,15,25,False
0,0,0,6,25,False
0,0,0,6,21,False
0,0,0,5,25,False
1,0,0,5,21,False
1,0,0,5,22,False
1,1,0,3,23,False
1,0,0,5,23,False
0,0,0,4,25,False
0,0,0,7,24,False
1,0,0,4,24,False
0,0,0,8,24,False
1,0,0,9,24,False
0,1,0,6,23,False
0,0,0,12,26,False
0,0,0,8,18,False
0,0,0,10,21,False
0,0,0,5,19,False
1,0,0,6,20,False
0,0,0,11,29,False
0,1,0,6,30,False
0,0,0,8,26,False
0,0,0,5,26,False
0,1,0,9,19,False
0,0,0,11,22,False
1,0,0,12,25,False
1,0,0,9,31,False
1,0,0,7,36,False
0,0,0,22,100,False
0,0,0,21,40,False
0,0,0,15,48,False
0,0,0,8,33,False
1,0,0,11,27,False
0,0,0,9,22,False
0,0,0,12,20,False
0,0,0,8,22,False
0,0,0,21,24,False
0,0,0,10,18,False
0,0,0,17,21,False
0,0,0,13,20,False
1,0,0,9,26,False
1,0,0,15,24,False
0,0,0,19,27,False
0,0,0,9,16,False
1,0,0,12,22,False
2,1,0,12,22,False
2,0,2,18,27,False
0,0,1,17,20,False
1,0,1,31,17,False
1,0,0,16,19,False
1,0,1,15,18,False
1,0,1,24,17,False
1,0,1,20,19,False
1,0,0,30,18,False
1,0,0,30,17,False
0,0,1,13,15,False
0,0,0,12,14,False
0,0,0,16,14,False
0,0,0,21,15,False
1,0,0,13,11,False
0,0,1,23,16,False
1,0,0,14,18,False
1,0,0,13,17,False
0,0,2,35,12,False
0,0,0,26,16,False
2,0,0,24,17,False
0,0,0,29,15,False
1,0,0,16,16,False
0,0,0,18,17,False
0,0,1,14,19,False
0,0,0,14,15,False
0,0,0,14,15,False
0,0,0,28,15,False
0,0,0,19,18,False
0,0,1,21,15,False
1,0,0,15,16,False
1,0,0,34,19,False
0,0,0,12,15,False
0,0,0,10,19,False
0,0,0,11,19,False
0,0,0,11,15,False
1,0,0,13,16,False
0,0,1,16,17,False
1,0,0,9,15,False
0,0,0,21,25,False
1,0,1,17,46,False
0,0,0,33,20,False
0,0,0,40,13,False
0,0,0,25,13,False
0,0,0,18,16,False
0,0,0,13,28,False
0,0,0,12,26,False
0,0,0,15,19,False
0,0,0,14,16,True
