Inge Missmahl,Mechai Viravaidya,Eben Bayer,Tim Jackson,Iraola,isPartial
0,0,0,49,10,False
0,10,0,83,29,False
0,0,0,48,12,False
0,0,0,51,28,False
0,0,0,36,20,False
0,0,0,80,28,False
0,0,8,34,17,False
0,0,0,47,39,False
0,0,0,32,22,False
0,0,0,52,7,False
0,0,0,40,7,False
0,0,0,38,24,False
0,0,0,45,15,False
0,0,0,44,16,False
0,0,0,53,8,False
0,6,0,47,12,False
0,0,0,29,16,False
0,0,0,31,11,False
0,0,0,48,13,False
0,0,0,36,5,False
0,0,0,40,19,False
0,0,0,37,26,False
0,0,0,42,26,False
0,4,0,19,15,False
0,0,0,41,9,False
0,4,0,31,14,False
0,0,0,42,27,False
0,0,0,36,13,False
0,0,0,36,21,False
0,3,0,33,14,False
0,0,0,41,19,False
0,0,0,29,14,False
0,0,0,37,12,False
0,0,0,33,11,False
0,3,0,31,16,False
0,0,0,24,27,False
0,0,0,36,19,False
0,3,0,27,25,False
0,0,0,35,23,False
0,0,0,33,12,False
0,0,0,38,16,False
0,0,2,32,17,False
0,2,2,24,8,False
0,0,0,32,16,False
0,0,0,26,19,False
0,0,2,35,22,False
0,0,0,29,12,False
0,4,0,26,20,False
0,0,2,33,15,False
0,2,0,33,20,False
0,0,2,29,16,False
0,0,0,30,24,False
0,0,0,26,17,False
0,0,0,28,12,False
0,1,0,29,15,False
0,1,1,26,28,False
0,0,0,28,24,False
0,1,1,35,22,False
0,1,1,23,21,False
0,3,0,31,21,False
0,0,0,39,19,False
0,0,0,31,20,False
0,1,0,28,19,False
0,0,0,35,21,False
0,0,0,32,22,False
0,1,1,83,15,False
0,0,0,100,18,False
1,1,0,57,20,False
0,0,0,44,26,False
1,0,0,56,24,False
0,1,1,54,23,False
0,1,0,31,22,False
0,0,0,45,26,False
0,0,0,49,16,False
0,0,0,40,14,False
1,0,0,46,19,False
0,0,0,41,20,False
0,1,1,35,19,False
1,0,0,38,12,False
1,0,0,38,17,False
0,1,2,34,21,False
0,2,5,45,22,False
1,1,1,42,27,False
0,1,2,40,21,False
0,1,1,45,18,False
0,1,1,34,21,False
0,1,1,29,24,False
0,1,1,35,19,False
0,0,1,26,22,False
0,1,1,36,19,False
0,1,2,30,17,False
0,1,1,36,22,False
0,1,1,37,22,False
1,1,1,36,17,False
0,2,1,40,19,False
0,1,1,32,17,False
0,1,1,36,15,False
1,1,1,35,18,False
0,0,1,33,35,False
0,1,2,28,19,False
0,1,1,23,25,False
0,0,0,38,17,False
0,1,0,36,16,False
0,1,0,31,15,False
0,0,0,35,15,False
0,1,1,31,16,False
0,0,0,37,14,False
0,1,0,31,16,False
0,0,0,26,19,False
0,0,0,28,19,False
1,0,0,28,13,False
0,0,0,28,16,False
0,1,0,33,16,False
0,0,1,38,16,False
0,0,0,32,15,False
0,2,1,30,15,False
0,1,0,31,16,False
0,1,1,29,16,False
0,1,1,29,17,False
0,1,1,31,18,False
0,1,1,29,15,False
0,1,0,28,16,False
0,0,0,26,18,False
0,1,0,29,13,False
0,0,0,31,13,False
0,0,0,38,14,False
0,0,0,34,15,False
0,0,0,26,20,False
0,0,1,25,22,False
0,0,1,26,19,False
0,0,0,23,20,False
0,0,0,29,13,False
0,0,1,28,15,False
0,0,1,26,18,False
0,0,0,26,22,False
0,1,0,23,24,False
0,1,0,25,67,False
0,0,0,25,27,False
0,0,1,25,33,False
0,0,0,27,24,False
0,0,0,24,19,False
1,1,0,23,15,False
0,0,0,20,13,False
0,0,0,28,13,False
1,0,0,26,16,False
0,1,0,32,13,False
0,0,1,23,15,False
1,1,0,30,13,False
0,0,0,22,16,False
0,0,0,27,17,False
0,0,0,26,18,False
0,0,0,19,11,False
0,0,0,26,15,False
0,0,0,26,16,False
0,0,1,30,19,False
0,1,0,26,13,False
0,0,0,21,13,False
0,0,0,23,14,False
0,0,0,25,14,False
0,0,0,28,13,False
0,0,0,20,12,False
0,1,0,22,13,False
0,0,1,18,11,False
0,0,1,21,10,False
0,0,0,24,10,False
0,0,0,20,9,False
0,0,1,27,10,False
0,0,0,22,8,False
0,0,0,19,11,False
0,1,0,21,14,False
0,1,0,18,11,False
0,0,0,21,9,False
0,0,0,24,12,False
0,0,0,21,11,False
0,0,0,18,11,False
0,0,0,19,11,False
0,1,0,19,11,False
0,0,1,23,13,False
0,1,0,21,11,False
0,0,1,18,11,False
0,0,1,20,10,False
0,0,1,23,11,False
0,0,0,24,10,False
0,0,0,17,10,False
0,0,0,20,14,False
0,0,0,20,10,False
0,0,0,22,13,False
0,0,0,18,12,False
0,0,0,20,11,False
0,0,0,17,11,False
0,0,0,24,12,False
0,0,0,35,11,False
0,0,0,18,17,False
0,0,0,21,34,False
0,0,0,20,14,False
0,1,0,18,9,False
0,0,0,22,8,False
0,0,0,17,12,False
0,0,0,18,21,False
0,0,0,20,17,False
0,0,0,18,13,False
0,0,0,21,11,True
