Shai Reshef,Hubertus Knabe,Janet Iwasa,Megan Washington,Iraola,isPartial
0,0,0,11,16,False
0,0,0,24,21,False
0,0,0,20,10,False
0,0,0,16,18,False
0,0,0,11,16,False
0,7,0,7,20,False
0,7,0,7,16,False
0,0,0,16,23,False
0,0,0,10,18,False
0,0,0,18,12,False
0,6,0,18,8,False
0,6,0,8,19,False
0,0,0,5,15,False
0,0,0,5,13,False
0,4,0,13,10,False
0,10,0,13,10,False
0,0,0,10,10,False
0,4,0,4,9,False
0,4,0,13,9,False
0,0,0,9,9,False
4,0,0,12,17,False
0,0,0,11,18,False
4,0,0,11,16,False
0,4,0,6,13,False
0,0,3,14,9,False
3,3,0,6,12,False
0,3,0,7,22,False
0,3,0,7,11,False
3,3,0,12,14,False
0,0,0,7,15,False
0,3,0,10,17,False
0,5,0,9,14,False
0,0,0,6,12,False
0,0,0,8,11,False
0,3,0,9,12,False
0,2,0,6,19,False
0,0,0,8,13,False
0,3,0,4,18,False
0,3,0,6,20,False
0,5,0,6,12,False
0,2,0,9,13,False
0,2,0,7,16,False
0,4,0,10,9,False
0,5,0,15,12,False
0,2,0,6,17,False
0,1,0,9,16,False
0,2,0,10,9,False
0,1,0,9,15,False
0,1,0,8,13,False
0,1,0,7,16,False
0,2,0,5,15,False
0,2,0,8,18,False
0,2,0,12,17,False
1,1,0,8,10,False
0,2,0,8,12,False
0,1,0,10,20,False
0,2,1,12,19,False
0,2,0,8,17,False
0,1,0,11,16,False
0,0,0,11,16,False
2,2,0,10,16,False
1,2,0,11,17,False
1,5,0,19,13,False
0,9,0,14,17,False
1,5,0,14,16,False
1,2,0,14,13,False
0,3,1,13,14,False
0,1,0,15,15,False
1,4,1,10,21,False
1,2,1,89,18,False
1,3,0,30,18,False
0,3,2,27,18,False
1,2,0,17,20,False
0,1,0,15,13,False
1,2,0,20,14,False
1,1,0,14,15,False
0,2,0,18,15,False
1,1,0,18,15,False
1,1,0,36,10,False
0,1,0,53,13,False
0,4,1,41,19,False
0,1,1,28,19,False
1,1,0,45,24,False
1,1,0,20,17,False
0,1,1,22,15,False
0,1,1,18,18,False
1,1,0,20,23,False
0,1,0,14,17,False
1,1,1,18,18,False
1,1,0,18,16,False
1,1,0,15,14,False
1,4,0,18,20,False
0,1,0,12,19,False
0,1,0,11,14,False
0,0,0,21,16,False
0,2,0,13,13,False
0,0,0,18,14,False
1,1,0,12,15,False
0,0,0,12,32,False
0,1,0,32,16,False
1,1,1,100,23,False
1,0,0,21,15,False
0,0,0,26,14,False
0,0,0,13,14,False
0,0,0,14,15,False
1,1,0,11,14,False
1,1,0,10,12,False
1,0,0,11,14,False
0,0,0,13,14,False
1,1,0,11,14,False
1,1,1,8,12,False
0,1,0,10,14,False
0,1,0,10,12,False
0,1,0,6,13,False
0,0,0,9,13,False
0,1,0,11,13,False
0,1,0,8,15,False
0,1,0,11,14,False
0,1,0,11,14,False
0,0,0,10,14,False
0,2,1,12,14,False
0,0,0,10,14,False
0,1,0,12,15,False
0,1,0,14,11,False
1,0,0,15,12,False
0,0,1,26,11,False
0,0,0,43,12,False
2,2,1,24,17,False
1,1,1,20,18,False
0,1,1,16,15,False
1,2,1,18,15,False
0,2,0,14,11,False
0,0,0,14,12,False
0,0,0,17,15,False
0,0,0,11,18,False
1,0,1,7,21,False
0,1,0,9,58,False
0,1,0,12,23,False
0,1,0,20,28,False
0,1,0,22,19,False
1,0,0,15,16,False
0,0,0,10,13,False
0,0,0,13,12,False
0,0,0,10,13,False
0,0,1,8,14,False
1,0,0,7,10,False
1,0,1,7,12,False
0,1,0,8,12,False
0,0,0,13,15,False
0,0,0,6,14,False
1,1,1,6,16,False
0,1,0,6,9,False
1,0,0,8,12,False
0,0,0,8,13,False
0,1,0,9,16,False
0,1,0,6,12,False
0,1,0,7,10,False
0,0,0,6,11,False
0,0,1,6,10,False
0,0,0,6,10,False
1,0,0,8,11,False
1,0,0,6,10,False
0,0,0,8,10,False
0,0,0,6,9,False
1,0,0,16,8,False
0,0,0,9,8,False
0,0,0,8,9,False
0,1,0,5,7,False
0,0,0,6,9,False
0,1,0,8,10,False
0,0,0,6,10,False
0,0,0,8,7,False
0,1,0,8,9,False
0,1,0,7,10,False
1,1,0,7,9,False
0,1,0,5,10,False
1,8,1,5,10,False
0,7,0,7,11,False
0,6,0,10,9,False
0,5,0,6,9,False
0,1,1,6,9,False
0,2,0,6,10,False
0,1,0,6,9,False
0,1,0,5,9,False
0,1,0,5,11,False
0,2,0,7,9,False
0,1,0,9,11,False
0,1,0,6,11,False
0,2,0,6,8,False
0,1,0,7,9,False
0,2,0,7,10,False
0,1,0,5,9,False
0,1,0,6,14,False
0,2,0,5,27,False
0,1,0,5,11,False
0,0,0,6,7,False
0,1,0,5,7,False
0,1,0,7,9,False
0,0,0,10,16,False
0,1,0,10,15,False
0,1,0,7,11,False
0,1,0,5,9,True
