Ronny Edry,Karen Thompson Walker,Hadyn Parry,Don Levy,Iraola,isPartial
0,0,0,33,33,False
0,0,0,16,24,False
0,0,0,40,20,False
0,0,0,23,31,False
0,0,0,0,27,False
0,0,0,0,27,False
0,0,0,0,35,False
0,0,0,0,39,False
0,0,0,18,36,False
0,0,12,25,49,False
0,0,0,12,31,False
0,0,0,11,40,False
0,0,0,20,20,False
0,0,0,0,31,False
0,0,0,13,18,False
0,0,0,20,44,False
0,0,0,17,26,False
0,0,0,0,30,False
0,0,0,9,27,False
0,0,0,9,21,False
0,8,0,16,27,False
0,0,0,0,18,False
0,0,0,15,47,False
0,0,0,11,18,False
0,0,0,6,13,False
0,0,0,13,39,False
0,0,0,11,44,False
0,0,0,0,33,False
0,0,0,6,44,False
0,0,0,6,35,False
0,0,0,6,34,False
0,0,0,11,32,False
0,0,0,5,23,False
0,0,0,9,11,False
0,0,0,14,18,False
0,0,0,0,37,False
0,0,0,8,34,False
0,0,0,6,41,False
0,0,0,7,30,False
0,0,0,8,16,False
0,0,0,5,18,False
0,0,0,12,21,False
3,0,0,3,30,False
0,0,0,10,28,False
0,0,0,6,36,False
0,0,0,7,33,False
3,0,0,11,23,False
0,3,0,9,37,False
0,0,0,4,22,False
0,0,0,7,27,False
0,0,0,5,27,False
0,0,0,2,30,False
0,0,0,5,31,False
0,0,0,2,27,False
0,0,0,4,23,False
0,2,0,2,37,False
0,0,0,6,36,False
0,0,0,4,37,False
0,0,0,9,36,False
0,0,0,5,38,False
0,0,0,5,40,False
0,0,0,5,38,False
0,0,0,6,33,False
0,0,0,4,27,False
2,0,0,13,31,False
0,0,0,7,32,False
0,2,0,4,27,False
0,0,0,4,28,False
0,0,0,9,40,False
0,0,0,8,36,False
0,0,0,5,33,False
0,0,0,8,32,False
0,0,0,5,47,False
0,0,0,12,28,False
0,0,0,8,27,False
0,0,0,6,29,False
0,0,0,9,27,False
0,0,0,6,28,False
0,0,0,9,29,False
0,0,0,5,31,False
0,0,0,4,38,False
0,0,0,5,26,False
0,0,0,8,51,False
0,0,0,4,38,False
0,0,0,5,29,False
0,2,0,6,39,False
0,2,0,4,51,False
0,2,0,8,28,False
0,1,0,11,46,False
0,1,0,7,39,False
0,0,0,10,29,False
0,0,0,5,48,False
0,0,0,8,38,False
0,1,0,7,30,False
0,1,0,5,27,False
0,1,0,4,28,False
0,0,0,5,28,False
0,2,0,6,30,False
5,2,0,8,57,False
1,3,0,6,35,False
0,2,0,10,42,False
1,13,1,4,30,False
1,17,1,7,24,False
1,8,0,5,29,False
1,3,1,5,33,False
1,3,0,5,23,False
1,4,1,6,23,False
4,5,0,3,27,False
2,11,1,7,29,False
2,8,1,5,27,False
1,7,0,4,26,False
2,9,0,4,25,False
1,4,0,2,25,False
1,3,0,4,25,False
1,2,0,5,26,False
0,3,0,3,25,False
1,3,0,3,27,False
1,2,1,3,26,False
1,2,0,4,28,False
1,3,0,2,24,False
0,2,0,5,26,False
1,2,0,5,27,False
1,1,1,3,32,False
0,2,0,5,20,False
0,2,2,3,23,False
1,4,0,4,22,False
2,2,0,3,28,False
1,1,0,6,34,False
1,1,1,5,37,False
0,3,1,4,30,False
0,2,1,2,33,False
0,1,1,5,23,False
1,1,0,5,29,False
0,1,0,5,30,False
0,2,0,4,41,False
1,2,1,3,46,False
0,1,0,3,100,False
0,1,0,5,42,False
0,1,0,3,52,False
1,1,1,4,40,False
0,1,2,5,32,False
0,2,0,3,23,False
0,2,0,3,29,False
1,1,0,4,24,False
0,1,1,2,27,False
1,1,1,2,22,False
0,1,1,3,25,False
0,1,1,3,23,False
0,1,0,4,33,False
0,1,0,2,31,False
0,1,0,3,30,False
0,1,0,3,19,False
0,1,0,5,24,False
0,1,1,4,26,False
0,0,1,4,32,False
0,1,0,2,24,False
0,1,0,1,18,False
0,0,0,3,24,False
0,1,0,3,21,False
0,2,0,2,21,False
0,1,1,3,26,False
0,1,0,3,19,False
0,1,0,2,21,False
0,0,0,3,17,False
0,1,0,3,18,False
0,1,0,3,18,False
0,0,0,3,18,False
0,0,0,2,15,False
0,2,0,3,18,False
0,1,0,3,18,False
0,1,0,3,18,False
0,1,0,3,17,False
0,1,0,3,19,False
0,0,0,3,14,False
0,0,0,2,17,False
0,1,0,2,20,False
0,1,0,2,24,False
0,0,0,3,22,False
0,1,0,4,19,False
0,2,0,3,19,False
0,7,0,3,15,False
0,4,0,3,22,False
0,1,0,2,17,False
0,2,0,3,20,False
0,2,0,3,22,False
0,0,0,3,18,False
0,3,0,2,24,False
0,1,0,2,19,False
0,3,0,3,18,False
0,1,0,2,18,False
0,1,0,3,16,False
0,2,0,2,20,False
0,2,0,4,30,False
0,1,0,3,57,False
0,2,0,3,27,False
0,3,0,4,18,False
0,2,0,5,14,False
0,1,0,2,17,False
0,1,0,2,40,False
0,1,0,3,26,False
0,2,0,3,22,False
0,1,0,4,20,True
