Jessica Green,Dyan deNapoli,Jeremy Gilley,Lucianne Walkowicz,Iraola,isPartial
76,0,0,0,27,False
89,0,13,13,35,False
55,0,0,0,16,False
85,0,0,0,30,False
44,0,0,0,26,False
40,0,0,0,33,False
46,0,0,0,27,False
75,0,0,0,37,False
62,0,0,0,30,False
74,0,0,0,20,False
37,0,10,0,13,False
56,0,0,0,31,False
93,0,11,0,25,False
61,0,0,0,22,False
94,0,0,0,17,False
67,0,8,0,16,False
64,0,0,0,17,False
96,0,0,0,14,False
83,0,7,0,15,False
99,0,0,0,14,False
89,0,16,0,28,False
100,0,6,0,30,False
88,0,6,0,26,False
82,0,6,0,22,False
64,0,0,0,16,False
66,0,5,0,20,False
63,0,5,0,37,False
78,0,5,0,18,False
64,0,4,0,24,False
50,0,0,0,25,False
50,0,0,0,28,False
52,0,4,0,23,False
40,0,4,0,19,False
43,0,4,0,19,False
59,4,0,0,20,False
64,4,4,0,31,False
61,0,3,0,22,False
52,0,0,0,29,False
50,0,0,0,33,False
54,0,3,0,20,False
56,0,3,0,21,False
63,0,0,0,27,False
54,0,3,0,15,False
54,0,3,0,20,False
45,0,4,0,29,False
50,0,0,0,26,False
45,0,0,2,15,False
54,0,2,0,25,False
58,0,0,2,21,False
43,0,2,0,26,False
44,0,2,0,25,False
53,0,0,0,30,False
52,0,4,0,28,False
56,0,2,0,17,False
58,0,3,0,20,False
45,0,2,2,33,False
49,0,6,0,32,False
43,0,0,2,27,False
46,0,2,0,27,False
37,0,0,0,26,False
57,0,3,2,27,False
50,0,2,0,27,False
53,0,2,1,22,False
58,0,4,0,28,False
54,0,1,0,27,False
48,0,1,1,22,False
51,0,1,0,24,False
58,1,2,0,25,False
45,0,11,0,35,False
45,0,4,1,30,False
42,0,3,0,30,False
50,0,1,1,30,False
59,0,5,0,33,False
54,0,3,0,22,False
53,0,1,0,24,False
45,0,1,0,25,False
48,0,2,0,25,False
49,0,4,0,26,False
44,0,2,0,17,False
48,1,3,0,22,False
45,0,10,0,31,False
48,0,4,1,32,False
44,2,3,0,39,False
46,0,3,0,27,False
61,0,14,0,25,False
63,0,6,0,30,False
44,1,2,0,37,False
40,0,1,0,28,False
51,0,5,1,30,False
47,0,1,0,26,False
40,0,2,0,23,False
54,1,9,7,32,False
45,0,18,2,31,False
52,0,3,2,24,False
46,1,2,2,26,False
40,0,2,1,22,False
49,0,5,1,23,False
51,0,2,3,24,False
57,0,3,2,52,False
55,1,7,2,26,False
53,0,2,3,38,False
67,1,1,3,25,False
73,0,2,2,23,False
76,1,3,5,23,False
65,0,5,2,24,False
71,1,3,4,24,False
55,0,3,5,19,False
80,0,2,1,23,False
71,0,5,3,24,False
66,0,5,4,24,False
60,0,1,4,20,False
65,1,3,2,24,False
66,1,1,2,20,False
59,1,2,2,21,False
65,1,1,2,22,False
58,0,1,2,22,False
65,0,5,2,24,False
57,0,3,1,23,False
54,0,2,2,23,False
57,1,1,2,23,False
58,0,4,1,23,False
50,1,3,2,22,False
68,0,2,2,25,False
57,0,1,2,18,False
67,0,1,1,20,False
88,0,2,1,18,False
86,0,2,2,19,False
94,1,1,1,28,False
85,0,4,0,29,False
65,0,1,2,25,False
62,0,2,1,25,False
68,0,1,1,18,False
64,0,2,2,21,False
69,0,1,4,24,False
60,0,1,3,30,False
60,1,1,4,34,False
59,0,1,7,96,False
70,0,1,2,38,False
67,0,2,3,46,False
63,0,2,2,31,False
55,0,3,3,26,False
53,0,1,3,21,False
63,0,1,2,20,False
58,0,1,6,21,False
53,0,1,6,23,False
47,0,1,2,17,False
51,0,2,2,20,False
50,1,2,2,19,False
50,0,5,1,25,False
51,0,1,1,23,False
54,0,1,1,26,False
46,0,1,2,15,False
42,0,3,2,21,False
53,0,1,2,21,False
42,0,1,2,26,False
48,0,1,2,19,False
42,0,1,2,17,False
42,0,1,1,18,False
43,0,1,2,17,False
40,1,2,3,17,False
40,1,1,2,18,False
52,0,1,1,17,False
44,0,0,1,16,False
41,0,1,3,14,False
41,0,1,1,13,False
37,0,1,2,14,False
39,1,0,2,15,False
40,0,1,1,11,False
49,0,1,1,15,False
37,0,1,1,17,False
50,0,1,1,17,False
37,1,1,1,12,False
42,0,1,1,15,False
40,0,0,2,16,False
86,0,1,1,14,False
97,0,1,1,16,False
75,0,2,1,16,False
59,0,1,1,18,False
46,0,1,5,14,False
43,0,1,3,15,False
41,0,1,1,14,False
40,1,1,1,17,False
41,1,1,1,15,False
43,1,1,1,16,False
38,0,0,1,18,False
41,0,1,1,15,False
57,0,1,1,18,False
60,0,1,0,18,False
51,0,1,1,14,False
46,0,0,2,15,False
49,0,1,2,16,False
40,0,2,0,14,False
43,0,3,1,24,False
45,0,1,2,44,False
36,0,1,1,19,False
38,0,1,8,12,False
39,0,1,6,12,False
38,0,1,4,15,False
49,0,1,3,27,False
44,0,1,2,25,False
37,0,1,2,18,False
55,0,2,2,16,True
