Daniel Pauly,Paul Gilding,Vijay Kumar,Susan Cain,Iraola,isPartial
4,0,8,4,8,False
4,0,18,0,11,False
0,5,18,0,5,False
4,4,7,0,9,False
3,0,8,0,8,False
0,0,17,3,10,False
0,0,10,4,8,False
3,0,8,0,12,False
3,0,10,0,9,False
3,0,7,0,6,False
0,0,9,3,4,False
4,0,6,3,10,False
3,0,11,0,8,False
0,0,5,3,7,False
3,0,5,0,5,False
5,0,9,2,5,False
0,0,7,6,5,False
2,0,10,2,5,False
0,0,3,0,5,False
3,0,8,3,4,False
2,0,9,0,9,False
3,0,5,2,9,False
0,0,8,2,8,False
0,0,10,2,7,False
2,0,4,2,5,False
3,2,6,2,6,False
2,0,7,2,11,False
0,0,8,2,6,False
0,0,7,0,7,False
4,0,7,1,8,False
3,0,4,3,9,False
1,1,5,3,7,False
1,3,10,0,6,False
0,0,5,1,6,False
2,0,5,3,6,False
1,1,9,2,10,False
2,2,8,1,7,False
2,0,4,1,9,False
1,1,6,1,10,False
1,0,9,1,6,False
3,1,6,3,7,False
1,0,8,1,8,False
1,0,12,1,5,False
1,1,7,1,6,False
1,1,8,0,9,False
1,1,8,1,8,False
1,0,5,1,5,False
1,0,7,1,8,False
1,1,8,2,7,False
1,1,6,1,8,False
2,1,7,1,8,False
1,1,9,1,9,False
1,0,8,0,9,False
1,1,8,0,5,False
1,0,10,1,6,False
1,1,8,1,10,False
1,1,8,1,10,False
1,0,8,1,9,False
1,0,9,1,8,False
1,0,10,1,8,False
0,0,10,1,8,False
1,1,11,1,9,False
1,2,8,1,7,False
1,0,10,1,9,False
1,0,10,1,8,False
1,1,13,1,7,False
1,0,11,1,7,False
0,0,11,0,8,False
1,0,8,1,11,False
1,0,11,1,10,False
2,0,7,1,10,False
1,1,9,1,10,False
1,0,10,1,10,False
1,0,12,1,7,False
1,0,15,1,7,False
1,1,14,1,8,False
1,0,15,1,8,False
1,1,14,1,8,False
1,1,13,1,5,False
1,0,15,1,7,False
1,0,14,1,10,False
1,0,15,1,10,False
1,0,15,1,12,False
1,0,17,1,9,False
1,0,15,1,8,False
1,0,12,1,9,False
0,0,13,1,12,False
1,1,12,1,9,False
1,1,13,1,9,False
1,4,14,4,8,False
1,2,15,2,7,False
1,2,12,1,10,False
2,1,13,1,10,False
1,2,13,2,7,False
0,2,13,2,8,False
1,1,12,2,7,False
1,1,15,7,7,False
0,2,12,12,8,False
1,5,20,29,16,False
1,3,15,20,8,False
1,1,17,13,12,False
1,1,17,14,8,False
1,1,18,12,7,False
1,1,100,13,7,False
1,1,23,12,7,False
0,1,17,12,7,False
0,1,17,12,6,False
0,0,19,16,7,False
1,1,17,14,7,False
1,0,18,18,7,False
1,1,17,17,6,False
1,0,17,17,7,False
0,0,17,15,6,False
1,1,17,15,6,False
0,0,23,15,7,False
0,0,20,17,7,False
0,1,18,13,8,False
1,0,19,13,7,False
1,0,21,15,7,False
0,0,23,13,7,False
0,0,22,15,7,False
1,0,20,13,7,False
0,0,16,14,8,False
0,0,19,12,6,False
1,0,19,12,6,False
0,0,21,13,6,False
1,0,21,12,6,False
0,0,25,14,9,False
1,1,19,13,9,False
1,1,21,12,8,False
0,0,22,15,8,False
0,1,22,11,6,False
1,0,23,12,6,False
1,0,26,12,8,False
0,0,25,10,9,False
1,0,24,9,11,False
1,0,23,9,30,False
0,0,25,10,12,False
0,0,24,10,14,False
0,0,23,12,10,False
0,1,23,12,8,False
0,0,28,12,7,False
1,0,24,10,6,False
0,0,24,9,7,False
1,0,22,10,7,False
0,0,20,10,5,False
0,0,22,10,6,False
0,0,31,10,6,False
0,0,28,9,8,False
0,0,27,10,7,False
1,0,28,9,8,False
0,0,26,9,5,False
1,0,25,11,6,False
1,0,22,9,7,False
0,0,24,8,8,False
0,0,24,8,6,False
1,0,23,10,5,False
1,0,25,8,6,False
1,0,25,8,5,False
0,0,28,9,5,False
0,0,25,7,6,False
0,0,25,8,5,False
0,0,29,6,5,False
0,0,30,6,4,False
0,0,26,6,4,False
0,0,27,7,4,False
1,0,25,8,5,False
0,0,27,7,3,False
0,0,26,7,5,False
0,0,27,7,5,False
0,0,27,7,5,False
0,0,28,7,4,False
0,0,36,6,5,False
0,0,36,7,5,False
0,0,34,7,4,False
0,0,37,7,5,False
0,0,42,8,5,False
0,0,39,8,6,False
0,0,54,7,4,False
0,0,46,6,5,False
0,0,40,10,5,False
0,0,40,9,5,False
0,0,41,7,5,False
0,0,42,7,5,False
1,0,34,7,6,False
0,0,46,7,5,False
0,0,40,7,6,False
0,0,57,7,6,False
0,0,34,7,4,False
0,0,38,6,5,False
0,0,34,7,5,False
0,0,34,6,4,False
0,0,32,7,7,False
0,0,33,5,14,False
1,0,27,6,6,False
0,0,32,7,4,False
0,0,34,6,4,False
0,0,48,5,5,False
0,0,44,6,8,False
0,0,35,6,8,False
0,0,32,5,6,False
0,0,38,5,5,True
