Deborah Gordon,J.J. Abrams,David Gallo,Paola Antonelli,Iraola,isPartial
8,4,4,0,6,False
4,0,8,0,12,False
7,0,5,0,7,False
5,4,10,4,8,False
7,3,5,0,8,False
8,3,7,0,7,False
3,3,7,3,7,False
5,3,8,3,13,False
3,7,6,6,7,False
6,7,3,0,6,False
3,9,6,5,3,False
4,3,7,0,4,False
4,11,3,0,6,False
6,5,6,3,8,False
3,4,4,2,6,False
2,5,2,2,7,False
6,6,3,2,5,False
5,5,4,3,7,False
5,7,4,0,7,False
4,6,5,2,4,False
6,5,3,2,8,False
3,6,4,3,7,False
5,4,4,2,5,False
4,7,4,4,7,False
2,8,5,3,5,False
2,6,5,2,5,False
4,8,3,1,9,False
4,22,2,3,5,False
3,21,3,1,9,False
4,4,4,1,9,False
4,6,2,2,9,False
3,3,3,1,6,False
3,5,3,2,6,False
2,3,4,1,6,False
1,12,3,1,7,False
3,4,3,2,7,False
3,3,5,3,6,False
1,12,3,1,7,False
3,5,3,1,7,False
3,2,2,1,6,False
4,4,3,1,8,False
1,3,2,1,7,False
3,100,3,1,7,False
1,29,2,2,6,False
2,16,2,1,8,False
2,18,2,1,5,False
2,14,4,1,7,False
2,6,5,1,7,False
1,23,3,2,6,False
3,9,3,1,6,False
3,6,3,2,7,False
2,5,4,2,7,False
2,6,3,5,8,False
1,6,2,1,5,False
1,3,3,1,4,False
2,5,2,1,9,False
2,8,4,1,9,False
2,5,3,2,8,False
2,6,1,2,9,False
2,3,2,2,8,False
2,4,2,2,7,False
3,6,3,2,7,False
3,7,2,2,7,False
2,11,3,2,9,False
1,33,3,1,8,False
3,10,2,2,8,False
1,4,3,1,8,False
2,4,3,1,9,False
1,5,1,2,10,False
1,6,3,2,8,False
2,7,1,2,10,False
1,6,2,2,9,False
1,5,3,3,9,False
2,6,4,2,6,False
2,4,3,2,8,False
2,5,3,2,7,False
1,21,3,2,7,False
1,6,2,2,8,False
1,5,2,1,5,False
1,5,4,1,7,False
2,7,3,2,7,False
1,5,3,1,9,False
2,4,3,2,12,False
1,3,2,1,9,False
1,5,2,2,9,False
1,5,3,1,12,False
1,5,3,1,11,False
2,5,3,2,9,False
1,9,1,2,10,False
2,20,3,2,9,False
1,9,3,2,7,False
1,16,2,1,10,False
1,10,2,1,10,False
1,10,2,2,8,False
1,9,2,1,7,False
1,9,2,1,6,False
1,10,2,1,8,False
1,7,2,1,9,False
2,5,3,1,13,False
1,9,2,1,9,False
1,7,2,2,13,False
1,5,2,1,6,False
1,6,1,1,6,False
2,6,2,1,7,False
1,7,2,1,7,False
2,6,2,1,6,False
2,6,1,2,7,False
1,7,2,1,7,False
1,45,2,1,7,False
1,13,2,2,7,False
1,9,3,3,5,False
1,11,2,1,6,False
1,21,2,2,6,False
2,12,2,2,6,False
1,10,2,1,6,False
1,9,2,1,7,False
1,9,2,1,7,False
1,7,2,1,6,False
1,9,2,1,7,False
1,8,2,1,7,False
1,7,2,2,7,False
1,5,2,2,8,False
1,6,2,1,7,False
2,8,2,2,6,False
2,9,2,1,7,False
1,5,2,1,6,False
1,6,2,1,7,False
1,5,2,1,9,False
1,4,2,1,10,False
1,3,2,1,7,False
1,8,2,1,7,False
1,7,2,1,6,False
2,4,2,1,7,False
1,5,2,1,7,False
1,4,1,1,9,False
1,8,2,1,12,False
1,4,2,1,26,False
1,2,2,1,12,False
1,5,2,1,13,False
1,5,2,1,10,False
1,3,2,1,7,False
1,6,2,1,6,False
1,7,1,1,6,False
1,33,1,1,6,False
1,11,2,1,7,False
1,6,2,1,5,False
1,7,2,1,6,False
1,5,2,2,5,False
1,6,2,1,8,False
1,4,2,1,7,False
1,4,1,1,7,False
1,3,1,1,5,False
1,3,2,1,5,False
1,3,1,2,8,False
1,3,2,1,8,False
1,4,1,1,7,False
1,3,1,1,4,False
1,3,2,1,5,False
1,3,2,1,5,False
1,2,2,1,5,False
1,2,2,1,6,False
1,1,2,0,5,False
1,2,1,0,5,False
1,1,1,1,5,False
0,5,1,1,4,False
1,2,2,1,5,False
1,2,2,1,4,False
1,4,1,1,3,False
1,3,2,1,5,False
1,4,1,1,5,False
1,1,2,1,4,False
1,1,2,1,4,False
1,2,2,1,5,False
1,2,1,1,5,False
1,2,2,1,4,False
1,2,1,1,5,False
1,2,1,0,5,False
1,2,1,1,5,False
1,2,1,1,5,False
1,2,1,1,5,False
1,2,2,1,4,False
1,2,2,1,5,False
1,2,1,1,4,False
1,2,1,1,5,False
1,2,2,1,4,False
1,2,2,1,5,False
1,2,1,1,6,False
1,1,1,1,5,False
1,3,1,1,5,False
1,2,1,1,4,False
0,2,1,2,5,False
1,7,1,0,4,False
1,3,1,1,7,False
1,1,1,1,14,False
1,2,1,0,6,False
1,2,1,1,4,False
0,2,1,1,4,False
1,2,1,1,4,False
1,2,1,1,9,False
1,1,3,0,8,False
1,2,2,2,6,False
1,1,1,0,5,True
