Daan Roosegaarde,Erin Marie Saltman,Ray Dalio,Tomás Saraceno,Iraola,isPartial
0,0,4,0,9,False
0,0,0,0,12,False
0,0,5,0,5,False
0,0,0,0,10,False
0,0,0,0,9,False
0,0,0,0,11,False
0,0,0,0,9,False
0,0,0,0,13,False
0,0,0,0,10,False
0,0,3,0,7,False
0,0,7,0,5,False
0,0,0,0,10,False
0,0,3,0,8,False
3,0,3,0,7,False
0,0,0,0,6,False
3,0,0,0,5,False
2,0,5,0,6,False
0,0,4,0,5,False
0,0,2,0,5,False
0,0,2,0,5,False
2,0,2,0,9,False
0,0,2,0,10,False
2,0,2,0,9,False
0,0,3,0,7,False
0,0,2,0,5,False
2,0,2,0,7,False
0,0,2,0,12,False
0,0,2,0,6,False
0,0,1,0,8,False
2,0,2,0,8,False
0,0,2,0,9,False
1,0,0,0,8,False
1,0,1,0,7,False
1,0,1,0,6,False
2,0,2,1,7,False
1,0,3,0,10,False
1,0,1,0,7,False
0,0,2,0,10,False
0,0,1,0,11,False
1,0,2,0,7,False
0,0,2,0,7,False
1,0,3,0,9,False
0,0,1,0,5,False
0,0,1,0,7,False
2,0,3,0,10,False
1,0,1,0,9,False
1,0,1,0,5,False
0,0,1,0,8,False
0,0,3,0,7,False
1,0,1,0,9,False
0,0,1,1,8,False
1,0,2,0,10,False
0,0,1,0,9,False
0,0,2,0,6,False
0,0,2,1,7,False
1,0,2,0,11,False
1,0,1,0,11,False
1,0,2,0,9,False
1,0,1,0,9,False
1,0,1,0,9,False
1,0,1,0,9,False
1,0,6,0,9,False
0,0,8,0,7,False
1,0,4,0,9,False
0,0,3,0,9,False
0,0,2,1,7,False
0,0,1,0,8,False
0,0,2,0,8,False
0,0,2,0,12,False
0,0,1,0,10,False
1,0,1,0,10,False
0,0,1,0,10,False
0,0,2,0,11,False
0,0,1,0,7,False
0,0,1,0,8,False
0,0,2,0,8,False
1,0,4,0,8,False
0,0,4,0,9,False
0,0,3,0,6,False
1,0,2,0,7,False
0,0,3,1,10,False
1,0,4,0,11,False
0,0,2,1,13,False
0,0,1,0,9,False
0,0,2,0,8,False
0,0,2,1,10,False
1,0,8,0,12,False
1,0,5,0,9,False
1,0,3,0,10,False
1,0,2,1,9,False
0,0,14,0,8,False
0,0,8,1,11,False
0,0,11,1,10,False
0,0,17,0,8,False
1,0,7,1,9,False
0,0,5,0,7,False
0,0,7,1,8,False
0,0,6,0,8,False
1,0,17,0,18,False
2,0,12,0,9,False
0,0,7,1,13,False
1,0,8,0,8,False
0,0,7,0,8,False
1,0,7,0,8,False
1,0,17,0,8,False
1,0,8,0,8,False
2,0,6,1,6,False
1,0,5,0,8,False
1,0,11,1,8,False
2,0,9,1,8,False
1,0,7,0,7,False
2,0,7,1,8,False
2,0,6,1,7,False
1,0,5,1,7,False
2,0,5,1,7,False
1,0,5,1,7,False
20,0,12,1,8,False
5,0,16,1,8,False
3,0,11,0,8,False
4,0,7,0,8,False
2,0,11,0,8,False
3,0,9,0,8,False
2,0,7,0,8,False
4,0,5,0,6,False
2,0,7,0,7,False
2,0,7,0,6,False
1,0,6,0,7,False
2,0,8,0,9,False
2,0,6,0,10,False
3,0,9,0,8,False
5,0,11,0,8,False
2,0,15,0,6,False
2,0,12,0,7,False
13,0,12,0,8,False
4,0,12,0,10,False
2,0,12,0,12,False
6,0,11,0,32,False
4,0,9,0,13,False
2,0,10,0,15,False
3,0,12,0,10,False
5,0,16,0,9,False
3,0,9,0,7,False
3,0,8,0,7,False
5,0,8,1,7,False
2,0,17,0,8,False
35,0,16,0,6,False
6,0,14,0,7,False
3,0,11,0,7,False
1,0,13,0,8,False
1,0,11,0,8,False
2,0,10,0,9,False
1,0,9,0,5,False
3,0,10,0,7,False
1,0,9,0,7,False
1,0,12,0,9,False
2,0,16,0,6,False
2,0,14,0,6,False
1,0,13,1,6,False
2,0,17,0,6,False
2,0,13,0,6,False
1,0,13,0,6,False
1,0,11,0,6,False
1,0,11,0,5,False
1,0,12,0,5,False
2,0,61,0,4,False
2,0,47,0,5,False
7,0,43,0,5,False
2,0,44,0,4,False
3,0,51,0,5,False
3,0,49,0,6,False
2,0,38,0,6,False
2,0,35,0,4,False
1,0,35,0,5,False
1,0,35,0,5,False
1,0,32,0,5,False
1,0,31,0,5,False
2,0,53,0,5,False
4,0,38,1,6,False
2,0,42,0,5,False
1,0,45,1,5,False
1,0,49,0,5,False
1,0,36,0,6,False
2,0,29,0,5,False
1,0,77,1,5,False
2,0,39,0,6,False
2,0,37,0,5,False
2,0,53,0,6,False
2,0,52,0,6,False
2,0,39,0,5,False
2,0,40,0,5,False
3,0,63,0,5,False
2,0,58,0,5,False
3,0,49,0,8,False
1,0,47,0,15,False
1,0,73,0,6,False
1,0,100,0,4,False
1,0,63,0,4,False
1,0,48,0,5,False
0,0,58,0,9,False
1,0,42,0,8,False
1,0,41,0,6,False
0,0,30,0,5,True
