Onora O'Neill,James Flynn,Kevin Breel,Kelli Swazey,Iraola,isPartial
15,29,0,0,15,False
0,22,0,0,44,False
0,62,0,0,18,False
0,14,0,0,42,False
0,42,0,0,30,False
0,42,0,0,42,False
0,19,0,0,25,False
0,23,0,0,58,False
0,37,0,0,32,False
11,22,0,0,11,False
0,22,0,0,11,False
0,10,0,0,36,False
0,22,0,0,22,False
9,23,0,0,23,False
0,20,0,0,12,False
0,13,0,0,18,False
0,31,0,0,23,False
0,35,0,0,16,False
0,16,0,0,20,False
0,15,0,0,8,False
0,17,0,0,28,False
6,6,0,0,39,False
0,29,0,0,39,False
6,19,0,0,22,False
0,25,6,0,14,False
0,17,0,0,20,False
5,34,0,0,40,False
0,32,0,0,19,False
0,22,0,0,32,False
0,26,0,0,21,False
0,43,0,0,28,False
0,21,0,0,21,False
0,34,0,0,18,False
0,14,0,0,16,False
0,34,0,0,24,False
0,21,0,0,39,False
4,22,0,0,29,False
0,34,0,0,38,False
3,26,0,0,35,False
3,22,3,0,17,False
0,16,0,0,24,False
0,22,0,0,25,False
0,29,0,0,12,False
0,22,0,0,23,False
0,24,0,0,28,False
0,24,0,0,33,False
0,23,0,0,17,False
3,20,0,0,29,False
0,18,0,0,22,False
0,29,0,0,30,False
0,22,0,0,23,False
0,17,0,0,36,False
2,19,0,0,26,False
0,17,0,0,18,False
0,19,0,0,22,False
0,29,0,2,41,False
0,17,0,0,35,False
4,17,0,0,33,False
0,32,0,0,31,False
0,21,0,0,31,False
0,15,0,0,29,False
2,24,0,0,30,False
0,21,0,0,29,False
0,19,0,0,31,False
2,14,0,0,32,False
0,25,0,0,23,False
0,20,0,0,27,False
0,21,0,0,29,False
0,17,0,0,39,False
0,29,0,0,36,False
0,13,0,0,33,False
1,18,0,0,33,False
0,28,0,0,39,False
0,19,0,0,24,False
0,19,0,0,21,False
0,16,0,0,28,False
0,23,0,0,30,False
0,12,0,0,28,False
0,20,0,0,18,False
0,25,0,0,26,False
0,21,0,0,31,False
2,20,0,0,32,False
1,19,0,0,41,False
0,20,0,0,31,False
1,19,0,0,26,False
0,22,1,0,31,False
0,19,0,0,36,False
0,22,0,0,28,False
1,20,0,0,33,False
0,16,1,0,28,False
2,19,0,0,25,False
1,21,0,0,33,False
1,22,0,0,32,False
0,19,0,0,25,False
0,15,0,1,28,False
0,23,0,0,25,False
0,18,0,0,22,False
0,21,0,0,27,False
0,23,0,0,52,False
0,18,0,1,28,False
0,18,0,0,37,False
0,22,0,0,26,False
0,29,0,0,24,False
0,26,0,0,23,False
1,18,0,0,23,False
0,20,0,0,23,False
1,19,0,0,21,False
1,21,0,0,24,False
0,19,1,0,28,False
0,20,1,0,29,False
1,22,0,0,20,False
0,21,0,0,24,False
0,19,0,0,23,False
0,38,2,0,24,False
0,18,14,0,22,False
0,22,1,0,23,False
0,24,16,0,24,False
1,22,17,1,24,False
0,23,4,1,25,False
0,17,3,0,26,False
0,20,4,1,22,False
1,20,4,1,24,False
0,19,3,0,27,False
0,21,5,1,20,False
0,22,2,0,20,False
0,12,1,0,21,False
0,17,1,1,22,False
0,20,5,0,30,False
0,12,1,0,33,False
1,20,4,0,28,False
0,19,1,1,29,False
0,27,2,0,19,False
0,15,2,0,22,False
0,20,2,0,27,False
0,24,4,0,33,False
0,20,2,0,36,False
0,20,2,0,100,False
0,15,2,0,40,False
0,16,0,0,49,False
0,23,1,0,35,False
0,19,6,1,28,False
0,15,4,1,23,False
0,19,3,0,19,False
0,20,4,0,19,False
0,17,1,0,24,False
0,17,2,0,19,False
0,18,3,0,22,False
0,15,1,0,20,False
0,13,2,0,24,False
0,15,1,0,25,False
0,13,0,0,27,False
0,14,1,0,16,False
0,12,3,0,22,False
0,21,3,0,24,False
0,22,2,0,29,False
1,19,1,0,19,False
0,21,1,0,19,False
0,30,2,0,21,False
0,19,2,0,21,False
1,25,1,0,19,False
0,38,1,0,17,False
0,32,0,0,19,False
0,18,1,0,17,False
0,15,1,0,14,False
0,18,1,0,15,False
1,19,1,0,14,False
1,18,1,0,15,False
0,28,1,0,12,False
0,19,2,0,16,False
0,17,1,0,20,False
0,13,1,0,17,False
1,15,0,0,14,False
0,17,2,0,18,False
1,16,1,0,16,False
0,13,1,0,17,False
0,17,0,0,17,False
0,14,1,0,17,False
1,13,1,0,19,False
0,19,1,0,16,False
0,21,1,0,17,False
0,14,1,0,15,False
0,15,1,0,17,False
1,13,1,0,15,False
0,15,1,0,15,False
0,16,1,0,21,False
0,13,1,0,15,False
0,14,0,0,19,False
0,17,1,0,18,False
0,14,1,0,16,False
1,16,1,0,16,False
0,15,1,0,17,False
0,15,0,0,17,False
0,11,1,0,25,False
0,15,1,0,50,False
0,13,1,0,21,False
0,16,0,0,13,False
0,29,1,0,12,False
0,15,0,0,18,False
0,16,0,0,31,False
0,15,1,0,26,False
0,15,1,0,19,False
0,15,2,0,16,True
