Susan Lim,Sam Richards,Kathryn Schulz,John Hunter,Iraola,isPartial
2,5,0,27,4,False
2,2,0,22,5,False
3,0,0,22,3,False
2,3,0,31,5,False
0,0,0,23,4,False
0,3,0,24,5,False
2,2,0,32,4,False
2,2,2,21,6,False
0,1,1,27,5,False
0,0,0,28,3,False
2,2,2,26,2,False
1,3,0,24,5,False
2,2,1,18,4,False
0,2,0,28,3,False
2,1,0,29,3,False
1,2,0,35,2,False
0,1,0,22,3,False
2,2,0,26,2,False
0,1,0,22,2,False
1,2,0,23,2,False
1,2,0,25,4,False
1,1,0,29,5,False
1,1,0,23,4,False
1,1,1,17,3,False
1,2,0,18,2,False
1,1,0,18,3,False
1,1,1,26,6,False
1,1,0,20,3,False
1,3,1,25,4,False
1,1,0,22,4,False
1,1,0,21,4,False
1,1,0,22,4,False
1,2,0,30,3,False
1,1,0,23,3,False
0,1,0,23,3,False
1,1,0,17,5,False
1,1,0,22,3,False
1,3,0,21,4,False
1,2,0,20,5,False
1,1,0,20,3,False
0,1,0,23,3,False
0,2,0,21,4,False
1,1,0,25,2,False
1,0,0,22,3,False
0,1,0,21,4,False
1,1,0,21,4,False
0,1,0,25,2,False
1,1,0,22,4,False
1,1,0,25,3,False
1,1,0,23,4,False
0,1,0,19,4,False
1,1,0,21,5,False
0,1,0,17,4,False
1,2,0,18,3,False
1,1,0,38,3,False
1,1,0,100,5,False
1,1,0,21,5,False
1,1,0,22,4,False
1,1,0,22,4,False
1,1,0,16,4,False
0,1,0,18,4,False
1,1,0,19,4,False
1,0,0,19,3,False
1,1,0,18,4,False
1,1,0,34,4,False
1,1,0,22,3,False
1,1,0,21,4,False
1,1,0,25,4,False
0,1,0,21,5,False
1,1,0,17,5,False
1,1,0,20,5,False
1,1,0,19,5,False
0,1,0,37,5,False
1,1,0,29,3,False
0,1,0,34,4,False
0,0,0,31,4,False
1,1,0,25,4,False
0,1,1,23,4,False
0,1,0,21,3,False
1,1,0,24,3,False
1,1,0,19,5,False
1,1,0,22,5,False
1,1,0,22,6,False
0,1,0,37,4,False
0,1,0,24,4,False
3,1,0,19,5,False
6,1,0,18,6,False
2,2,2,20,4,False
1,1,1,24,5,False
2,1,0,25,4,False
1,1,0,18,3,False
0,1,0,20,5,False
0,1,1,20,5,False
1,1,1,19,4,False
1,1,0,23,4,False
1,1,3,21,3,False
1,1,1,21,3,False
1,1,1,22,4,False
2,1,1,20,8,False
1,1,1,25,4,False
1,1,1,32,6,False
1,1,1,33,4,False
1,1,0,21,4,False
1,1,0,20,3,False
1,1,1,22,4,False
0,1,0,21,4,False
1,1,1,21,3,False
1,1,0,20,4,False
0,2,1,20,4,False
0,1,0,20,4,False
1,1,0,19,3,False
0,1,1,19,4,False
0,1,1,17,3,False
0,1,0,17,3,False
2,1,0,19,3,False
1,1,0,17,3,False
0,1,0,20,4,False
0,1,0,18,4,False
0,1,0,18,4,False
1,1,0,18,4,False
0,1,0,19,3,False
0,1,1,19,3,False
0,1,0,18,4,False
0,1,1,17,3,False
0,1,1,16,3,False
0,1,0,17,3,False
1,1,0,16,3,False
1,1,0,17,4,False
0,1,1,14,4,False
1,1,0,18,4,False
0,1,1,18,4,False
0,1,0,16,3,False
0,1,0,16,3,False
0,1,0,16,4,False
0,1,0,16,5,False
0,1,0,15,5,False
1,1,0,15,15,False
0,1,0,16,6,False
0,1,2,16,7,False
0,2,1,17,5,False
0,3,1,16,4,False
0,3,1,16,3,False
0,2,1,19,3,False
0,2,0,17,3,False
0,2,1,15,4,False
0,1,0,19,3,False
0,1,0,15,3,False
0,1,1,15,3,False
0,1,1,14,4,False
0,1,1,15,4,False
0,1,1,15,4,False
0,1,1,14,2,False
0,1,1,16,3,False
0,1,1,14,3,False
0,1,0,14,4,False
0,1,0,13,3,False
0,1,0,14,3,False
0,1,1,14,3,False
0,1,1,16,3,False
0,1,0,14,3,False
0,1,0,16,3,False
0,1,0,14,3,False
0,1,0,14,2,False
0,1,0,15,2,False
0,1,0,14,2,False
0,1,1,14,2,False
0,1,0,16,2,False
0,1,0,14,2,False
0,1,0,14,2,False
0,1,0,15,3,False
1,1,0,16,3,False
0,1,1,15,2,False
0,1,0,13,2,False
0,1,0,12,2,False
0,1,0,14,2,False
0,1,0,15,2,False
0,1,0,14,2,False
0,1,0,14,3,False
0,1,0,16,2,False
0,1,0,14,2,False
0,1,0,15,2,False
1,1,0,18,3,False
0,1,0,13,2,False
0,1,0,13,2,False
0,1,0,15,3,False
0,1,0,15,2,False
0,1,0,13,3,False
0,1,0,15,3,False
0,1,0,16,2,False
0,1,0,14,2,False
0,1,0,15,2,False
0,1,0,14,2,False
0,1,0,15,4,False
0,1,0,19,7,False
0,1,0,14,3,False
0,1,0,14,2,False
0,1,0,13,2,False
0,1,0,13,2,False
0,1,0,13,4,False
0,1,0,13,4,False
0,1,0,13,3,False
0,1,0,19,2,True
