Shukla Bose,Kirk Citron,Adora Svitak,Jesse Schell,Iraola,isPartial
0,0,0,0,28,False
0,14,0,0,37,False
0,0,0,0,17,False
0,0,0,0,31,False
0,0,0,0,27,False
0,0,0,0,35,False
0,0,0,12,28,False
0,0,0,0,39,False
0,0,0,21,31,False
0,0,0,0,21,False
0,0,0,0,14,False
10,0,0,20,33,False
0,0,0,0,26,False
0,0,9,9,23,False
0,0,8,0,18,False
0,0,0,9,17,False
0,0,0,7,17,False
0,0,8,0,15,False
8,0,0,0,15,False
7,0,0,0,15,False
0,0,0,13,29,False
0,0,0,6,31,False
0,0,16,6,27,False
0,0,6,0,23,False
0,0,5,0,16,False
0,0,8,0,20,False
0,0,5,0,38,False
0,0,5,5,19,False
0,0,5,0,25,False
0,0,7,5,26,False
0,0,5,0,29,False
0,0,5,5,24,False
0,0,20,0,20,False
4,0,4,0,20,False
0,0,0,0,21,False
4,0,4,0,32,False
0,0,0,3,23,False
4,0,7,0,30,False
0,0,3,3,34,False
0,0,3,0,21,False
3,0,3,0,22,False
0,0,3,0,28,False
3,0,10,0,16,False
0,0,3,3,21,False
0,0,3,0,30,False
0,2,2,2,27,False
0,0,15,2,16,False
0,3,5,3,26,False
0,0,2,0,22,False
2,0,5,2,27,False
0,0,0,2,26,False
0,2,3,2,32,False
0,0,0,2,29,False
0,0,2,2,18,False
0,0,6,2,21,False
0,0,0,2,34,False
0,0,2,2,33,False
2,2,2,2,29,False
0,0,2,2,28,False
2,0,2,0,27,False
2,0,30,2,28,False
0,2,38,4,29,False
0,0,6,2,23,False
0,0,2,3,29,False
2,0,3,2,28,False
2,0,6,0,23,False
0,0,2,3,25,False
2,0,3,2,26,False
0,0,3,1,37,False
1,0,2,1,32,False
0,0,1,1,32,False
1,0,2,0,32,False
0,0,2,2,35,False
1,0,5,13,23,False
1,1,4,14,25,False
4,1,64,12,26,False
2,0,13,6,26,False
3,0,19,5,27,False
2,0,9,2,18,False
2,0,10,6,23,False
2,1,6,4,33,False
1,0,5,5,33,False
2,1,9,5,41,False
1,0,5,5,29,False
1,0,4,7,26,False
0,1,4,4,31,False
2,0,10,6,39,False
0,0,6,2,29,False
0,0,3,3,31,False
1,0,7,4,28,False
1,0,6,4,24,False
2,0,8,2,34,False
1,0,5,2,32,False
1,0,9,4,25,False
1,1,8,3,27,False
1,0,5,3,23,False
0,0,5,4,24,False
1,0,4,5,25,False
0,0,5,3,55,False
1,1,5,6,27,False
1,0,4,2,39,False
2,1,3,2,26,False
1,1,3,2,24,False
1,0,4,4,24,False
0,0,5,3,25,False
1,0,3,3,25,False
1,1,4,3,20,False
1,0,5,3,24,False
1,0,4,2,25,False
1,1,7,5,25,False
2,0,5,3,21,False
0,0,6,3,25,False
1,1,5,4,21,False
1,0,5,3,22,False
1,1,4,1,23,False
1,0,4,9,23,False
1,1,4,7,25,False
2,0,4,3,24,False
1,0,4,2,24,False
1,0,3,3,24,False
1,0,3,2,24,False
1,1,4,2,23,False
0,0,4,2,26,False
1,0,3,2,18,False
0,0,3,3,21,False
2,1,3,2,19,False
1,1,5,2,20,False
1,0,5,2,29,False
1,1,4,3,30,False
1,0,5,2,26,False
1,1,3,1,26,False
0,0,3,1,19,False
0,0,6,2,22,False
1,1,3,2,25,False
0,1,2,3,31,False
0,0,2,2,36,False
1,0,2,2,100,False
1,0,4,2,40,False
1,0,2,2,48,False
1,0,2,2,33,False
1,0,3,2,27,False
0,0,3,3,22,False
1,0,2,1,20,False
0,0,3,2,22,False
1,0,2,2,24,False
0,0,4,2,18,False
1,0,2,1,21,False
1,0,3,1,20,False
1,0,2,2,26,False
1,0,2,2,24,False
0,0,4,3,27,False
0,0,3,2,16,False
1,0,3,1,22,False
1,0,1,1,22,False
1,1,2,2,27,False
0,0,1,2,20,False
0,0,2,1,17,False
0,1,2,2,19,False
0,1,2,2,18,False
0,0,3,1,17,False
1,0,3,2,19,False
1,0,2,2,18,False
1,1,2,1,17,False
1,0,2,1,15,False
1,0,1,2,14,False
1,0,2,2,14,False
1,0,2,1,15,False
0,0,2,2,11,False
0,0,4,2,16,False
0,0,3,1,18,False
0,0,3,1,17,False
0,0,1,1,12,False
1,0,2,1,16,False
1,0,3,2,17,False
1,0,2,1,15,False
0,0,2,1,16,False
0,0,3,1,17,False
0,0,2,2,19,False
1,0,1,1,15,False
0,0,2,1,15,False
1,1,2,1,15,False
0,0,2,2,18,False
1,0,2,1,15,False
1,0,2,1,16,False
0,0,2,1,19,False
1,0,1,1,15,False
0,0,1,1,19,False
0,0,0,1,19,False
0,0,1,1,15,False
0,1,1,1,16,False
1,0,2,1,17,False
1,0,1,1,15,False
1,0,2,1,25,False
1,0,1,0,46,False
0,1,2,0,20,False
0,0,2,1,13,False
0,0,3,1,13,False
1,0,1,1,16,False
0,0,0,1,28,False
0,0,1,1,26,False
1,0,2,1,19,False
0,0,1,1,16,True
