Bandi Mbubi,Ed Gavagan,Andrew McAfee,Read Montague,Iraola,isPartial
0,0,0,0,47,False
0,0,0,16,26,False
0,0,0,19,19,False
0,0,15,15,30,False
0,0,0,13,22,False
0,0,26,0,26,False
0,0,0,14,36,False
0,0,13,13,38,False
0,0,0,12,31,False
0,0,12,12,40,False
0,0,0,0,32,False
0,0,11,22,33,False
0,0,10,10,26,False
0,10,0,10,24,False
0,0,0,9,28,False
0,0,10,19,45,False
0,0,8,8,20,False
0,0,8,8,31,False
0,0,9,9,29,False
0,0,0,0,19,False
0,0,8,0,30,False
0,0,7,7,26,False
0,0,7,7,35,False
0,0,0,7,19,False
0,0,0,6,14,False
0,0,6,6,31,False
0,5,0,0,38,False
0,0,6,6,27,False
0,0,8,0,37,False
0,0,8,0,34,False
0,0,6,6,37,False
0,0,10,0,26,False
0,0,0,0,26,False
0,0,7,9,24,False
0,0,4,0,17,False
0,0,5,5,32,False
0,0,4,8,30,False
0,0,4,4,39,False
0,0,5,5,34,False
0,0,4,4,20,False
0,0,5,6,17,False
0,0,3,3,25,False
0,0,5,3,28,False
0,3,7,3,27,False
0,0,4,0,35,False
0,0,5,6,24,False
0,0,4,3,23,False
0,0,3,3,31,False
0,0,3,7,24,False
0,3,5,4,26,False
0,0,3,6,31,False
0,0,7,7,29,False
0,0,5,3,34,False
0,0,5,2,29,False
0,0,3,0,20,False
0,6,4,2,33,False
0,5,7,3,37,False
0,2,2,0,36,False
0,2,3,3,35,False
0,2,6,4,38,False
0,0,8,2,37,False
0,0,5,3,37,False
0,0,6,2,26,False
0,5,3,2,29,False
0,3,4,3,29,False
0,2,4,0,36,False
0,3,2,2,25,False
0,2,3,2,28,False
0,3,3,2,38,False
0,2,4,3,36,False
0,0,7,3,37,False
0,4,7,4,31,False
0,2,4,2,43,False
0,3,3,1,29,False
0,1,3,1,25,False
0,1,6,1,28,False
0,2,3,2,27,False
0,0,3,1,31,False
0,1,5,3,29,False
0,1,18,1,29,False
0,3,10,1,37,False
0,1,5,2,31,False
0,1,3,5,46,False
0,1,4,1,36,False
0,0,3,2,30,False
0,1,3,1,37,False
0,2,3,1,48,False
0,1,2,4,30,False
0,0,3,2,41,False
0,1,3,2,38,False
0,1,4,1,28,False
0,1,2,2,51,False
0,1,3,1,33,False
0,0,5,2,30,False
0,1,6,1,30,False
0,1,2,1,25,False
0,1,2,2,30,False
0,2,2,2,30,False
0,1,3,3,58,False
0,1,2,2,32,False
2,1,5,2,42,False
0,2,3,1,31,False
0,1,3,1,24,False
0,1,2,1,28,False
2,5,6,3,34,False
1,4,6,3,26,False
1,2,4,1,23,False
1,2,8,1,29,False
1,2,4,2,27,False
1,1,4,2,26,False
1,2,5,1,24,False
0,1,6,2,25,False
0,3,4,2,23,False
0,1,12,1,23,False
0,1,4,1,27,False
0,1,5,1,26,False
1,1,5,1,26,False
1,5,6,1,26,False
1,1,5,1,26,False
0,1,5,2,23,False
1,2,32,1,26,False
0,1,8,3,27,False
1,1,7,1,30,False
1,2,6,1,20,False
0,0,4,1,22,False
1,2,4,3,22,False
0,2,3,1,26,False
0,1,5,1,35,False
0,1,6,1,36,False
1,1,6,1,27,False
1,1,6,1,29,False
0,1,4,1,22,False
1,1,6,1,26,False
0,0,6,1,27,False
0,0,4,1,41,False
0,1,5,1,45,False
1,1,3,2,100,False
0,1,4,1,45,False
1,1,4,1,52,False
1,0,4,1,37,False
1,1,5,2,31,False
0,3,6,1,23,False
0,1,6,1,27,False
1,0,2,1,25,False
1,0,3,1,28,False
0,1,5,1,21,False
0,0,3,1,25,False
0,1,5,1,22,False
0,1,6,1,34,False
0,1,5,1,29,False
0,1,3,1,30,False
0,1,5,1,19,False
1,1,4,1,25,False
1,1,5,1,26,False
0,1,8,1,30,False
0,0,3,1,23,False
0,0,3,1,17,False
0,3,4,2,21,False
0,1,5,2,21,False
0,0,4,1,21,False
1,0,4,1,26,False
0,0,4,1,19,False
0,0,4,1,20,False
0,0,4,1,18,False
0,0,4,1,16,False
0,1,4,1,19,False
0,1,4,1,16,False
0,0,4,1,15,False
0,0,5,1,19,False
0,0,4,1,17,False
0,0,4,1,18,False
0,2,4,1,16,False
0,1,4,2,17,False
0,0,2,1,16,False
0,0,2,0,16,False
1,0,4,1,20,False
0,1,5,1,22,False
0,1,4,1,22,False
0,0,4,0,19,False
0,1,2,2,20,False
0,0,5,1,15,False
0,0,5,2,20,False
0,0,4,1,16,False
0,0,5,1,20,False
0,0,1,1,21,False
0,1,4,1,17,False
0,1,3,1,20,False
0,2,6,1,19,False
0,1,4,1,18,False
0,1,16,1,17,False
0,0,7,1,17,False
0,0,5,1,18,False
0,0,5,1,28,False
0,0,3,1,56,False
0,0,3,0,25,False
0,1,2,0,18,False
0,0,3,1,15,False
0,0,2,1,18,False
0,0,3,0,36,False
0,0,3,1,27,False
0,0,4,1,22,False
0,0,3,0,19,True
