Janette Sadik-Khan,Trita Parsi,Gary Slutkin,Andrew Fitzgerald,Iraola,isPartial
0,0,0,14,28,False
0,0,0,28,37,False
0,0,0,26,17,False
0,0,0,27,31,False
0,0,0,12,27,False
0,0,0,11,35,False
0,0,0,12,28,False
0,0,0,11,39,False
0,0,0,10,31,False
0,0,0,31,21,False
0,0,0,16,14,False
0,0,0,10,33,False
0,9,0,9,26,False
0,9,0,9,23,False
0,8,0,8,18,False
0,0,0,8,17,False
0,0,0,15,17,False
0,0,0,7,15,False
0,0,8,8,15,False
0,7,0,7,15,False
0,0,0,11,29,False
0,0,0,19,31,False
0,0,0,9,27,False
0,0,0,9,23,False
0,5,0,8,16,False
0,6,0,13,20,False
0,0,0,14,38,False
0,5,5,7,19,False
0,5,0,7,25,False
0,5,0,8,26,False
0,5,0,8,29,False
0,5,0,9,24,False
0,0,0,6,20,False
0,4,0,12,20,False
0,4,0,6,21,False
0,0,0,5,32,False
0,5,3,9,23,False
0,9,0,9,30,False
0,6,0,8,34,False
3,3,3,4,21,False
4,6,0,3,22,False
3,6,0,3,28,False
3,3,0,6,16,False
4,3,0,8,21,False
0,9,0,3,30,False
4,6,2,6,27,False
0,7,2,3,16,False
3,9,3,3,26,False
2,9,2,5,22,False
0,8,2,9,27,False
0,4,2,8,26,False
4,6,0,8,32,False
4,6,4,6,29,False
0,4,0,7,18,False
2,3,2,6,21,False
4,0,0,4,34,False
2,4,2,9,33,False
2,3,2,5,29,False
2,2,0,7,28,False
2,3,2,5,27,False
2,4,3,6,28,False
2,3,0,7,29,False
3,3,0,3,23,False
2,5,2,7,29,False
4,5,0,6,28,False
2,11,0,4,23,False
2,9,2,4,25,False
4,3,0,6,26,False
4,4,1,5,37,False
5,4,0,6,32,False
4,8,1,4,32,False
4,5,0,4,32,False
3,3,1,5,35,False
2,4,1,8,23,False
2,3,0,5,25,False
2,2,0,4,26,False
2,4,1,6,26,False
2,2,1,5,27,False
2,2,2,5,18,False
2,3,1,3,23,False
2,2,2,3,33,False
2,2,0,3,33,False
2,2,0,4,41,False
2,1,1,2,29,False
2,2,0,5,26,False
1,3,1,5,31,False
7,1,0,3,39,False
1,2,0,5,29,False
2,2,1,6,31,False
1,2,1,7,28,False
2,3,1,4,24,False
3,2,1,4,34,False
7,2,1,5,32,False
1,2,1,4,25,False
1,3,1,5,27,False
7,3,0,3,23,False
1,5,0,5,24,False
1,7,1,4,25,False
2,19,1,4,55,False
1,4,1,4,27,False
2,4,1,5,39,False
1,9,1,4,26,False
2,10,0,6,24,False
2,6,1,6,24,False
2,4,0,6,25,False
2,3,1,4,25,False
1,3,1,7,20,False
1,1,1,3,24,False
2,2,1,5,25,False
1,2,1,5,25,False
1,2,1,5,21,False
2,2,0,4,25,False
2,2,1,4,21,False
2,3,1,3,22,False
1,3,1,4,23,False
1,1,1,4,23,False
2,2,0,4,25,False
3,4,2,7,24,False
1,6,1,5,24,False
2,4,1,5,24,False
2,3,1,3,24,False
2,1,1,3,23,False
1,2,1,4,26,False
1,2,1,3,18,False
1,1,1,3,21,False
1,1,1,9,19,False
1,2,1,4,20,False
1,1,0,5,29,False
1,1,1,8,30,False
1,2,1,6,26,False
1,3,1,6,26,False
0,1,1,4,19,False
0,1,1,5,22,False
1,1,1,6,25,False
1,3,1,6,31,False
1,3,1,5,36,False
1,2,0,6,100,False
1,1,0,4,40,False
1,5,0,4,48,False
1,3,0,6,33,False
0,2,0,6,27,False
0,3,1,5,22,False
1,2,1,7,20,False
0,2,0,4,22,False
0,2,1,8,24,False
0,1,1,6,18,False
3,4,0,3,21,False
2,1,1,4,20,False
2,1,0,4,26,False
2,1,0,4,24,False
1,2,0,4,27,False
1,1,0,21,16,False
1,1,0,7,22,False
1,1,0,5,22,False
1,1,0,4,27,False
1,1,0,4,20,False
1,8,1,4,17,False
1,4,1,3,19,False
1,7,1,4,18,False
1,2,1,5,17,False
1,2,1,4,19,False
1,3,0,4,18,False
1,2,0,3,17,False
1,3,1,5,15,False
1,2,0,5,14,False
1,2,0,4,14,False
1,2,1,3,15,False
1,3,0,4,11,False
1,5,0,4,16,False
1,2,1,5,18,False
1,1,0,4,17,False
1,2,1,3,12,False
1,6,1,4,16,False
1,2,0,3,17,False
0,2,0,3,15,False
1,2,1,6,16,False
1,2,1,4,17,False
1,2,0,4,19,False
1,1,1,3,15,False
1,1,0,4,15,False
1,1,0,4,15,False
1,1,1,5,18,False
1,1,1,4,15,False
1,2,1,4,16,False
1,4,1,3,19,False
0,4,0,3,15,False
0,3,0,4,19,False
1,3,0,5,19,False
0,3,0,3,15,False
0,1,0,3,16,False
1,2,0,3,17,False
1,1,1,3,15,False
1,8,0,3,25,False
1,1,1,4,46,False
0,1,1,3,20,False
1,1,1,3,13,False
3,1,0,3,13,False
1,1,0,2,16,False
0,2,0,3,28,False
1,1,0,2,26,False
0,1,0,3,19,False
0,1,1,2,16,True
