Diane J. Savino,Peter Molyneux,Jamil Abu-Wardeh,Maz Jobrani,Iraola,isPartial
0,27,0,0,26,False
0,13,0,13,35,False
0,48,0,0,16,False
0,38,0,13,29,False
0,29,0,0,25,False
0,22,0,0,33,False
0,27,0,0,27,False
0,25,0,11,37,False
0,90,0,10,29,False
0,49,0,0,20,False
0,25,0,10,13,False
0,31,0,0,31,False
0,19,0,0,24,False
0,9,0,9,21,False
0,24,0,11,17,False
0,24,0,0,16,False
0,19,0,0,16,False
0,16,0,0,14,False
0,17,0,0,14,False
0,37,0,0,14,False
0,38,6,0,27,False
0,30,0,0,30,False
0,25,0,0,26,False
0,23,0,6,21,False
0,15,0,10,15,False
0,8,0,5,19,False
0,16,0,5,36,False
0,18,0,7,18,False
0,24,0,0,24,False
0,11,0,9,25,False
0,12,0,5,28,False
0,16,0,4,23,False
0,14,0,8,19,False
0,10,0,14,19,False
0,6,0,7,19,False
0,21,0,9,30,False
0,10,0,13,22,False
0,10,0,10,29,False
0,20,0,19,32,False
0,13,0,21,20,False
0,10,0,17,21,False
0,7,0,22,26,False
0,13,0,19,15,False
0,6,0,21,20,False
0,6,0,23,28,False
0,5,0,22,25,False
0,7,0,24,15,False
0,10,0,25,25,False
0,6,0,27,21,False
0,19,0,29,25,False
2,15,0,23,25,False
0,9,0,15,30,False
0,14,0,12,27,False
0,5,0,13,17,False
0,13,0,21,20,False
0,12,0,18,32,False
0,31,0,14,31,False
0,33,0,13,27,False
0,24,0,21,26,False
0,38,0,25,25,False
0,15,0,24,26,False
2,5,0,28,27,False
0,13,0,30,21,False
0,11,0,13,28,False
0,10,0,10,26,False
0,59,0,11,22,False
0,13,0,11,23,False
0,23,0,9,25,False
1,14,0,18,35,False
0,9,0,20,30,False
0,11,0,13,30,False
0,8,1,11,30,False
0,19,0,34,33,False
0,21,0,26,22,False
0,20,0,29,23,False
0,13,1,25,24,False
0,17,0,21,24,False
1,22,0,20,25,False
0,20,1,14,17,False
3,23,2,41,22,False
1,22,0,26,31,False
0,30,1,23,31,False
0,23,3,36,38,False
1,8,0,24,27,False
0,15,0,26,25,False
0,12,0,21,29,False
0,26,1,23,37,False
1,11,0,22,27,False
0,11,1,14,30,False
0,25,0,27,26,False
0,17,0,15,22,False
1,13,0,17,32,False
1,10,1,19,30,False
1,10,0,22,23,False
0,15,0,20,25,False
1,12,0,16,22,False
0,9,0,20,23,False
1,18,0,15,24,False
1,58,0,23,52,False
1,22,0,25,26,False
0,13,0,13,37,False
0,27,0,18,24,False
0,29,1,18,23,False
0,23,0,14,22,False
1,13,1,21,24,False
0,23,0,25,23,False
1,79,0,16,19,False
0,73,1,29,23,False
1,21,1,34,23,False
0,19,0,27,23,False
1,15,0,25,20,False
1,15,1,26,23,False
1,58,0,17,20,False
0,25,0,16,20,False
0,17,0,16,22,False
0,18,0,13,22,False
0,33,1,23,24,False
0,14,0,22,23,False
0,12,0,20,23,False
0,15,0,22,23,False
0,17,0,20,22,False
0,30,1,22,22,False
0,24,0,26,24,False
0,19,0,22,17,False
0,9,0,28,20,False
0,16,0,19,18,False
0,17,0,18,19,False
0,20,0,18,28,False
0,14,0,25,29,False
0,10,0,20,25,False
0,9,0,27,24,False
0,15,0,24,18,False
0,9,0,24,20,False
0,100,0,41,24,False
0,21,0,24,29,False
0,12,0,23,34,False
0,10,0,15,94,False
0,14,0,17,37,False
0,21,0,16,45,False
0,13,0,26,31,False
0,8,0,24,26,False
0,10,0,22,21,False
0,12,0,24,19,False
0,9,0,27,21,False
0,14,0,23,23,False
0,17,0,21,17,False
0,18,0,18,20,False
0,10,0,21,19,False
0,10,0,22,24,False
0,13,0,15,23,False
0,8,0,16,25,False
0,28,0,21,15,False
0,14,0,25,20,False
0,13,0,29,21,False
0,12,0,31,25,False
0,10,0,28,19,False
0,7,0,22,16,False
0,8,0,28,18,False
0,9,0,42,17,False
0,16,0,28,16,False
0,8,0,23,18,False
0,7,0,18,17,False
0,9,0,16,16,False
0,8,0,70,14,False
0,9,0,24,13,False
0,7,0,24,14,False
0,7,0,21,14,False
0,7,0,15,11,False
0,11,0,23,15,False
0,5,0,20,17,False
0,10,0,16,16,False
0,8,0,21,12,False
0,6,0,20,15,False
0,8,0,22,16,False
0,6,0,16,14,False
0,8,0,15,15,False
0,5,0,16,16,False
0,5,0,15,18,False
0,6,0,22,14,False
0,6,0,17,15,False
0,7,0,17,14,False
0,9,0,19,17,False
0,6,0,19,14,False
0,6,0,18,15,False
0,8,0,16,18,False
0,8,0,19,14,False
0,6,0,18,18,False
0,6,0,15,18,False
0,5,0,16,14,False
0,6,0,14,15,False
0,5,0,17,16,False
0,8,0,19,14,False
0,9,0,16,23,False
0,7,0,16,44,False
0,4,0,10,19,False
0,6,0,9,12,False
0,6,0,9,12,False
0,6,0,7,15,False
0,12,0,9,26,False
0,7,0,9,25,False
0,5,0,8,18,False
0,4,0,10,15,True
