Thomas Insel,Joshua Prager,Andres Lozano,BLACK,Iraola,isPartial
0,0,0,37,0,False
0,0,0,40,0,False
0,0,0,37,0,False
0,0,0,37,0,False
0,0,0,35,0,False
0,0,0,34,0,False
0,0,0,35,0,False
0,0,0,34,0,False
0,0,0,33,0,False
0,0,0,34,0,False
0,0,0,34,0,False
0,0,0,34,0,False
0,0,0,34,0,False
0,0,0,37,0,False
0,0,0,33,0,False
0,0,0,34,0,False
0,0,0,35,0,False
0,0,0,35,0,False
0,0,0,35,0,False
0,0,0,35,0,False
0,0,0,35,0,False
0,0,0,39,0,False
0,0,0,41,0,False
0,0,0,40,0,False
0,0,0,40,0,False
0,0,0,39,0,False
0,0,0,38,0,False
0,0,0,38,0,False
0,0,0,37,0,False
0,0,0,36,0,False
0,0,0,36,0,False
0,0,0,37,0,False
0,0,0,36,0,False
0,0,0,37,0,False
0,0,0,42,0,False
0,0,0,37,0,False
0,0,0,35,0,False
0,0,0,36,0,False
0,0,0,33,0,False
0,0,0,33,0,False
0,0,0,33,0,False
0,0,0,32,0,False
0,0,0,34,0,False
0,0,0,33,0,False
0,0,0,33,0,False
0,0,0,34,0,False
0,0,0,41,0,False
0,0,0,34,0,False
0,0,0,33,0,False
0,0,0,33,0,False
0,0,0,33,0,False
0,0,0,33,0,False
0,0,0,33,0,False
0,0,0,33,0,False
0,0,0,33,0,False
0,0,0,34,0,False
0,0,0,33,0,False
0,0,0,34,0,False
0,0,0,46,0,False
0,0,0,35,0,False
0,0,0,33,0,False
0,0,0,33,0,False
0,0,0,33,0,False
0,0,0,34,0,False
0,0,0,34,0,False
0,0,0,35,0,False
0,0,0,36,0,False
0,0,0,36,0,False
0,0,0,35,0,False
0,0,0,37,0,False
0,0,0,52,0,False
0,0,0,37,0,False
0,0,0,36,0,False
0,0,0,36,0,False
0,0,0,34,0,False
0,0,0,35,0,False
0,0,0,37,0,False
0,0,0,35,0,False
0,0,0,38,0,False
0,0,0,40,0,False
0,0,0,39,0,False
0,0,0,42,0,False
0,0,0,76,0,False
0,0,0,55,0,False
0,0,0,53,0,False
0,0,0,52,0,False
0,0,0,53,0,False
0,0,0,49,0,False
0,0,0,46,0,False
0,0,0,47,0,False
0,0,0,45,0,False
0,0,0,44,0,False
0,0,0,42,0,False
0,0,0,43,0,False
0,0,0,59,0,False
0,0,0,44,0,False
0,0,0,43,0,False
0,0,0,43,0,False
0,0,0,41,0,False
0,0,0,41,0,False
0,0,0,45,0,False
0,0,0,43,0,False
0,0,0,43,0,False
0,0,0,44,0,False
0,0,0,44,0,False
0,0,0,45,0,False
0,0,0,73,0,False
0,0,0,50,0,False
0,0,0,48,0,False
0,0,0,46,0,False
0,0,0,44,0,False
0,0,0,43,0,False
0,0,0,43,0,False
0,0,0,44,0,False
0,0,0,46,0,False
0,0,0,47,0,False
0,0,0,44,0,False
0,0,0,45,0,False
0,0,0,66,0,False
0,0,0,48,0,False
0,0,0,45,0,False
0,0,0,45,0,False
0,0,0,44,0,False
0,0,0,44,0,False
0,0,0,45,0,False
0,0,0,48,0,False
0,0,0,47,0,False
0,0,0,48,0,False
0,0,0,46,0,False
0,0,0,48,0,False
0,0,0,73,0,False
0,0,0,49,0,False
0,0,0,47,0,False
0,0,0,49,0,False
0,0,0,46,0,False
0,0,0,49,0,False
0,0,0,47,0,False
0,0,0,52,0,False
0,0,0,49,0,False
0,0,0,52,0,False
0,0,0,49,0,False
0,0,0,52,0,False
0,0,0,87,0,False
0,0,0,55,0,False
0,0,0,51,0,False
0,0,0,53,0,False
0,0,0,50,0,False
0,0,0,50,0,False
0,0,0,49,0,False
0,0,0,51,0,False
0,0,0,53,0,False
0,0,0,48,0,False
0,0,0,50,0,False
0,0,0,51,0,False
0,0,0,89,0,False
0,0,0,54,0,False
0,0,0,50,0,False
0,0,0,50,0,False
0,0,0,48,0,False
0,0,0,48,0,False
0,0,0,48,0,False
0,0,0,50,0,False
0,0,0,49,0,False
0,0,0,48,0,False
0,0,0,47,0,False
0,0,0,50,0,False
0,0,0,91,0,False
0,0,0,52,0,False
0,0,0,54,0,False
0,0,0,62,0,False
0,0,0,53,0,False
0,0,0,50,0,False
0,0,0,51,0,False
0,0,0,47,0,False
0,0,0,48,0,False
0,0,0,48,0,False
0,0,0,47,0,False
0,0,0,52,0,False
0,0,0,99,0,False
0,0,0,52,0,False
0,0,0,49,0,False
0,0,0,47,0,False
0,0,0,45,0,False
0,0,0,49,0,False
0,0,0,45,0,False
0,0,0,48,0,False
0,0,0,46,0,False
0,0,0,48,0,False
0,0,0,46,0,False
0,0,0,49,0,False
0,0,0,100,0,False
0,0,0,52,0,False
0,0,0,46,0,False
0,0,0,47,0,False
0,0,0,43,0,False
0,0,0,46,0,False
0,0,0,50,0,False
0,0,0,62,0,False
0,0,0,52,0,False
0,0,0,54,0,False
0,0,0,50,0,False
0,0,0,51,0,True
