James B. Glattfelder,Esther Perel,Young-ha Kim,Miguel Nicolelis,Iraola,isPartial
0,8,0,12,8,False
0,0,0,8,23,False
0,0,0,14,10,False
0,0,0,8,23,False
0,0,0,13,16,False
0,0,0,0,22,False
0,0,0,7,14,False
0,0,0,0,31,False
0,6,0,6,17,False
0,0,0,6,6,False
0,0,0,6,6,False
0,0,0,6,19,False
0,0,0,5,12,False
0,0,0,10,13,False
0,0,0,9,6,False
0,0,0,0,9,False
0,4,0,4,13,False
0,0,0,0,8,False
0,0,0,0,11,False
0,0,0,4,4,False
0,0,0,4,15,False
0,0,4,4,21,False
0,0,0,7,21,False
0,0,0,0,12,False
0,0,0,3,8,False
0,0,0,3,11,False
0,0,0,7,21,False
0,3,0,0,10,False
0,3,0,5,17,False
0,3,0,3,11,False
0,0,0,0,15,False
0,3,0,3,12,False
0,2,0,5,10,False
0,7,2,6,9,False
0,7,2,4,13,False
0,3,0,2,21,False
0,2,0,2,16,False
0,5,0,3,20,False
0,5,0,2,19,False
0,3,0,4,9,False
0,2,0,2,13,False
0,4,0,0,13,False
0,5,0,2,7,False
0,2,0,0,12,False
0,2,2,5,15,False
0,14,0,3,18,False
0,7,0,3,9,False
0,6,0,1,16,False
0,3,0,6,12,False
0,5,0,3,16,False
0,1,1,2,13,False
0,2,0,1,19,False
0,4,0,1,14,False
0,2,0,1,10,False
0,1,0,2,12,False
0,4,0,5,22,False
0,4,0,2,19,False
0,2,0,5,18,False
0,1,0,4,17,False
0,3,0,2,17,False
0,3,0,1,15,False
0,2,1,1,16,False
0,1,0,5,16,False
0,0,0,4,16,False
0,2,0,4,17,False
0,1,0,7,12,False
0,2,0,2,15,False
0,1,0,6,16,False
0,2,0,3,21,False
0,1,1,3,20,False
0,2,0,3,18,False
0,2,1,2,18,False
0,2,0,2,21,False
0,1,1,2,13,False
0,3,1,2,12,False
0,2,1,2,15,False
0,2,0,4,16,False
0,1,0,1,15,False
0,2,1,5,10,False
0,8,1,3,14,False
0,1,0,2,17,False
0,1,1,7,17,False
0,1,1,3,22,False
0,1,1,2,17,False
0,1,0,7,14,False
0,2,1,6,17,False
0,1,0,10,19,False
0,2,1,5,15,False
0,1,0,8,18,False
0,1,0,10,15,False
0,1,1,13,13,False
0,1,0,12,18,False
0,2,0,8,17,False
0,1,0,9,13,False
0,1,0,6,15,False
0,1,0,5,14,False
1,1,0,6,12,False
0,1,0,4,15,False
0,1,1,6,28,False
0,2,1,4,15,False
0,2,0,5,20,False
0,1,0,3,14,False
0,1,0,4,13,False
0,1,0,4,12,False
0,1,1,3,12,False
0,2,0,4,12,False
0,1,0,4,11,False
0,1,0,4,13,False
0,1,0,1,15,False
2,18,1,7,15,False
1,13,1,10,11,False
0,10,0,5,13,False
1,6,0,6,12,False
0,6,0,5,13,False
0,5,1,3,12,False
0,5,0,5,12,False
1,3,0,4,13,False
0,7,0,3,13,False
0,4,0,4,14,False
0,4,0,3,14,False
0,15,0,5,12,False
0,13,1,3,13,False
0,10,0,3,14,False
0,14,0,7,11,False
0,9,0,6,11,False
0,16,0,33,12,False
0,11,0,3,12,False
0,7,0,4,16,False
0,5,0,2,18,False
0,8,0,4,15,False
0,5,0,3,16,False
0,5,1,2,10,False
0,7,0,2,12,False
0,9,0,4,15,False
0,7,0,3,18,False
0,8,0,3,19,False
0,25,1,2,54,False
0,24,0,2,22,False
0,18,0,2,27,False
0,17,0,3,19,False
0,18,0,3,15,False
0,15,0,2,12,False
0,12,0,2,10,False
0,14,0,2,10,False
0,15,0,1,13,False
0,15,0,2,10,False
0,16,0,5,12,False
0,14,0,2,11,False
0,12,0,3,13,False
0,15,0,2,14,False
0,11,0,2,15,False
0,13,0,3,8,False
0,9,0,2,12,False
0,12,0,2,13,False
0,13,0,2,15,False
0,9,0,2,10,False
0,12,0,1,10,False
0,11,0,2,11,False
0,13,0,1,11,False
0,10,0,2,10,False
0,28,0,4,9,False
0,35,0,2,10,False
0,21,0,0,9,False
0,20,0,2,8,False
0,27,0,1,8,False
0,52,0,2,8,False
0,51,0,0,8,False
0,56,0,1,7,False
0,36,0,1,8,False
0,35,0,1,11,False
0,36,0,1,9,False
0,42,0,2,7,False
0,34,0,2,10,False
0,28,0,1,9,False
0,41,0,0,9,False
0,34,0,2,9,False
0,100,0,2,9,False
0,53,0,4,10,False
0,43,0,1,9,False
0,59,0,1,9,False
0,43,1,1,8,False
0,37,0,1,9,False
0,40,0,1,8,False
0,35,0,1,8,False
0,42,0,3,12,False
0,54,0,1,8,False
0,51,0,1,10,False
0,46,0,2,9,False
0,37,0,1,8,False
0,48,0,2,9,False
0,54,0,1,9,False
0,45,0,1,9,False
0,47,0,1,14,False
0,43,0,1,27,False
0,33,0,2,11,False
0,63,0,12,7,False
0,53,1,5,7,False
0,37,0,4,10,False
0,43,0,2,17,False
0,42,0,3,14,False
0,38,0,4,10,False
0,37,1,1,9,True
