Leslie Dodson,Srdja Popovic,Luis von Ahn,Cheryl Hayashi,Iraola,isPartial
0,0,0,0,28,False
0,14,0,0,37,False
0,0,0,0,17,False
0,0,0,0,31,False
0,0,0,0,27,False
0,0,11,0,35,False
0,0,0,0,28,False
0,0,0,0,39,False
0,0,0,0,31,False
0,0,0,0,21,False
0,0,0,0,14,False
0,0,10,0,33,False
0,9,0,0,26,False
0,0,0,9,23,False
0,8,0,0,18,False
0,0,8,9,17,False
0,0,7,0,17,False
0,0,0,0,15,False
8,0,8,0,15,False
7,0,7,0,15,False
0,0,0,0,29,False
0,0,12,0,31,False
0,0,9,0,27,False
6,0,0,0,23,False
0,0,11,0,16,False
0,0,11,0,20,False
0,0,5,0,38,False
0,5,10,0,19,False
0,0,9,0,25,False
0,0,0,0,26,False
0,0,5,5,29,False
5,5,6,0,24,False
0,4,22,0,20,False
0,0,10,8,20,False
0,4,12,0,21,False
4,4,4,4,32,False
3,0,5,0,23,False
0,4,11,0,30,False
3,3,6,0,34,False
0,3,10,0,21,False
0,3,4,3,22,False
0,3,7,3,28,False
0,0,9,0,16,False
0,0,5,0,21,False
0,5,5,8,30,False
0,5,9,2,27,False
2,0,2,0,16,False
3,3,10,0,26,False
2,4,3,2,22,False
2,2,3,5,27,False
3,0,4,0,26,False
0,2,4,2,32,False
0,0,4,0,29,False
2,0,3,0,18,False
0,4,5,2,21,False
2,0,4,0,34,False
0,2,4,0,33,False
0,3,5,0,29,False
0,4,11,2,28,False
0,0,5,0,27,False
2,2,5,2,28,False
0,3,4,0,29,False
0,2,7,0,23,False
3,2,4,0,29,False
0,2,4,2,28,False
0,2,4,0,23,False
0,2,17,3,25,False
2,0,7,2,26,False
1,1,8,0,37,False
0,1,5,0,32,False
1,0,4,0,32,False
3,0,2,0,32,False
1,0,4,0,35,False
0,1,4,7,23,False
0,1,2,2,25,False
0,2,2,0,26,False
1,0,2,1,26,False
1,0,2,1,27,False
0,1,3,0,18,False
1,1,2,0,23,False
1,1,3,0,33,False
1,2,3,0,33,False
0,3,2,1,41,False
2,1,2,0,29,False
1,1,5,0,26,False
0,3,3,0,31,False
1,4,5,1,39,False
1,3,2,1,29,False
0,2,5,1,31,False
1,3,5,2,28,False
1,0,3,0,24,False
1,1,2,1,34,False
0,3,4,1,32,False
0,2,3,0,25,False
1,2,10,1,27,False
2,5,17,3,23,False
1,3,16,2,24,False
1,2,9,2,25,False
0,2,7,0,55,False
1,1,6,0,27,False
1,2,6,1,39,False
1,1,8,1,26,False
0,1,9,0,24,False
1,1,4,1,24,False
2,2,5,1,25,False
0,2,6,0,25,False
1,2,7,1,20,False
0,5,5,0,24,False
0,1,4,0,25,False
1,2,3,0,25,False
1,4,4,1,21,False
1,2,4,0,25,False
1,1,7,1,21,False
0,1,6,1,22,False
1,2,6,1,23,False
0,2,13,0,23,False
0,3,8,1,25,False
0,12,5,1,24,False
1,9,5,1,24,False
1,4,5,1,24,False
1,2,8,0,24,False
1,2,7,1,23,False
1,4,10,0,26,False
1,1,6,0,18,False
0,2,7,0,21,False
1,1,5,0,19,False
1,1,3,0,20,False
0,1,5,1,29,False
0,1,5,0,30,False
0,1,6,0,26,False
1,3,4,1,26,False
0,4,3,0,19,False
0,2,6,1,22,False
1,2,5,0,25,False
0,5,3,1,31,False
0,3,4,0,36,False
0,3,5,0,100,False
0,2,7,1,40,False
0,1,4,0,48,False
0,2,6,0,33,False
0,2,4,0,27,False
0,3,6,0,22,False
0,2,7,0,20,False
1,1,5,0,22,False
0,1,8,0,24,False
0,2,8,0,18,False
0,2,5,0,21,False
0,1,4,0,20,False
0,1,3,0,26,False
0,1,3,0,24,False
0,1,4,0,27,False
0,1,2,0,16,False
0,1,4,1,22,False
0,1,4,0,22,False
0,2,2,0,27,False
0,2,2,0,20,False
0,2,2,0,17,False
0,1,5,0,19,False
0,6,3,0,18,False
0,2,5,0,17,False
0,1,3,0,19,False
0,3,6,0,18,False
0,1,3,0,17,False
0,0,3,0,15,False
0,2,4,0,14,False
0,5,4,0,14,False
0,1,3,0,15,False
0,3,2,1,11,False
0,1,5,0,16,False
1,2,5,0,18,False
0,2,3,0,17,False
0,4,2,0,12,False
0,2,2,0,16,False
1,1,3,0,17,False
0,2,3,0,15,False
1,1,4,0,16,False
0,1,6,0,17,False
0,1,3,0,19,False
0,1,2,0,15,False
1,1,2,0,15,False
0,2,5,0,15,False
0,5,6,0,18,False
1,2,6,0,15,False
0,2,4,0,16,False
0,1,3,0,19,False
0,1,3,0,15,False
0,1,4,0,19,False
0,1,3,0,19,False
0,1,5,0,15,False
0,1,3,1,16,False
0,3,3,0,17,False
0,2,2,0,15,False
0,1,5,0,25,False
0,1,7,0,46,False
0,2,5,0,20,False
0,1,4,0,13,False
0,2,7,0,13,False
0,3,6,0,16,False
0,2,5,0,28,False
0,1,7,0,26,False
0,1,5,0,19,False
0,2,4,0,16,True
