Alain de Botton,Elaine Morgan,Willard Wigan,Michael Pritchard,Iraola,isPartial
29,11,11,11,16,False
50,16,16,21,32,False
61,20,26,33,20,False
44,20,0,20,21,False
71,15,9,9,21,False
97,9,9,12,18,False
55,18,0,18,18,False
37,17,9,9,34,False
42,8,0,13,18,False
48,13,8,8,16,False
24,13,8,12,8,False
30,7,0,12,11,False
59,11,7,16,15,False
37,7,0,9,21,False
50,6,6,12,15,False
30,17,10,7,19,False
25,6,6,14,13,False
35,8,6,17,19,False
33,12,6,12,17,False
34,9,11,11,11,False
22,10,5,19,20,False
18,5,5,13,19,False
18,12,5,10,14,False
30,11,9,5,19,False
26,10,0,10,12,False
33,10,4,11,14,False
18,9,12,7,24,False
35,7,0,12,14,False
44,7,4,6,24,False
53,4,25,5,24,False
48,11,11,8,23,False
29,5,9,9,15,False
25,11,17,7,17,False
28,9,9,7,15,False
35,3,7,4,18,False
33,3,8,12,17,False
23,4,24,12,15,False
25,6,10,4,18,False
28,5,11,7,19,False
33,10,9,3,17,False
32,10,34,7,21,False
24,2,31,9,18,False
22,3,18,4,19,False
27,8,28,4,17,False
21,6,27,14,22,False
15,5,17,10,14,False
22,4,13,10,18,False
19,3,8,3,18,False
22,6,6,7,16,False
24,5,7,6,15,False
16,8,4,5,18,False
23,7,5,8,18,False
20,4,7,3,20,False
21,2,3,6,13,False
17,4,2,8,11,False
21,6,6,3,23,False
22,4,10,6,24,False
15,6,7,6,22,False
24,4,8,7,24,False
18,2,15,4,22,False
21,6,22,3,19,False
21,5,10,4,19,False
30,7,9,7,18,False
63,9,5,7,24,False
35,5,5,5,20,False
33,5,8,2,22,False
40,8,12,5,21,False
67,13,41,16,24,False
42,5,12,12,27,False
35,4,14,9,22,False
34,6,12,10,26,False
28,7,15,8,24,False
43,5,14,9,24,False
29,5,11,7,16,False
39,4,33,8,21,False
29,6,12,6,19,False
35,3,7,7,18,False
31,3,5,7,22,False
32,3,9,6,14,False
32,4,9,6,17,False
32,3,8,7,19,False
29,4,6,8,23,False
40,4,7,5,31,False
26,3,6,6,25,False
40,4,7,6,22,False
37,3,5,7,31,False
31,4,6,8,29,False
30,5,12,4,24,False
36,3,7,6,27,False
27,3,6,5,23,False
35,5,4,5,18,False
40,3,5,4,26,False
36,3,4,5,25,False
30,4,6,5,21,False
32,2,6,5,18,False
35,3,5,5,17,False
72,5,9,4,20,False
100,4,5,5,24,False
68,2,6,7,35,False
58,3,4,6,22,False
54,6,6,8,35,False
41,3,3,5,16,False
35,3,3,5,17,False
33,5,3,5,18,False
38,6,3,7,19,False
33,4,4,5,16,False
31,4,10,4,18,False
41,4,4,5,18,False
46,4,5,8,17,False
57,5,5,6,17,False
42,6,8,5,14,False
38,3,4,6,16,False
39,3,8,5,16,False
29,3,8,5,16,False
30,6,4,6,16,False
27,4,3,5,19,False
30,4,5,5,19,False
43,5,5,4,17,False
47,4,5,3,18,False
40,4,7,4,18,False
39,3,13,4,17,False
50,4,16,5,20,False
67,6,5,5,19,False
63,3,6,3,16,False
42,3,3,5,18,False
37,4,5,6,17,False
36,3,3,5,18,False
34,3,4,4,23,False
33,4,6,2,26,False
32,2,3,4,19,False
26,4,4,4,20,False
34,2,2,4,16,False
33,4,8,5,18,False
31,2,3,4,18,False
36,4,3,3,24,False
29,3,3,3,31,False
25,3,3,3,68,False
32,3,3,3,32,False
35,3,3,3,34,False
32,2,2,3,27,False
26,2,2,3,18,False
29,2,2,3,17,False
34,4,3,4,17,False
29,2,2,4,16,False
31,2,2,3,17,False
34,3,4,3,13,False
32,2,7,3,16,False
41,3,5,4,14,False
49,3,3,3,20,False
60,3,3,3,19,False
67,2,3,2,19,False
53,3,1,3,14,False
44,4,2,3,14,False
40,3,2,6,20,False
36,3,2,3,22,False
41,2,2,5,18,False
44,3,2,3,12,False
56,3,1,3,14,False
42,3,2,3,13,False
44,2,2,3,13,False
35,2,1,3,15,False
53,3,1,2,13,False
43,3,1,2,12,False
42,3,2,3,13,False
39,3,2,2,12,False
31,2,2,3,13,False
34,3,4,3,12,False
29,3,3,3,8,False
31,2,2,4,12,False
34,2,3,2,13,False
27,2,1,3,11,False
26,2,2,3,10,False
23,2,2,3,13,False
25,3,2,4,12,False
28,2,32,2,11,False
35,2,3,3,13,False
28,2,2,2,14,False
40,2,4,2,14,False
38,3,3,3,14,False
34,2,5,4,13,False
31,4,3,2,11,False
30,2,3,2,13,False
28,3,3,2,11,False
25,2,5,2,12,False
24,2,2,3,11,False
27,2,2,4,12,False
25,2,2,4,16,False
30,2,2,3,13,False
34,3,2,3,14,False
35,3,2,3,11,False
26,3,2,2,13,False
30,2,2,6,12,False
34,2,2,4,19,False
38,2,2,3,36,False
32,2,2,2,15,False
41,2,1,2,11,False
42,2,2,2,11,False
30,3,3,2,10,False
25,2,2,2,23,False
27,2,1,2,20,False
27,2,1,2,15,False
22,2,2,2,13,True
