Bernie Krause,Gavin Pretor-Pinney,Pico Iyer,Miranda Wang and Jeanny Yao,Iraola,isPartial
0,0,14,0,28,False
0,0,63,0,37,False
0,0,23,0,17,False
13,0,13,0,31,False
0,0,27,0,27,False
0,0,19,0,35,False
0,0,12,0,28,False
11,0,34,0,39,False
0,0,17,0,31,False
0,0,21,0,21,False
11,0,11,0,14,False
0,0,15,0,33,False
0,0,17,0,26,False
9,0,21,0,23,False
8,0,23,0,18,False
8,0,17,0,17,False
7,0,11,0,17,False
0,0,7,0,15,False
8,0,15,0,15,False
7,0,11,0,15,False
0,0,9,0,29,False
6,0,16,0,31,False
0,0,19,0,27,False
6,0,19,0,23,False
11,0,5,0,16,False
0,31,7,0,20,False
0,0,13,0,38,False
5,0,5,0,19,False
5,0,9,0,25,False
5,10,17,0,26,False
0,10,13,0,29,False
5,0,9,0,24,False
0,0,13,0,20,False
0,6,8,0,20,False
4,4,6,0,21,False
4,0,7,0,32,False
3,3,7,0,23,False
6,0,11,0,30,False
6,0,7,0,34,False
5,3,9,0,21,False
3,0,8,0,22,False
0,3,8,0,28,False
6,4,10,0,16,False
3,3,6,0,21,False
5,3,13,0,30,False
2,0,13,0,27,False
2,2,9,0,16,False
5,0,14,0,26,False
0,3,9,0,22,False
5,0,8,0,27,False
4,2,21,0,26,False
2,0,22,0,32,False
2,2,18,0,29,False
2,0,11,0,18,False
4,0,8,0,21,False
0,0,8,0,34,False
3,0,13,0,33,False
2,0,10,0,29,False
2,0,7,0,28,False
2,0,10,0,27,False
2,2,8,0,28,False
5,0,6,0,29,False
2,2,12,0,23,False
2,0,9,0,29,False
2,2,8,0,28,False
2,2,32,0,23,False
2,2,10,0,25,False
3,2,7,0,26,False
4,0,10,0,37,False
1,0,13,0,32,False
3,1,11,0,32,False
1,0,8,0,32,False
2,1,6,0,35,False
1,1,7,0,23,False
1,0,5,0,25,False
2,1,9,0,26,False
1,1,13,0,26,False
2,2,7,0,27,False
2,2,6,0,18,False
1,3,6,0,23,False
1,0,2,0,33,False
2,1,7,0,33,False
1,1,8,0,41,False
0,1,5,0,29,False
2,0,6,0,26,False
1,1,6,0,31,False
1,2,10,0,39,False
2,2,4,0,29,False
0,1,5,0,31,False
1,2,5,0,28,False
2,1,5,0,24,False
1,1,5,0,34,False
1,1,7,0,32,False
1,2,8,0,25,False
2,1,9,0,27,False
0,0,11,0,23,False
1,1,40,0,24,False
2,1,22,0,25,False
8,1,11,0,55,False
4,1,11,0,27,False
5,1,12,1,39,False
3,1,5,0,26,False
1,1,14,0,24,False
2,1,6,0,24,False
4,1,7,0,25,False
2,0,7,0,25,False
3,1,15,0,20,False
2,1,11,0,24,False
2,1,12,0,25,False
2,1,7,0,25,False
1,1,9,0,21,False
2,0,8,0,25,False
1,1,7,0,21,False
3,1,5,1,22,False
5,1,16,1,23,False
3,1,13,0,23,False
3,1,17,0,25,False
4,1,8,1,24,False
2,1,10,1,24,False
1,1,9,1,24,False
2,0,7,0,24,False
3,1,6,1,23,False
1,0,8,0,26,False
2,0,8,1,18,False
3,0,7,0,21,False
3,1,4,1,19,False
3,1,4,0,20,False
1,1,5,0,29,False
2,1,7,0,30,False
2,1,9,0,26,False
1,1,18,0,26,False
1,1,17,1,19,False
2,0,19,0,22,False
1,1,13,0,25,False
2,1,20,0,31,False
2,0,11,0,36,False
1,0,8,0,100,False
1,1,27,0,40,False
0,1,11,0,48,False
2,1,8,0,33,False
3,1,8,0,27,False
1,1,9,0,22,False
2,0,9,0,20,False
1,0,8,0,22,False
1,0,8,0,24,False
1,0,9,0,18,False
1,0,9,1,21,False
1,1,6,0,20,False
2,0,10,0,26,False
3,0,8,0,24,False
3,0,6,0,27,False
2,0,5,0,16,False
3,0,6,0,22,False
2,0,11,0,22,False
3,0,9,0,27,False
3,0,6,0,20,False
3,0,9,0,17,False
1,0,6,0,19,False
2,0,6,0,18,False
1,0,9,0,17,False
1,0,5,0,19,False
1,0,5,0,18,False
1,1,7,0,17,False
1,0,5,0,15,False
1,0,7,0,14,False
2,0,5,0,14,False
1,1,4,0,15,False
1,0,6,0,11,False
1,0,5,0,16,False
1,0,7,0,18,False
1,0,6,0,17,False
2,0,4,0,12,False
2,0,5,0,16,False
1,0,5,0,17,False
1,0,4,1,15,False
1,0,6,0,16,False
1,0,9,0,17,False
1,0,8,0,19,False
1,0,7,0,15,False
2,0,13,0,15,False
1,0,5,0,15,False
1,0,6,0,18,False
1,1,6,0,15,False
0,0,13,0,16,False
1,0,11,1,19,False
1,0,7,0,15,False
1,0,7,0,19,False
1,0,9,0,19,False
1,1,12,4,15,False
1,0,9,0,16,False
2,0,8,0,17,False
1,0,6,0,15,False
1,0,6,0,25,False
1,0,5,0,46,False
1,0,3,0,20,False
2,0,10,0,13,False
3,0,9,0,13,False
1,0,9,0,16,False
1,0,6,0,28,False
1,1,6,0,26,False
2,0,11,0,19,False
1,0,6,0,16,True
