LaToya Ruby Frazier,Joey Alexander,Roxane Gay,Maryn McKenna,Iraola,isPartial
0,4,0,0,8,False
0,0,0,0,11,False
0,15,0,0,5,False
0,8,0,0,9,False
0,3,0,0,8,False
0,5,0,0,10,False
0,4,0,0,9,False
0,7,0,0,12,False
0,9,0,3,9,False
0,3,0,0,6,False
0,3,0,0,4,False
0,0,0,0,10,False
0,3,0,3,8,False
0,3,0,0,7,False
0,5,0,0,5,False
0,3,0,0,5,False
0,4,0,0,5,False
0,2,0,0,5,False
0,3,0,2,5,False
0,4,0,0,4,False
0,2,0,0,9,False
0,3,0,0,9,False
0,2,2,2,8,False
0,4,0,0,7,False
0,2,0,0,5,False
0,3,0,0,6,False
0,3,0,0,12,False
0,2,0,0,6,False
0,2,0,1,8,False
0,3,0,1,8,False
0,1,0,0,9,False
0,2,0,0,7,False
0,2,1,0,6,False
0,2,1,0,6,False
0,1,0,0,6,False
0,2,0,0,10,False
0,2,0,0,7,False
0,1,0,0,9,False
0,2,1,1,10,False
0,1,0,1,6,False
0,2,0,0,7,False
0,3,1,1,8,False
0,2,0,0,5,False
0,2,0,1,6,False
0,1,0,0,9,False
0,1,0,1,8,False
0,2,0,0,5,False
1,2,0,0,8,False
0,1,0,0,7,False
0,2,1,1,8,False
0,3,0,0,8,False
0,1,0,0,10,False
0,1,1,0,9,False
0,1,0,0,5,False
0,2,0,0,6,False
0,3,1,0,10,False
0,1,1,0,10,False
1,2,0,1,9,False
0,2,0,0,8,False
1,1,1,0,8,False
0,1,1,0,8,False
1,1,0,0,9,False
0,2,0,0,7,False
0,2,0,0,9,False
1,1,0,0,8,False
1,2,0,0,7,False
0,1,0,0,7,False
0,1,0,0,8,False
0,2,0,0,11,False
0,1,0,0,10,False
0,1,1,0,10,False
0,1,0,0,10,False
0,3,0,0,10,False
0,2,0,0,7,False
0,1,1,0,7,False
0,1,0,1,8,False
0,2,0,0,8,False
0,1,1,1,8,False
0,2,0,0,5,False
0,2,0,1,7,False
0,2,1,1,10,False
0,2,1,0,10,False
0,1,0,0,12,False
0,1,1,0,9,False
0,2,1,0,8,False
0,1,1,0,9,False
0,1,1,0,12,False
1,1,1,0,9,False
1,2,0,0,9,False
0,1,0,0,8,False
0,2,1,0,7,False
0,1,1,0,10,False
1,1,0,0,10,False
0,1,1,0,7,False
0,1,1,1,8,False
0,1,1,0,7,False
0,1,1,0,7,False
1,1,0,0,8,False
0,1,1,0,16,False
1,1,1,0,8,False
0,2,1,0,12,False
0,2,1,0,8,False
0,1,0,0,7,False
0,2,1,0,7,False
0,2,1,0,8,False
0,1,1,0,7,False
0,1,1,0,6,False
0,2,1,0,7,False
0,2,1,0,7,False
1,1,1,0,7,False
1,1,1,0,6,False
1,1,1,0,7,False
0,2,1,0,6,False
0,2,1,0,7,False
0,1,1,1,7,False
0,2,1,0,7,False
0,1,1,0,8,False
0,1,1,0,7,False
1,1,1,0,7,False
1,1,1,0,7,False
0,2,1,0,7,False
0,1,2,0,7,False
1,1,1,0,8,False
0,2,2,0,6,False
0,2,2,0,6,False
0,2,1,0,6,False
0,2,3,0,6,False
0,1,7,0,9,False
0,1,8,0,9,False
1,2,9,0,8,False
1,2,5,0,8,False
1,2,7,0,6,False
0,3,6,0,6,False
0,3,6,0,8,False
0,3,8,0,9,False
0,3,5,0,11,False
0,26,4,0,30,False
0,11,6,1,12,False
0,8,6,0,14,False
0,10,5,0,10,False
2,5,6,0,8,False
1,5,5,0,7,False
1,5,5,0,6,False
0,19,4,0,7,False
0,45,5,0,7,False
0,100,4,0,5,False
0,13,4,0,6,False
0,10,4,0,6,False
0,16,5,0,8,False
0,22,13,0,7,False
0,8,8,0,8,False
0,6,6,0,5,False
1,10,6,0,6,False
1,8,6,0,7,False
0,12,8,0,8,False
1,12,5,0,6,False
0,7,14,0,5,False
0,9,13,0,6,False
1,10,10,0,5,False
0,5,9,0,5,False
0,4,9,0,6,False
0,4,59,0,5,False
0,5,21,0,5,False
0,3,14,0,4,False
0,3,15,1,4,False
1,5,13,0,4,False
1,6,12,1,5,False
0,4,15,0,3,False
1,3,15,0,5,False
1,4,21,0,5,False
0,4,15,0,5,False
1,4,18,0,4,False
0,5,14,0,5,False
0,5,14,0,5,False
0,4,11,0,5,False
0,7,12,0,5,False
0,4,12,0,5,False
0,4,11,0,6,False
0,4,9,0,4,False
0,7,11,0,5,False
0,3,11,0,5,False
1,3,10,0,5,False
0,3,13,0,5,False
1,4,18,0,5,False
0,2,10,0,6,False
0,3,10,0,5,False
0,3,8,0,6,False
0,3,11,0,6,False
0,3,9,0,4,False
1,3,7,0,5,False
0,3,10,0,5,False
0,3,6,0,4,False
0,3,10,0,7,False
0,5,10,0,14,False
0,3,8,0,6,False
0,3,9,0,4,False
0,2,10,0,4,False
0,3,16,0,5,False
0,3,10,0,8,False
0,2,10,0,8,False
1,2,8,0,6,False
0,2,6,0,5,True
