Sarah Kay,Isabel Behncke,Paul Root Wolpe,Eythor Bender,Iraola,isPartial
45,0,0,0,19,False
54,0,10,0,26,False
32,0,0,0,12,False
40,0,0,0,22,False
42,0,0,0,19,False
32,0,8,0,24,False
53,0,0,0,20,False
65,0,0,0,27,False
36,0,0,0,21,False
44,0,0,0,15,False
49,7,15,0,10,False
43,0,0,0,22,False
39,0,0,0,18,False
56,0,0,0,16,False
38,0,5,0,12,False
41,0,0,0,12,False
44,0,0,0,12,False
28,0,0,5,10,False
41,0,0,0,11,False
42,0,0,0,10,False
52,0,9,0,20,False
51,0,4,0,22,False
46,0,0,0,19,False
47,0,0,0,16,False
56,0,4,0,11,False
59,0,0,0,14,False
55,0,0,0,26,False
52,0,0,0,13,False
47,0,0,0,17,False
45,0,0,0,18,False
49,0,0,0,20,False
63,0,0,0,17,False
49,0,3,0,14,False
47,0,3,0,14,False
53,0,3,0,14,False
54,0,0,0,22,False
43,0,2,0,16,False
45,0,0,0,21,False
50,0,0,0,24,False
38,0,2,0,15,False
58,0,2,0,15,False
59,0,0,0,19,False
57,0,0,0,11,False
52,0,0,0,15,False
46,0,4,0,21,False
70,0,2,0,18,False
71,0,2,0,11,False
46,0,2,0,18,False
52,0,0,0,15,False
58,0,0,0,19,False
56,0,1,0,18,False
59,1,0,0,22,False
59,0,0,0,20,False
67,0,0,1,12,False
57,0,0,0,14,False
93,0,0,1,24,False
64,0,0,0,23,False
65,0,1,0,20,False
67,0,0,0,19,False
67,0,0,1,18,False
56,0,0,0,19,False
56,0,0,0,20,False
58,0,1,0,16,False
49,0,0,0,20,False
56,0,1,1,19,False
54,0,0,0,16,False
56,0,2,0,17,False
55,0,0,0,18,False
60,0,1,0,26,False
55,0,0,0,22,False
60,0,1,1,22,False
49,1,0,1,22,False
46,0,0,0,24,False
65,0,1,0,16,False
56,1,0,0,17,False
57,0,0,0,18,False
64,0,0,0,18,False
63,0,0,0,18,False
62,0,1,0,12,False
67,1,0,0,16,False
57,0,0,0,23,False
59,0,0,1,23,False
76,0,0,0,28,False
47,0,1,1,20,False
54,0,1,1,18,False
55,0,0,0,21,False
94,3,1,1,27,False
100,1,1,2,20,False
65,1,1,1,22,False
68,1,1,1,19,False
72,1,1,1,16,False
68,0,1,1,23,False
75,0,1,1,22,False
75,0,1,1,17,False
68,1,1,1,19,False
87,1,1,1,16,False
79,1,1,0,16,False
74,1,0,1,17,False
75,1,0,1,38,False
79,1,0,1,19,False
85,1,0,1,27,False
61,0,1,1,18,False
68,0,0,0,17,False
70,0,1,0,16,False
69,0,0,0,17,False
78,1,0,0,17,False
69,1,1,1,14,False
60,0,1,1,17,False
66,0,0,0,17,False
68,0,0,0,17,False
72,0,0,0,15,False
75,0,0,1,17,False
63,1,0,1,15,False
64,0,0,0,15,False
60,0,0,0,16,False
61,1,0,1,16,False
65,1,0,0,18,False
62,0,0,0,17,False
72,0,0,0,17,False
58,0,0,0,17,False
64,0,0,0,16,False
69,0,1,0,16,False
86,0,0,0,18,False
75,1,1,1,13,False
72,0,0,1,15,False
53,0,0,1,13,False
57,0,0,0,14,False
53,0,0,1,20,False
61,0,0,0,21,False
100,0,0,0,18,False
56,1,1,0,18,False
58,1,0,0,13,False
61,0,0,0,15,False
64,0,0,0,17,False
62,1,1,0,21,False
57,0,0,0,25,False
57,0,0,0,69,False
48,0,0,0,27,False
51,0,0,1,33,False
63,0,0,0,22,False
54,0,0,0,19,False
55,1,0,0,16,False
49,0,0,0,14,False
47,0,0,0,15,False
50,0,0,0,17,False
49,1,1,0,12,False
57,0,1,0,15,False
55,0,0,0,14,False
53,0,0,1,18,False
45,0,0,0,17,False
44,0,0,0,19,False
44,1,1,0,11,False
52,0,0,0,15,False
54,0,0,0,15,False
48,1,0,0,19,False
46,0,0,0,14,False
50,1,0,0,12,False
51,0,0,0,13,False
54,0,1,0,12,False
53,1,0,1,12,False
48,0,0,0,13,False
40,0,0,0,12,False
47,1,0,0,11,False
45,0,0,0,10,False
43,0,0,0,9,False
46,1,1,0,10,False
40,0,0,0,11,False
44,1,0,0,8,False
42,1,1,0,11,False
47,1,0,0,12,False
41,0,1,0,12,False
47,1,1,0,9,False
41,0,0,0,11,False
42,0,0,0,12,False
42,0,0,0,10,False
42,0,0,0,11,False
44,0,1,0,12,False
41,1,0,0,13,False
37,0,0,0,10,False
35,1,0,0,11,False
40,0,0,0,10,False
44,0,0,0,12,False
40,0,0,0,11,False
38,1,0,0,11,False
38,0,0,0,13,False
34,0,0,0,11,False
37,0,0,0,13,False
34,0,0,0,13,False
38,0,1,0,10,False
40,0,0,0,11,False
32,0,0,0,12,False
36,0,0,0,10,False
36,0,0,0,17,False
38,0,0,0,32,False
32,1,0,0,14,False
42,1,0,0,9,False
37,0,0,0,9,False
32,0,0,0,11,False
33,1,0,0,19,False
36,0,0,0,18,False
34,1,0,0,13,False
28,0,0,0,11,True
