Larry Burns,Nick Sears,David Holt,Eva Zeisel,Iraola,isPartial
16,16,58,16,24,False
16,0,52,16,47,False
19,0,48,19,29,False
15,15,45,25,30,False
13,0,39,26,30,False
33,0,30,13,26,False
27,14,55,21,27,False
31,0,38,13,50,False
19,12,35,15,27,False
18,0,28,36,24,False
12,0,40,18,12,False
33,11,26,11,17,False
23,0,29,13,23,False
14,0,34,44,31,False
13,9,29,13,23,False
29,10,29,15,29,False
13,8,22,28,20,False
20,17,42,48,28,False
13,13,46,29,26,False
14,33,36,19,17,False
15,8,30,13,30,False
14,7,31,24,28,False
31,7,38,14,21,False
10,10,25,9,28,False
12,9,29,24,18,False
13,13,29,8,21,False
11,11,43,11,36,False
12,23,48,9,21,False
27,0,28,21,35,False
13,11,26,32,35,False
20,11,37,19,34,False
9,10,36,17,22,False
20,5,26,16,25,False
15,7,27,16,22,False
9,4,25,30,26,False
9,5,18,23,26,False
12,8,29,13,22,False
17,6,32,25,26,False
13,4,20,13,28,False
8,4,21,13,25,False
16,3,20,12,31,False
12,5,29,9,26,False
5,8,31,10,29,False
13,6,36,5,25,False
18,3,21,11,33,False
12,4,20,16,21,False
13,4,16,16,27,False
13,9,34,10,27,False
8,6,31,8,24,False
16,7,29,8,21,False
11,7,34,4,27,False
13,5,16,11,27,False
12,5,31,9,30,False
8,5,31,6,19,False
9,6,20,11,16,False
8,6,21,6,35,False
11,4,23,9,36,False
9,3,31,7,32,False
5,5,23,8,36,False
14,9,30,13,32,False
10,5,23,9,28,False
12,6,30,7,28,False
9,6,20,15,27,False
13,4,28,6,35,False
11,2,21,5,30,False
9,3,28,5,33,False
8,5,17,9,30,False
9,5,24,4,35,False
8,5,25,9,40,False
11,4,18,8,33,False
5,5,17,10,39,False
9,7,24,7,36,False
6,5,22,8,36,False
8,3,25,10,24,False
5,5,22,18,31,False
7,6,23,5,27,False
7,5,21,5,26,False
10,6,20,5,32,False
9,4,21,7,21,False
10,4,24,4,25,False
7,8,20,4,28,False
7,8,45,3,34,False
8,6,23,7,46,False
5,8,17,4,37,False
10,15,24,5,33,False
7,11,22,6,45,False
8,5,25,4,43,False
5,6,18,8,36,False
6,9,17,2,40,False
10,6,21,2,34,False
5,9,15,6,26,False
7,14,17,4,38,False
8,10,17,6,38,False
7,7,12,7,31,False
7,9,18,4,27,False
8,11,16,15,24,False
5,12,18,41,29,False
8,9,23,7,35,False
7,7,16,6,52,False
6,3,18,7,33,False
6,2,19,5,52,False
8,4,21,6,24,False
6,4,19,4,25,False
8,4,16,4,27,False
7,2,18,6,28,False
5,5,18,4,23,False
7,5,17,5,26,False
10,4,19,6,27,False
6,5,18,5,26,False
6,4,17,5,25,False
7,5,13,6,21,False
7,4,19,4,23,False
7,3,17,4,24,False
7,3,19,2,24,False
5,5,19,3,24,False
6,3,20,3,29,False
6,3,15,3,29,False
11,3,17,3,25,False
5,4,16,4,27,False
12,5,15,1,26,False
7,2,19,4,26,False
6,2,14,4,29,False
9,3,17,4,28,False
10,3,19,4,24,False
11,4,18,2,27,False
12,4,19,4,25,False
8,4,20,2,26,False
9,3,19,2,34,False
11,2,17,4,38,False
11,1,17,2,29,False
12,4,15,3,29,False
7,3,15,1,23,False
9,4,20,2,26,False
6,3,21,4,27,False
6,4,20,3,36,False
8,3,20,4,46,False
9,2,16,4,100,False
6,2,22,2,47,False
6,3,18,2,50,False
5,2,13,3,39,False
8,3,18,2,27,False
7,3,15,2,25,False
6,3,15,2,25,False
5,3,16,3,23,False
7,4,34,3,25,False
7,2,18,3,19,False
4,3,17,2,24,False
7,4,18,2,20,False
5,3,16,2,29,False
6,3,18,2,29,False
5,3,11,2,29,False
7,2,17,2,20,False
6,2,20,2,21,False
8,2,14,3,30,False
7,3,15,2,32,False
5,2,14,3,27,False
5,2,16,3,17,False
5,3,17,2,20,False
7,1,15,3,19,False
6,2,15,3,19,False
6,2,13,2,22,False
6,2,14,2,19,False
5,2,15,2,18,False
9,1,14,1,19,False
7,1,15,3,17,False
8,3,16,3,19,False
4,3,14,3,17,False
4,3,12,1,12,False
7,1,22,3,18,False
7,2,32,2,19,False
6,1,14,2,17,False
6,1,15,3,15,False
6,2,14,2,20,False
6,2,13,2,18,False
6,2,14,2,17,False
7,1,15,2,20,False
5,1,12,1,21,False
6,3,14,2,21,False
5,2,13,3,20,False
5,1,13,2,20,False
6,2,15,2,17,False
7,1,16,2,19,False
7,1,13,3,16,False
5,1,12,2,18,False
7,1,10,2,17,False
6,1,12,2,18,False
12,1,14,2,23,False
7,1,16,1,20,False
6,1,12,3,20,False
4,1,12,2,17,False
6,2,12,3,18,False
5,1,13,3,17,False
6,1,13,3,29,False
6,1,15,2,53,False
4,1,14,2,21,False
6,1,19,3,16,False
6,1,16,2,17,False
4,1,15,2,15,False
6,1,12,3,34,False
6,1,12,2,29,False
5,1,13,2,22,False
6,1,14,1,19,True
