Alice Rawsthorn,Monica Byrne,Michael Bodekaer,Jennifer Kahn,Iraola,isPartial
0,0,0,0,15,False
0,0,0,0,44,False
18,18,0,0,18,False
0,0,0,14,42,False
0,0,0,0,30,False
0,12,0,12,42,False
0,0,0,13,25,False
12,0,0,0,58,False
0,11,0,11,32,False
0,16,0,0,11,False
0,11,0,0,11,False
0,0,0,10,36,False
0,0,0,9,22,False
9,0,0,19,23,False
0,0,0,0,12,False
0,0,0,13,18,False
0,0,0,8,23,False
0,0,0,8,16,False
0,0,0,8,20,False
8,0,0,11,8,False
0,7,0,7,28,False
7,0,0,7,39,False
13,10,0,6,39,False
0,6,0,6,22,False
6,6,0,0,14,False
11,6,0,11,20,False
0,12,0,5,40,False
0,5,0,0,19,False
5,5,0,15,32,False
0,13,0,5,21,False
0,5,0,0,28,False
0,7,0,5,21,False
0,0,0,0,18,False
0,8,0,4,16,False
4,4,0,6,24,False
4,8,0,0,39,False
0,7,0,7,29,False
4,6,0,4,38,False
0,0,0,7,35,False
0,3,0,3,17,False
3,0,0,0,24,False
3,3,0,6,25,False
0,3,0,3,12,False
0,6,0,3,23,False
3,3,0,6,28,False
8,0,0,3,33,False
0,4,0,2,17,False
0,0,0,3,29,False
2,0,0,2,22,False
0,2,0,4,30,False
2,3,0,3,23,False
2,0,0,9,36,False
2,4,0,4,26,False
2,4,0,7,18,False
0,2,0,3,22,False
0,0,0,6,41,False
4,3,0,5,35,False
0,7,0,5,33,False
2,2,0,4,31,False
2,2,0,4,31,False
5,9,0,4,29,False
2,5,0,4,30,False
3,3,0,3,29,False
0,3,0,2,31,False
0,4,0,0,32,False
2,2,0,0,23,False
2,3,0,2,27,False
3,5,0,0,29,False
1,3,0,4,39,False
4,1,0,2,36,False
2,3,0,2,33,False
3,1,0,1,33,False
0,3,0,2,39,False
2,3,0,3,24,False
2,2,0,1,21,False
1,3,0,3,28,False
2,3,0,3,30,False
0,4,0,0,28,False
0,2,1,4,18,False
2,3,0,2,26,False
2,2,0,2,31,False
1,3,0,4,32,False
1,2,0,3,41,False
1,3,0,2,31,False
2,1,0,2,26,False
1,3,0,2,31,False
1,2,0,2,36,False
2,2,0,2,28,False
2,2,1,5,33,False
1,5,1,2,28,False
1,3,0,3,25,False
1,4,0,3,33,False
2,3,0,4,32,False
1,3,0,2,25,False
2,3,0,1,28,False
1,7,0,2,25,False
1,6,0,2,22,False
1,3,0,3,27,False
1,2,0,3,52,False
1,1,0,3,28,False
1,7,0,4,37,False
1,4,1,2,26,False
1,5,0,1,24,False
0,3,0,2,23,False
1,4,0,2,23,False
1,3,0,3,23,False
2,2,0,2,21,False
1,2,0,2,24,False
1,3,0,1,28,False
1,1,0,2,29,False
1,2,0,3,20,False
1,1,0,2,24,False
2,2,0,2,23,False
1,3,0,3,24,False
1,3,0,1,22,False
2,1,1,1,23,False
1,2,0,3,24,False
3,4,0,2,24,False
1,2,0,2,25,False
1,1,0,2,26,False
2,2,0,4,22,False
1,3,0,1,24,False
1,1,0,2,27,False
1,2,0,2,20,False
1,5,0,1,20,False
1,1,1,2,21,False
1,2,0,3,22,False
1,2,0,3,30,False
1,1,0,3,33,False
1,2,0,4,28,False
2,1,0,2,29,False
1,2,0,1,19,False
0,2,0,0,22,False
1,1,0,2,27,False
1,3,0,2,33,False
1,3,0,1,36,False
0,3,0,1,100,False
0,1,0,1,40,False
0,2,0,2,49,False
0,2,0,1,35,False
1,2,0,2,28,False
1,2,0,1,23,False
1,2,0,2,19,False
1,3,0,1,19,False
1,2,0,3,24,False
1,2,0,1,19,False
1,2,0,1,22,False
0,1,0,1,20,False
1,4,2,3,24,False
1,3,1,2,25,False
0,3,0,2,27,False
0,1,1,1,16,False
1,2,0,1,22,False
1,1,0,2,24,False
1,1,0,1,29,False
1,1,0,1,19,False
1,2,0,3,19,False
1,1,0,2,21,False
1,1,1,2,21,False
2,2,0,1,19,False
1,1,1,1,17,False
1,6,0,0,19,False
0,1,0,2,17,False
0,2,0,2,14,False
1,1,0,2,15,False
1,1,0,2,14,False
1,1,0,1,15,False
1,2,0,1,12,False
1,2,0,1,16,False
2,2,0,1,20,False
1,1,0,1,17,False
1,1,0,1,14,False
2,4,0,1,18,False
1,2,0,0,16,False
0,1,1,1,17,False
1,1,1,1,17,False
1,1,0,1,17,False
1,1,0,2,19,False
1,2,0,1,16,False
2,1,0,1,17,False
2,1,0,1,15,False
1,1,0,2,17,False
1,1,0,2,15,False
1,1,0,1,15,False
1,2,0,2,21,False
1,1,0,1,15,False
1,7,0,1,19,False
1,1,0,1,18,False
1,1,0,2,16,False
2,1,1,2,16,False
1,1,0,1,17,False
0,1,0,1,17,False
1,1,0,2,25,False
1,1,0,1,50,False
1,1,0,1,21,False
1,0,0,2,13,False
2,1,0,2,12,False
1,1,0,1,18,False
1,2,0,1,31,False
2,1,0,0,26,False
0,2,0,1,19,False
0,1,0,1,16,True
