Moshe Szyf,Sō Percussion,Emtithal Mahmoud,Casey Brown,Iraola,isPartial
0,0,0,28,28,False
0,0,0,23,37,False
17,0,0,17,17,False
0,0,0,27,31,False
0,0,0,35,27,False
0,0,0,23,35,False
0,0,0,18,28,False
0,0,0,22,39,False
0,0,0,0,31,False
0,0,0,14,21,False
0,0,0,16,14,False
0,0,0,20,33,False
0,0,0,23,26,False
0,0,0,14,23,False
0,0,0,13,18,False
0,0,0,21,17,False
0,0,0,26,17,False
0,0,0,13,15,False
0,0,0,18,15,False
0,0,0,34,15,False
0,0,0,62,29,False
0,0,0,27,31,False
6,0,0,25,27,False
0,0,0,14,23,False
0,0,0,25,16,False
0,0,0,13,20,False
0,0,0,22,38,False
0,0,0,26,19,False
0,0,5,12,25,False
0,0,0,10,26,False
0,0,0,25,29,False
0,0,0,12,24,False
4,0,0,22,20,False
4,0,0,24,20,False
0,0,0,22,21,False
0,0,0,21,32,False
0,0,0,15,23,False
7,0,0,15,30,False
0,0,0,10,34,False
0,0,0,12,21,False
0,0,0,11,22,False
3,0,0,14,28,False
0,0,0,16,16,False
0,0,0,13,21,False
0,0,0,9,30,False
2,0,0,28,27,False
0,0,0,11,16,False
3,0,0,20,26,False
0,0,0,10,22,False
0,0,0,15,27,False
2,0,0,18,26,False
0,0,0,11,32,False
3,0,0,15,29,False
0,0,0,16,18,False
3,0,0,20,21,False
2,0,0,20,34,False
2,0,0,14,33,False
2,0,0,19,29,False
0,0,0,14,28,False
0,0,0,10,27,False
0,0,0,13,28,False
3,0,0,25,29,False
2,0,0,19,23,False
3,0,0,15,29,False
2,0,2,13,28,False
0,0,0,13,23,False
0,0,0,13,25,False
0,0,0,10,26,False
2,0,0,16,37,False
1,0,0,13,32,False
0,0,0,19,32,False
1,0,0,12,32,False
1,0,0,25,35,False
1,0,0,16,23,False
0,0,0,16,25,False
1,0,0,16,26,False
1,0,0,17,26,False
1,0,0,14,27,False
2,0,0,15,18,False
1,0,0,20,23,False
1,0,0,12,33,False
3,0,0,14,33,False
2,0,0,12,41,False
1,0,0,19,29,False
1,0,0,14,26,False
1,0,0,11,31,False
1,0,0,20,39,False
1,0,0,19,29,False
1,0,0,25,31,False
1,0,0,26,28,False
0,1,0,70,24,False
0,0,0,24,34,False
2,0,0,24,32,False
0,0,0,19,25,False
2,0,1,14,27,False
1,0,0,15,23,False
1,1,0,16,24,False
1,1,0,17,25,False
1,0,0,16,55,False
0,0,0,15,27,False
1,1,0,12,39,False
1,0,0,14,26,False
1,0,0,12,24,False
1,0,0,16,24,False
1,0,0,16,25,False
1,0,1,13,25,False
0,1,0,12,20,False
1,0,0,12,24,False
1,1,0,16,25,False
0,0,0,11,25,False
1,1,0,16,21,False
1,0,0,15,25,False
0,1,1,12,21,False
0,0,0,14,22,False
0,0,0,18,23,False
1,0,0,15,23,False
1,1,0,13,25,False
1,0,0,12,24,False
1,0,0,11,24,False
0,0,0,15,24,False
0,0,0,17,24,False
1,0,0,11,23,False
0,0,0,12,26,False
1,0,0,12,18,False
1,0,0,13,21,False
1,0,0,14,19,False
1,0,0,18,20,False
1,1,0,16,29,False
0,0,0,14,30,False
0,0,0,13,26,False
1,0,0,15,26,False
0,0,0,15,19,False
0,0,0,11,22,False
0,1,0,16,25,False
1,0,0,13,31,False
0,0,0,14,36,False
1,0,0,14,100,False
1,0,0,13,40,False
0,0,0,18,48,False
0,0,0,16,33,False
0,0,0,15,27,False
0,0,1,12,22,False
0,0,1,14,20,False
0,0,0,14,22,False
0,0,0,14,24,False
0,0,0,23,18,False
0,0,0,15,21,False
0,0,0,16,20,False
0,0,0,19,26,False
0,0,0,16,24,False
0,0,0,15,27,False
0,0,0,13,16,False
0,0,0,12,22,False
0,0,0,16,22,False
0,0,0,13,27,False
0,0,0,14,20,False
0,0,1,19,17,False
0,0,0,18,19,False
1,0,0,14,18,False
1,0,1,15,17,False
2,0,0,14,19,False
0,0,1,15,18,False
1,0,0,13,17,False
0,0,0,13,15,False
1,0,0,13,14,False
0,0,0,13,14,False
0,0,0,15,15,False
0,0,0,18,11,False
0,0,0,18,16,False
1,0,0,13,18,False
0,0,0,16,17,False
1,0,1,16,12,False
1,0,1,15,16,False
0,0,0,12,17,False
0,0,0,12,15,False
1,0,0,16,16,False
0,0,0,12,17,False
0,0,0,16,19,False
0,0,1,18,15,False
0,0,0,14,15,False
1,0,0,12,15,False
0,0,0,13,18,False
2,0,1,12,15,False
0,0,0,12,16,False
0,0,0,11,19,False
0,0,0,13,15,False
0,0,0,12,19,False
0,0,0,12,19,False
0,0,0,13,15,False
0,0,1,12,16,False
0,0,1,12,17,False
0,0,0,10,15,False
1,0,0,12,25,False
1,0,0,13,46,False
0,0,0,12,20,False
0,0,0,12,13,False
0,0,0,14,13,False
0,0,0,11,16,False
0,0,0,10,28,False
0,0,0,13,26,False
0,0,0,10,19,False
0,0,0,11,16,True
