Seth Priebatsch,David McCandless,Lee Hotz,Jeremy Rifkin,Iraola,isPartial
0,0,0,43,11,False
0,11,0,42,32,False
0,0,0,32,13,False
0,0,0,36,31,False
0,0,0,44,22,False
0,0,0,22,31,False
0,0,0,9,18,False
0,0,0,55,43,False
0,8,0,78,24,False
0,0,0,84,8,False
0,0,0,100,8,False
0,0,0,33,26,False
0,0,0,46,16,False
0,7,0,62,17,False
0,6,0,23,9,False
0,0,0,64,13,False
0,0,0,59,17,False
0,11,0,46,11,False
0,6,0,38,15,False
0,0,0,25,6,False
0,0,0,46,20,False
0,0,0,60,29,False
0,0,0,33,29,False
0,5,0,9,16,False
0,8,0,37,10,False
0,0,0,32,15,False
0,4,0,34,29,False
0,4,0,25,14,False
0,0,0,14,23,False
0,4,0,13,15,False
0,4,0,22,21,False
0,3,0,7,16,False
0,0,0,10,13,False
0,0,0,14,12,False
0,4,0,19,18,False
0,0,0,18,29,False
0,3,0,29,21,False
0,0,0,19,28,False
0,2,0,18,26,False
0,3,0,8,13,False
0,0,0,26,17,False
0,2,0,17,18,False
0,0,0,10,9,False
0,0,0,16,17,False
0,2,0,27,21,False
0,2,0,17,24,False
0,0,0,24,13,False
0,6,0,22,21,False
0,3,0,16,16,False
0,3,0,16,22,False
0,7,0,12,17,False
0,4,0,21,26,False
0,2,0,10,19,False
0,2,0,19,13,False
0,3,0,13,16,False
0,0,0,10,30,False
0,3,0,18,26,False
0,1,0,16,24,False
1,1,0,22,23,False
0,4,0,17,23,False
0,3,0,12,21,False
0,3,0,15,22,False
0,1,0,21,21,False
0,2,0,19,22,False
1,4,0,9,23,False
0,2,0,10,17,False
0,1,0,8,20,False
0,3,0,8,22,False
0,2,0,15,29,False
1,3,0,10,27,False
1,6,0,16,25,False
1,5,0,10,24,False
1,3,0,22,28,False
0,4,0,23,17,False
0,4,0,22,16,False
2,6,0,21,21,False
1,2,0,22,22,False
0,4,0,17,20,False
1,3,0,15,13,False
7,24,0,12,19,False
11,18,0,23,23,False
3,7,0,19,24,False
7,24,0,21,30,False
2,9,0,14,22,False
3,7,0,13,19,False
3,8,0,13,23,False
3,7,0,18,26,False
3,9,0,11,20,False
3,6,0,18,24,False
2,7,0,27,21,False
4,4,0,16,18,False
2,5,0,11,24,False
2,3,0,22,24,False
2,10,0,31,18,False
2,8,0,24,21,False
1,7,0,15,18,False
1,6,0,21,16,False
3,6,0,31,20,False
2,5,0,19,38,False
4,8,0,17,20,False
2,5,0,22,27,False
1,5,0,17,19,False
2,6,0,10,18,False
1,3,0,16,17,False
2,3,0,18,17,False
4,5,0,19,17,False
0,8,0,17,15,False
1,6,0,13,18,False
1,8,0,13,20,False
1,5,0,17,21,False
4,5,0,16,14,False
0,6,0,14,18,False
1,3,0,13,17,False
0,4,0,10,17,False
0,4,0,8,16,False
0,3,0,11,17,False
1,4,0,16,18,False
1,5,0,23,17,False
1,4,0,17,19,False
1,3,0,13,19,False
1,6,0,9,16,False
1,5,0,9,17,False
1,4,0,14,20,False
0,4,0,23,14,False
0,2,0,19,15,False
0,2,0,10,16,False
1,1,0,10,16,False
0,4,0,18,22,False
0,4,0,53,24,False
0,5,0,41,21,False
0,9,0,25,21,False
0,6,0,18,14,False
0,6,0,18,16,False
1,3,0,15,20,False
1,6,0,16,24,False
0,6,0,15,26,False
0,4,0,12,73,False
1,3,0,16,29,False
1,2,0,12,36,False
0,4,0,10,26,False
0,4,0,20,21,False
0,4,0,21,17,False
0,3,0,12,14,False
0,4,0,13,14,False
0,3,0,10,18,False
0,2,0,11,14,False
1,5,0,9,16,False
0,4,0,11,15,False
0,2,0,10,18,False
0,3,0,9,18,False
0,2,0,9,20,False
0,2,0,8,11,False
0,3,0,13,16,False
0,2,0,14,17,False
0,2,0,8,21,False
1,4,0,9,14,False
1,4,0,8,14,False
0,2,0,6,16,False
0,3,0,8,15,False
0,3,0,6,14,False
0,3,0,10,13,False
0,2,0,8,14,False
0,2,0,6,12,False
1,2,0,6,11,False
0,3,0,12,11,False
0,2,0,15,10,False
0,2,0,8,11,False
0,3,0,7,9,False
0,2,0,6,12,False
0,2,0,16,15,False
0,3,0,16,12,False
0,1,0,10,10,False
0,2,0,11,13,False
0,1,0,9,12,False
0,2,0,6,12,False
1,1,0,8,12,False
0,2,0,10,12,False
1,2,0,13,14,False
0,2,0,9,12,False
0,2,0,8,12,False
1,1,0,6,11,False
0,1,0,8,12,False
0,2,0,8,11,False
0,4,0,6,11,False
1,2,0,6,16,False
0,1,0,5,11,False
1,1,0,5,14,False
0,1,0,4,13,False
0,1,0,9,12,False
0,1,0,21,12,False
0,2,0,11,13,False
0,1,0,9,12,False
1,1,0,7,19,False
0,2,0,8,37,False
0,2,0,7,16,False
0,2,0,14,10,False
0,2,0,11,9,False
0,2,0,6,13,False
0,1,0,5,23,False
0,2,0,4,19,False
0,1,0,6,14,False
0,2,0,4,12,True
