Susan Colantuono,Gail Reed,Nancy Kanwisher,Daria van den Bercken,Iraola,isPartial
0,14,14,0,28,False
0,0,0,0,37,False
0,17,0,0,17,False
0,0,13,0,31,False
0,11,12,0,27,False
0,17,0,0,35,False
0,0,0,0,28,False
0,11,11,0,39,False
0,10,10,0,31,False
0,0,10,0,21,False
0,21,11,0,14,False
0,0,0,0,33,False
0,0,9,0,26,False
0,0,9,0,23,False
8,0,8,0,18,False
0,8,0,0,17,False
0,7,15,0,17,False
0,0,8,0,15,False
0,0,8,8,15,False
0,7,0,0,15,False
0,0,7,0,29,False
0,6,6,6,31,False
0,13,6,0,27,False
0,6,6,0,23,False
0,5,8,5,16,False
0,6,7,0,20,False
5,10,0,0,38,False
0,9,5,0,19,False
0,5,5,5,25,False
0,5,10,0,26,False
0,10,5,0,29,False
0,5,5,0,24,False
0,4,0,0,20,False
0,4,8,0,20,False
0,4,4,0,21,False
0,6,4,0,32,False
0,3,3,3,23,False
0,4,5,0,30,False
0,3,6,3,34,False
0,5,7,0,21,False
0,3,6,3,22,False
0,3,4,3,28,False
0,4,6,0,16,False
3,4,3,3,21,False
0,4,3,0,30,False
0,2,2,2,27,False
0,4,2,0,16,False
0,3,5,0,26,False
0,4,0,0,22,False
0,0,3,2,27,False
0,2,3,0,26,False
0,0,2,0,32,False
0,4,2,2,29,False
0,3,0,0,18,False
0,3,0,0,21,False
0,0,4,0,34,False
0,4,3,2,33,False
0,2,3,2,29,False
0,2,4,3,28,False
0,3,0,0,27,False
0,2,3,0,28,False
0,2,2,2,29,False
0,2,0,0,23,False
2,2,2,0,29,False
0,2,3,0,28,False
0,3,3,0,23,False
2,2,2,2,25,False
0,2,2,2,26,False
0,1,1,0,37,False
0,3,3,1,32,False
0,2,3,1,32,False
1,4,2,0,32,False
1,3,2,0,35,False
0,1,1,3,23,False
0,2,2,2,25,False
0,3,2,2,26,False
0,1,2,0,26,False
1,1,2,0,27,False
1,2,1,0,18,False
0,2,1,1,23,False
0,3,0,0,33,False
0,1,1,0,33,False
0,1,2,1,41,False
0,2,1,0,29,False
0,2,2,0,26,False
1,2,1,0,31,False
0,1,0,0,39,False
0,2,1,1,29,False
0,1,2,1,31,False
1,2,1,1,28,False
1,2,1,0,24,False
1,3,2,0,34,False
1,2,1,1,32,False
0,2,1,1,25,False
0,2,2,1,27,False
1,0,1,1,23,False
0,1,0,1,24,False
0,1,1,0,25,False
0,2,1,1,55,False
0,1,1,1,27,False
0,1,1,1,39,False
0,1,1,0,26,False
0,1,0,1,24,False
0,2,1,2,24,False
1,2,1,1,25,False
0,2,1,7,25,False
0,2,1,3,20,False
0,1,1,1,24,False
0,1,1,2,25,False
1,1,1,1,25,False
1,2,1,1,21,False
0,2,1,1,25,False
0,1,1,2,21,False
0,1,1,2,22,False
0,2,1,1,23,False
1,2,1,2,23,False
0,2,1,2,25,False
0,1,1,1,24,False
0,1,1,1,24,False
1,1,1,1,24,False
0,1,0,1,24,False
0,1,1,1,23,False
0,1,0,1,26,False
0,1,1,0,18,False
0,1,0,1,21,False
0,1,1,1,19,False
0,1,1,1,20,False
1,2,1,1,29,False
1,2,1,1,30,False
3,2,3,3,26,False
3,1,1,1,26,False
0,1,1,1,19,False
2,1,0,1,22,False
1,1,1,4,25,False
1,2,1,1,31,False
1,1,3,2,36,False
1,2,1,1,100,False
1,1,0,1,40,False
1,1,0,1,48,False
1,1,1,0,33,False
1,1,1,0,27,False
1,1,2,0,22,False
1,1,0,1,20,False
1,1,1,0,22,False
0,2,1,1,24,False
1,1,1,1,18,False
1,1,1,1,21,False
1,1,0,1,20,False
1,1,1,0,26,False
0,1,0,1,24,False
0,1,0,0,27,False
1,1,1,1,16,False
0,1,0,0,22,False
1,1,1,0,22,False
1,0,1,1,27,False
0,1,0,0,20,False
1,1,1,0,17,False
1,2,0,1,19,False
1,1,0,1,18,False
0,1,1,0,17,False
0,1,1,0,19,False
0,2,0,0,18,False
1,1,0,0,17,False
0,1,1,0,15,False
1,1,1,1,14,False
1,1,1,1,14,False
0,1,1,1,15,False
1,1,1,1,11,False
0,1,1,1,16,False
0,1,0,0,18,False
1,1,1,1,17,False
1,1,0,0,12,False
0,1,1,0,16,False
0,2,1,0,17,False
0,1,0,0,15,False
0,1,0,0,16,False
0,1,1,0,17,False
0,1,1,1,19,False
0,1,1,0,15,False
0,1,1,1,15,False
0,0,0,0,15,False
0,0,1,0,18,False
0,1,0,0,15,False
0,1,0,0,16,False
0,1,0,1,19,False
0,1,1,1,15,False
0,1,0,0,19,False
0,1,1,0,19,False
0,1,1,0,15,False
0,1,1,0,16,False
0,0,0,0,17,False
0,1,0,1,15,False
0,0,1,1,25,False
0,1,1,0,46,False
0,0,0,0,20,False
0,1,1,0,13,False
0,1,1,0,13,False
0,2,0,0,16,False
0,1,1,0,28,False
0,0,0,1,26,False
1,1,1,0,19,False
0,0,1,1,16,True
