Glenn Greenwald,Jeff Iliff,Myriam Sidibe,Jorge Soto,Iraola,isPartial
0,0,0,5,5,False
0,0,0,4,7,False
0,0,0,9,3,False
0,0,0,5,6,False
0,0,0,8,5,False
0,0,0,4,6,False
2,0,2,4,5,False
0,2,0,5,7,False
0,0,0,5,6,False
0,0,0,5,4,False
0,0,0,5,3,False
0,0,0,8,6,False
0,0,0,6,5,False
0,0,0,6,4,False
2,0,0,3,3,False
0,0,0,5,3,False
1,0,0,3,3,False
0,0,0,2,3,False
0,0,0,4,3,False
1,0,0,2,3,False
0,0,0,10,5,False
0,0,0,6,6,False
0,0,0,3,5,False
2,0,1,3,4,False
2,0,0,3,3,False
6,0,1,4,4,False
7,0,0,2,7,False
8,0,0,3,3,False
9,0,1,6,5,False
8,0,0,4,5,False
15,0,0,5,5,False
8,0,0,3,4,False
10,0,0,2,4,False
11,0,0,3,4,False
9,0,0,3,4,False
8,0,0,4,6,False
8,0,0,3,4,False
8,0,0,3,6,False
6,0,0,4,6,False
4,0,0,3,4,False
4,0,0,4,4,False
8,0,0,3,5,False
8,0,0,2,3,False
10,0,0,3,4,False
4,0,0,2,6,False
8,0,0,4,5,False
6,0,0,4,3,False
7,0,0,3,5,False
10,0,0,5,4,False
6,0,0,4,5,False
6,0,0,3,5,False
9,0,0,3,6,False
6,0,0,4,5,False
9,0,0,3,3,False
7,0,0,3,4,False
8,0,0,3,6,False
9,0,0,4,6,False
9,0,0,4,5,False
5,0,0,4,5,False
8,0,0,2,5,False
7,0,0,4,5,False
8,0,0,3,5,False
6,0,0,3,4,False
15,0,0,4,5,False
12,0,0,4,5,False
7,0,0,4,4,False
8,0,0,4,5,False
10,0,0,4,5,False
10,0,0,4,7,False
9,0,0,3,6,False
8,0,0,5,6,False
8,0,0,4,6,False
8,0,0,4,6,False
6,0,0,3,4,False
7,0,0,4,5,False
8,0,0,3,5,False
8,0,0,5,5,False
11,0,0,4,5,False
10,0,0,4,3,False
11,0,0,3,4,False
10,0,0,3,6,False
7,0,0,3,6,False
11,0,0,3,7,False
20,0,0,3,5,False
10,0,0,4,5,False
13,0,0,5,6,False
11,0,0,3,7,False
10,0,0,3,5,False
12,0,0,4,6,False
8,0,0,5,5,False
8,0,0,3,4,False
10,0,0,4,6,False
7,0,0,4,6,False
12,0,0,3,5,False
10,0,0,4,5,False
10,0,0,3,4,False
10,0,0,3,4,False
8,0,0,4,5,False
9,0,0,3,10,False
7,0,0,3,5,False
8,0,0,4,7,False
8,0,0,4,5,False
8,0,0,5,4,False
11,0,0,4,4,False
14,0,0,3,5,False
13,0,0,3,5,False
13,0,0,4,4,False
12,0,0,3,4,False
10,0,0,3,5,False
11,0,0,4,5,False
9,0,0,4,4,False
15,0,0,4,5,False
19,0,0,3,4,False
59,0,0,4,4,False
32,0,0,3,4,False
60,0,0,3,4,False
16,0,0,3,5,False
25,0,0,4,4,False
15,0,0,3,4,False
17,0,0,3,5,False
16,0,0,3,4,False
14,0,0,3,4,False
11,0,0,2,5,False
10,0,0,3,3,False
29,0,0,3,4,False
16,0,0,3,4,False
17,0,0,3,4,False
13,0,0,4,5,False
12,0,0,3,6,False
14,0,0,4,5,False
10,0,0,4,5,False
8,0,0,2,4,False
11,0,0,4,4,False
17,0,0,4,5,False
13,0,0,3,6,False
10,0,0,3,7,False
7,0,0,3,18,False
7,0,0,3,7,False
7,0,0,3,9,False
7,0,0,3,6,False
7,0,0,3,5,False
9,0,0,3,4,False
10,0,0,4,4,False
8,0,0,4,4,False
6,0,0,3,4,False
7,0,0,3,3,False
9,0,0,3,4,False
14,0,0,3,4,False
9,0,0,3,5,False
9,0,0,3,5,False
9,0,0,3,5,False
8,0,0,3,3,False
7,0,0,2,4,False
10,0,0,2,4,False
15,0,0,2,5,False
12,0,0,2,4,False
21,0,0,3,3,False
12,0,0,2,3,False
13,0,0,2,3,False
9,0,0,2,3,False
10,0,0,2,4,False
8,0,0,2,3,False
7,0,0,2,3,False
6,0,0,3,3,False
6,0,0,2,2,False
7,0,0,2,3,False
6,0,0,2,3,False
7,0,0,2,2,False
7,0,0,2,3,False
8,0,0,2,3,False
7,0,0,2,3,False
8,0,0,2,2,False
7,0,0,2,3,False
6,0,0,2,3,False
8,0,0,2,3,False
9,0,0,2,3,False
8,0,0,2,3,False
8,0,0,2,3,False
6,0,0,2,3,False
5,0,0,1,3,False
14,0,0,2,3,False
11,0,0,2,3,False
14,0,0,2,3,False
14,0,0,2,3,False
7,0,0,2,3,False
100,0,0,2,3,False
79,0,0,2,3,False
21,0,0,2,3,False
23,0,0,2,3,False
11,0,0,2,3,False
36,0,0,2,3,False
9,0,0,1,3,False
20,0,0,2,5,False
10,0,0,2,9,False
10,0,0,2,4,False
10,0,0,3,2,False
9,0,0,2,2,False
9,0,0,2,3,False
8,0,0,2,5,False
7,0,0,2,5,False
8,0,0,2,3,False
9,0,0,2,3,True
