Dan Dennett,Rick Warren,Cameron Sinclair,Jehane Noujaim,Iraola,isPartial
0,14,1,1,1,False
0,13,1,0,2,False
1,11,0,0,1,False
1,10,1,2,1,False
1,13,0,2,1,False
1,9,0,2,1,False
1,6,1,2,1,False
0,9,0,1,2,False
1,11,0,1,1,False
0,13,1,1,1,False
0,11,1,2,1,False
0,9,1,0,1,False
0,13,0,1,1,False
0,13,1,0,1,False
0,24,0,0,1,False
0,14,0,0,1,False
0,12,1,0,1,False
0,11,0,0,1,False
0,11,0,0,1,False
0,11,0,0,1,False
0,12,0,0,1,False
0,12,0,0,1,False
1,12,1,0,1,False
0,12,0,0,1,False
0,11,1,1,1,False
0,13,0,0,1,False
0,8,1,0,2,False
0,10,1,0,1,False
0,8,0,0,2,False
0,10,1,0,2,False
0,13,0,0,2,False
0,13,0,0,1,False
0,12,1,0,1,False
0,11,0,0,1,False
1,14,0,0,1,False
0,17,0,0,1,False
0,11,1,0,1,False
0,10,1,0,1,False
0,8,1,0,1,False
0,9,0,0,1,False
0,9,0,0,1,False
0,8,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,8,0,0,1,False
0,8,0,0,1,False
0,8,0,0,1,False
0,8,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,9,0,0,1,False
0,57,0,0,2,False
0,14,0,0,2,False
0,11,0,0,1,False
0,9,0,0,2,False
0,60,0,0,1,False
0,58,0,0,1,False
0,12,0,0,1,False
0,9,0,0,1,False
0,18,0,0,2,False
0,7,0,0,1,False
0,6,0,0,1,False
0,8,5,0,1,False
0,7,1,0,2,False
0,8,1,0,2,False
0,7,1,0,1,False
0,7,0,0,2,False
1,10,0,0,2,False
0,12,0,0,2,False
0,6,0,0,1,False
0,7,0,0,1,False
1,8,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,11,1,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,2,False
0,6,0,0,2,False
0,6,0,0,2,False
0,7,0,0,1,False
0,7,0,0,2,False
0,7,0,0,2,False
0,6,0,0,2,False
0,6,0,0,2,False
0,10,0,0,2,False
0,10,0,0,1,False
0,9,0,0,2,False
0,7,0,0,2,False
0,6,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,8,0,0,2,False
0,9,0,0,2,False
0,8,0,0,1,False
0,6,0,0,2,False
0,6,0,0,1,False
0,6,0,0,1,False
0,9,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,11,0,0,1,False
0,10,0,0,1,False
0,9,0,0,1,False
0,10,0,0,1,False
0,100,0,0,1,False
0,9,0,0,1,False
0,8,0,0,1,False
0,12,0,0,1,False
0,9,0,0,1,False
0,18,0,0,1,False
0,9,0,0,1,False
0,8,0,0,1,False
0,15,0,1,1,False
0,9,0,1,1,False
0,9,0,0,1,False
0,9,0,0,1,False
0,8,0,0,1,False
0,8,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,8,0,0,2,False
0,7,0,0,2,False
0,7,0,0,1,False
0,8,0,0,1,False
0,8,0,0,1,False
0,9,0,0,1,False
0,8,0,0,1,False
0,7,0,0,2,False
0,8,0,0,2,False
0,7,0,0,5,False
0,8,0,0,2,False
0,8,0,0,2,False
0,8,0,0,2,False
0,8,0,0,1,False
0,8,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,8,0,0,1,False
0,8,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,8,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,9,0,0,1,False
0,7,0,0,1,False
0,8,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,8,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,8,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,8,0,0,1,False
0,7,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,7,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,5,0,0,1,False
0,6,0,0,1,False
0,6,0,0,2,False
0,7,0,0,1,False
0,8,0,0,1,False
0,6,0,0,1,False
0,6,0,0,1,False
0,6,0,0,2,False
0,6,0,0,1,False
0,6,0,0,1,False
0,5,0,0,1,True
