Ben Goldacre,Danielle de Niese,Yang Lan,Christoph Adami,Iraola,isPartial
7,0,7,0,14,False
0,7,21,7,19,False
0,9,13,0,9,False
0,7,13,0,16,False
0,6,6,6,13,False
0,0,15,0,17,False
6,0,6,0,14,False
6,0,14,0,20,False
0,10,26,0,15,False
10,5,11,0,11,False
5,0,5,5,7,False
5,0,8,0,16,False
4,0,4,9,13,False
7,4,6,0,11,False
4,4,4,0,9,False
4,0,4,0,8,False
7,4,4,0,9,False
4,0,4,4,8,False
4,0,8,0,8,False
7,7,6,0,7,False
10,0,8,0,14,False
3,3,6,0,16,False
5,3,3,0,14,False
4,3,5,3,11,False
6,5,5,0,8,False
6,0,7,0,10,False
6,2,6,2,19,False
4,3,6,3,9,False
2,5,7,0,12,False
2,4,7,0,13,False
6,2,2,0,15,False
5,3,2,2,12,False
4,4,4,2,10,False
3,2,2,0,10,False
5,3,4,2,10,False
4,5,2,0,16,False
6,3,4,0,12,False
9,2,2,0,15,False
5,3,4,0,17,False
8,4,3,0,11,False
3,3,4,0,11,False
5,2,1,0,14,False
5,4,3,0,8,False
6,8,9,0,11,False
7,7,5,0,15,False
3,19,2,1,13,False
7,7,4,0,8,False
5,8,3,0,13,False
5,9,5,0,11,False
6,7,6,0,13,False
3,6,6,0,13,False
3,7,8,0,16,False
5,9,5,0,15,False
3,7,5,0,9,False
4,6,6,0,10,False
6,6,6,0,17,False
8,4,5,0,17,False
6,5,5,0,14,False
7,4,3,1,14,False
8,6,6,0,13,False
16,6,5,0,14,False
15,6,4,0,14,False
11,4,11,0,11,False
14,7,7,0,15,False
14,10,8,0,14,False
14,6,8,0,11,False
11,5,8,1,12,False
11,19,9,0,13,False
17,12,7,0,19,False
14,7,7,0,16,False
12,5,9,0,16,False
14,4,8,1,16,False
16,8,8,0,17,False
14,6,7,0,12,False
14,4,5,0,12,False
12,4,9,1,13,False
11,12,9,1,13,False
9,6,6,1,13,False
16,10,11,0,9,False
11,5,11,0,11,False
12,4,6,0,16,False
11,4,14,0,17,False
15,3,11,0,20,False
12,6,10,0,14,False
14,4,8,0,13,False
11,7,8,0,16,False
10,4,8,0,19,False
10,4,8,0,15,False
11,7,8,0,16,False
10,5,8,0,14,False
10,6,8,0,12,False
11,9,6,0,17,False
12,3,8,0,16,False
14,4,19,2,12,False
38,3,12,0,13,False
11,3,11,1,12,False
20,13,10,0,12,False
12,5,9,0,13,False
9,3,12,0,27,False
8,4,10,0,14,False
9,11,9,0,20,False
9,6,7,0,13,False
8,3,9,0,12,False
12,4,9,0,12,False
22,4,16,0,13,False
19,3,14,0,12,False
17,4,13,0,10,False
15,2,12,0,12,False
15,2,13,0,12,False
19,2,10,0,12,False
13,3,13,0,11,False
13,4,12,0,12,False
10,2,11,0,11,False
10,3,11,0,11,False
9,3,9,0,12,False
10,2,11,0,12,False
9,2,16,0,13,False
9,4,17,0,12,False
9,2,16,0,12,False
8,2,17,0,12,False
13,3,11,0,12,False
8,2,11,0,12,False
9,3,11,0,13,False
9,6,12,0,9,False
7,3,11,0,11,False
7,2,11,0,10,False
5,3,8,0,10,False
7,2,13,1,15,False
6,2,21,0,15,False
7,6,21,0,13,False
8,2,19,0,13,False
10,2,20,0,10,False
12,3,12,0,11,False
10,1,12,0,13,False
8,1,17,0,15,False
5,2,12,0,18,False
5,2,11,0,50,False
5,1,11,0,20,False
5,2,7,0,24,False
9,3,14,0,16,False
6,19,17,0,14,False
5,2,24,0,11,False
6,2,20,0,10,False
6,2,18,0,11,False
7,2,11,0,12,False
5,1,12,0,9,False
3,1,15,0,11,False
5,2,12,0,10,False
4,2,14,0,13,False
6,2,9,0,12,False
4,3,7,0,13,False
4,1,20,0,8,False
6,1,23,0,11,False
5,2,21,0,11,False
4,1,22,0,14,False
4,5,20,0,10,False
4,2,12,0,9,False
4,1,14,0,9,False
4,1,16,0,9,False
4,1,12,0,9,False
4,1,11,0,10,False
3,1,9,0,9,False
4,2,10,0,8,False
4,1,17,0,7,False
3,1,21,0,7,False
3,2,22,0,7,False
4,3,22,0,8,False
4,1,19,0,6,False
3,2,13,0,8,False
4,1,15,0,9,False
4,1,19,0,9,False
4,1,15,0,6,False
2,1,13,0,8,False
2,3,7,0,8,False
3,3,9,0,7,False
3,1,15,0,8,False
3,10,21,0,8,False
2,2,22,0,9,False
4,1,23,0,7,False
2,1,26,0,8,False
3,1,16,0,8,False
2,2,17,0,9,False
3,1,21,0,8,False
2,5,14,0,8,False
2,2,16,0,9,False
3,2,7,0,8,False
2,2,9,0,9,False
1,3,17,0,9,False
3,1,23,0,7,False
3,2,19,0,8,False
2,1,24,0,8,False
2,1,19,0,7,False
2,1,15,0,12,False
2,1,20,0,23,False
3,1,40,0,10,False
3,1,49,0,6,False
3,1,28,0,6,False
2,2,55,0,8,False
3,1,22,0,14,False
2,3,55,0,13,False
2,3,100,0,9,False
1,1,80,0,8,True
