Sue Klebold,Nagin Cox,Maurice Conti,Thordis Elva and Tom Stranger,Iraola,isPartial
0,0,0,0,24,False
12,0,0,0,32,False
0,0,0,0,15,False
0,0,0,0,27,False
0,0,0,0,23,False
0,0,0,0,30,False
0,0,0,0,24,False
0,0,0,0,34,False
0,0,0,0,27,False
0,0,0,0,18,False
0,0,0,0,12,False
0,0,0,0,28,False
0,0,0,0,22,False
8,0,0,0,19,False
0,0,0,0,15,False
0,0,7,0,15,False
6,0,0,0,15,False
0,0,0,0,13,False
0,7,0,0,13,False
0,0,0,0,13,False
0,9,6,0,25,False
0,0,5,0,27,False
5,5,5,0,23,False
0,0,0,0,19,False
0,0,0,0,14,False
0,5,0,0,18,False
0,4,0,0,33,False
0,4,0,0,16,False
0,0,4,0,21,False
0,0,0,0,23,False
0,0,0,0,25,False
0,0,0,0,21,False
0,0,0,0,18,False
0,0,0,0,17,False
0,0,0,0,18,False
0,0,0,0,28,False
6,0,0,0,20,False
3,0,0,0,26,False
0,0,0,0,29,False
4,0,0,0,18,False
0,0,0,0,19,False
0,0,0,0,24,False
0,0,0,0,13,False
2,0,0,0,18,False
0,0,0,0,26,False
0,0,0,0,23,False
2,0,0,0,14,False
4,0,0,0,23,False
0,0,0,0,19,False
0,0,0,0,23,False
0,0,0,0,23,False
2,0,0,0,27,False
0,0,0,0,25,False
0,2,0,0,15,False
0,0,0,0,18,False
0,2,2,0,29,False
0,0,0,0,29,False
0,0,0,0,25,False
2,0,0,0,24,False
0,0,2,0,23,False
0,0,1,0,24,False
1,0,0,0,25,False
1,1,1,0,20,False
1,0,0,0,25,False
2,0,0,0,24,False
1,0,0,0,20,False
1,0,3,0,21,False
1,0,3,0,23,False
0,0,1,0,32,False
4,1,1,0,27,False
2,0,0,0,27,False
1,0,0,0,27,False
1,0,1,0,30,False
1,0,1,0,20,False
0,0,0,0,21,False
1,1,1,0,22,False
1,0,0,0,22,False
0,0,0,0,23,False
1,0,1,0,15,False
1,1,0,0,20,False
1,0,1,0,28,False
0,0,1,0,29,False
2,0,0,0,35,False
1,0,0,0,25,False
0,0,0,0,22,False
1,0,0,0,27,False
1,1,1,0,33,False
1,0,2,0,25,False
1,0,1,0,27,False
0,0,1,0,24,False
0,0,1,0,20,False
1,0,1,0,29,False
1,0,1,0,28,False
1,0,1,0,21,False
1,0,1,0,23,False
1,0,1,0,20,False
0,0,2,0,21,False
1,1,1,0,22,False
1,0,1,0,47,False
0,0,1,0,23,False
1,1,1,0,34,False
1,0,1,0,22,False
1,0,1,0,21,False
1,1,1,0,20,False
0,0,1,0,22,False
0,0,1,0,21,False
4,1,1,0,17,False
1,0,1,0,21,False
1,0,1,0,21,False
1,0,1,0,21,False
1,0,0,0,18,False
1,1,0,0,21,False
0,0,1,0,18,False
0,0,0,0,19,False
0,1,1,0,20,False
1,0,0,0,20,False
1,0,0,0,22,False
1,0,0,0,21,False
0,0,1,0,21,False
1,0,1,0,21,False
0,1,0,0,21,False
1,1,1,0,20,False
0,0,1,0,22,False
0,0,1,0,16,False
0,1,0,0,18,False
1,1,1,0,17,False
0,1,0,0,18,False
0,1,0,0,25,False
2,1,0,0,26,False
1,1,1,0,23,False
0,0,0,0,22,False
0,0,0,0,17,False
0,0,0,0,19,False
1,0,0,0,22,False
1,0,0,0,27,False
0,0,0,0,31,False
1,0,0,0,86,False
1,0,0,0,34,False
2,0,1,0,41,False
1,0,0,0,28,False
1,0,0,0,23,False
1,0,0,0,19,False
0,0,0,0,18,False
1,0,0,0,19,False
1,0,0,0,21,False
100,0,1,0,15,False
12,0,0,0,18,False
9,1,0,0,18,False
7,0,1,0,22,False
6,0,0,0,21,False
4,0,0,0,23,False
4,0,0,0,14,False
6,0,0,0,19,False
3,0,0,0,19,False
3,0,0,0,23,False
3,1,1,0,17,False
5,0,0,0,15,False
10,1,3,6,16,False
10,0,5,8,15,False
8,0,3,2,15,False
5,0,2,1,17,False
4,0,2,1,15,False
4,0,2,1,14,False
3,0,1,1,13,False
5,0,2,1,12,False
3,0,2,1,12,False
2,0,1,0,13,False
3,0,1,1,10,False
4,0,1,0,13,False
13,0,1,0,16,False
7,0,1,1,15,False
5,0,1,0,11,False
5,1,1,0,14,False
7,0,1,0,14,False
5,0,1,0,13,False
5,0,1,0,14,False
5,0,1,1,15,False
4,0,1,0,16,False
7,0,1,0,13,False
3,0,0,1,13,False
6,0,1,0,13,False
8,0,1,0,16,False
5,0,1,0,13,False
10,0,0,0,14,False
7,1,0,0,16,False
4,0,0,0,13,False
4,0,0,1,16,False
6,0,1,0,16,False
4,0,1,0,13,False
3,0,1,0,14,False
3,0,0,0,15,False
2,0,1,0,13,False
2,0,0,0,21,False
3,0,1,1,40,False
3,0,0,0,17,False
3,0,0,0,11,False
2,0,1,0,11,False
3,0,1,1,13,False
3,0,0,0,24,False
3,0,1,1,22,False
2,0,1,0,16,False
2,0,1,0,14,True
