Triona McGrath,Garry Kasparov,Marlon Peterson,Raj Panjabi,Iraola,isPartial
0,56,0,14,28,False
0,74,0,0,37,False
0,63,0,0,17,False
0,40,0,0,31,False
0,35,0,0,27,False
0,35,0,0,35,False
0,30,12,0,28,False
0,71,0,0,39,False
0,48,0,0,31,False
0,25,0,0,21,False
0,42,0,0,14,False
10,69,0,0,33,False
0,32,0,9,26,False
0,24,0,0,23,False
0,63,0,8,18,False
0,77,0,9,17,False
0,50,0,0,17,False
0,30,0,7,15,False
0,23,8,0,15,False
0,32,0,0,15,False
0,29,0,0,29,False
0,34,0,0,31,False
0,33,6,6,27,False
0,29,0,6,23,False
0,38,5,0,16,False
0,26,6,6,20,False
5,32,0,0,38,False
0,31,0,0,19,False
0,28,0,5,25,False
0,26,0,5,26,False
0,23,0,0,29,False
0,23,0,0,24,False
4,20,0,0,20,False
0,36,0,4,20,False
0,19,0,4,21,False
0,21,0,0,32,False
0,19,0,0,23,False
0,22,0,0,30,False
0,30,0,3,34,False
3,84,0,0,21,False
0,36,0,0,22,False
0,27,3,0,28,False
0,27,0,3,16,False
0,28,0,3,21,False
0,34,0,0,30,False
0,67,0,2,27,False
0,71,0,2,16,False
0,59,0,3,26,False
0,37,0,2,22,False
0,25,0,0,27,False
0,24,0,2,26,False
0,22,0,5,32,False
2,44,0,0,29,False
0,24,0,0,18,False
0,23,0,2,21,False
0,19,0,2,34,False
0,17,2,0,33,False
0,23,2,2,29,False
0,24,2,2,28,False
0,23,0,2,27,False
0,18,0,3,28,False
0,23,0,2,29,False
0,23,0,3,23,False
0,31,2,0,29,False
0,28,2,2,28,False
0,20,2,2,23,False
0,19,0,2,25,False
2,15,3,3,26,False
0,38,1,2,37,False
0,30,1,1,32,False
0,31,0,3,32,False
1,30,0,0,32,False
0,26,2,2,35,False
0,32,0,1,23,False
1,27,0,0,25,False
0,26,0,4,26,False
0,31,5,1,26,False
0,21,1,1,27,False
1,22,1,1,18,False
0,27,0,8,23,False
0,30,0,3,33,False
0,23,1,4,33,False
0,24,0,6,41,False
0,34,0,5,29,False
0,30,1,7,26,False
0,42,0,5,31,False
1,23,2,6,39,False
0,27,0,2,29,False
1,29,0,2,31,False
0,27,0,2,28,False
0,24,1,2,24,False
0,30,0,3,34,False
0,40,0,4,32,False
0,33,0,3,25,False
0,34,0,3,27,False
0,38,1,2,23,False
0,27,0,2,24,False
0,30,1,2,25,False
0,36,1,3,55,False
1,35,1,2,27,False
0,41,1,1,39,False
0,43,1,1,26,False
0,31,1,2,24,False
0,78,0,4,24,False
0,38,2,2,25,False
0,29,0,1,25,False
0,40,1,1,20,False
0,37,0,2,24,False
0,31,2,2,25,False
0,27,0,2,25,False
0,34,1,2,21,False
0,31,1,2,25,False
0,28,1,2,21,False
0,39,0,3,22,False
0,39,1,1,23,False
0,30,1,2,23,False
0,35,1,2,25,False
0,28,1,2,24,False
0,77,0,3,24,False
0,31,1,2,24,False
0,38,0,2,24,False
0,42,1,2,23,False
0,53,0,2,26,False
0,34,1,1,18,False
0,33,0,2,21,False
0,25,0,3,19,False
0,25,1,3,20,False
0,40,1,3,29,False
0,33,0,2,30,False
0,38,1,3,26,False
0,37,1,4,26,False
0,35,1,3,19,False
0,32,0,4,22,False
0,39,9,3,25,False
0,44,2,3,31,False
0,37,0,2,36,False
0,48,0,3,100,False
0,31,1,4,40,False
0,35,1,4,48,False
0,26,1,3,33,False
0,33,3,3,27,False
0,40,1,3,22,False
0,42,1,3,20,False
0,36,0,4,22,False
0,35,1,5,24,False
0,37,1,3,18,False
0,56,1,3,21,False
0,34,1,7,20,False
0,32,0,6,26,False
0,27,0,6,24,False
0,23,0,5,27,False
0,27,1,5,16,False
0,32,0,5,22,False
0,37,0,6,22,False
0,38,1,5,27,False
0,42,0,9,20,False
0,43,0,8,17,False
0,37,1,8,19,False
0,41,1,8,18,False
0,35,1,10,17,False
1,40,1,9,19,False
1,37,1,9,18,False
0,46,1,10,17,False
1,54,1,7,15,False
1,35,1,5,14,False
1,33,3,4,14,False
0,35,1,5,15,False
0,45,1,6,11,False
0,40,1,6,16,False
0,37,1,6,18,False
0,48,1,5,17,False
0,36,0,6,12,False
0,33,0,6,16,False
0,27,1,6,17,False
0,28,1,3,15,False
0,29,3,4,16,False
0,32,2,4,17,False
0,28,3,4,19,False
0,54,1,1,15,False
0,38,2,2,15,False
0,27,0,2,15,False
0,28,0,2,18,False
0,29,1,1,15,False
0,27,1,2,16,False
0,26,0,2,19,False
0,27,1,1,15,False
0,43,1,2,19,False
0,33,1,1,19,False
0,29,2,1,15,False
0,27,2,2,16,False
0,34,1,1,17,False
0,39,2,1,15,False
0,28,0,1,25,False
0,32,1,1,46,False
0,32,1,0,20,False
0,42,0,1,13,False
0,43,1,1,13,False
0,39,1,1,16,False
0,41,2,1,28,False
0,36,1,1,26,False
0,39,1,1,19,False
0,43,1,1,16,True
