Siddhartha Mukherjee,Neri Oxman,Sandrine Thuret,Teitur,Iraola,isPartial
0,0,0,7,1,False
0,0,0,13,3,False
0,0,0,7,1,False
0,0,0,11,3,False
0,0,0,8,2,False
0,0,0,8,3,False
0,0,0,13,2,False
0,0,0,9,4,False
0,0,0,9,2,False
0,0,0,6,1,False
1,0,0,8,1,False
0,0,0,6,3,False
0,0,0,4,2,False
0,0,0,6,2,False
0,0,0,10,1,False
0,1,0,9,1,False
1,0,0,8,2,False
0,1,0,4,1,False
0,0,0,5,1,False
0,0,0,3,1,False
0,0,0,5,2,False
0,0,0,5,3,False
0,0,0,6,3,False
0,0,0,4,2,False
0,0,0,4,1,False
0,0,0,3,1,False
0,0,0,4,3,False
0,0,0,4,1,False
0,0,0,6,2,False
0,0,0,8,2,False
0,0,0,5,2,False
0,0,0,6,2,False
0,0,0,7,1,False
0,0,0,7,1,False
0,0,0,8,2,False
0,0,0,5,3,False
0,0,0,6,2,False
0,0,0,6,3,False
0,0,0,4,3,False
0,0,0,4,1,False
0,0,0,3,2,False
0,0,0,3,2,False
0,0,0,4,1,False
0,0,0,3,2,False
0,0,0,2,2,False
0,0,0,2,2,False
0,0,0,3,1,False
0,0,0,3,2,False
0,0,0,4,2,False
0,0,0,6,2,False
0,0,0,7,2,False
0,1,0,5,3,False
0,0,0,3,2,False
0,0,0,3,1,False
0,1,0,3,2,False
0,0,0,3,3,False
0,0,0,4,3,False
0,0,0,4,2,False
0,0,0,4,2,False
0,0,0,4,2,False
0,0,0,3,2,False
0,0,0,4,2,False
0,0,0,3,2,False
0,0,0,2,2,False
0,1,0,2,2,False
0,1,0,2,2,False
0,0,0,2,2,False
0,0,0,2,2,False
0,0,0,2,3,False
0,0,0,2,3,False
0,1,0,2,2,False
0,0,0,1,2,False
0,0,0,2,3,False
0,0,0,1,2,False
0,0,0,2,2,False
0,0,0,1,2,False
0,1,0,2,2,False
0,0,0,1,2,False
0,0,0,1,1,False
0,0,0,1,2,False
0,0,0,2,2,False
0,0,0,3,2,False
1,0,0,2,3,False
1,0,0,2,2,False
1,0,0,2,2,False
1,0,0,3,2,False
0,0,0,1,3,False
3,0,0,2,2,False
1,0,0,2,2,False
1,0,0,2,2,False
1,0,0,1,2,False
1,0,0,1,2,False
1,1,0,1,2,False
1,0,0,1,2,False
1,0,0,1,2,False
1,0,0,1,2,False
1,0,0,2,2,False
1,0,0,1,2,False
1,0,0,1,4,False
1,0,0,1,2,False
1,0,0,1,3,False
0,1,0,1,2,False
0,1,0,1,2,False
0,0,0,1,2,False
0,0,0,1,2,False
0,0,0,1,2,False
0,0,0,1,2,False
0,1,0,1,2,False
0,1,0,1,2,False
0,0,0,1,2,False
0,0,0,1,1,False
0,1,0,1,2,False
0,0,0,1,2,False
0,1,0,1,2,False
0,0,0,1,2,False
0,1,0,0,2,False
0,0,0,1,2,False
0,1,0,1,2,False
0,0,0,1,2,False
0,1,0,1,2,False
0,0,0,1,2,False
0,0,0,1,2,False
0,0,0,1,2,False
0,1,0,0,1,False
0,0,0,1,1,False
0,0,0,1,2,False
0,0,0,1,2,False
0,0,0,1,2,False
0,0,0,1,2,False
0,1,0,1,2,False
0,0,0,1,2,False
0,0,0,1,1,False
0,0,0,1,2,False
0,0,0,0,2,False
1,0,0,1,2,False
1,0,0,1,3,False
0,0,0,1,7,False
0,0,0,0,3,False
0,0,0,0,4,False
0,0,0,0,3,False
0,0,0,0,2,False
1,2,1,0,2,False
0,1,0,1,1,False
0,0,0,0,1,False
0,1,0,0,2,False
0,1,0,1,1,False
1,1,0,0,2,False
1,0,0,0,1,False
2,1,0,0,2,False
1,0,0,1,2,False
2,1,0,0,2,False
1,0,0,0,1,False
1,0,0,0,2,False
1,0,0,1,2,False
1,0,0,0,2,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,2,False
1,1,0,0,2,False
1,0,0,0,1,False
1,1,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,0,0,0,1,False
1,1,0,0,1,False
1,0,0,0,1,False
1,100,0,0,1,False
1,21,0,0,1,False
1,12,0,0,1,False
1,3,0,0,1,False
1,5,0,0,1,False
1,3,0,0,1,False
1,4,0,0,1,False
1,2,0,0,1,False
1,1,0,0,1,False
1,3,0,0,1,False
1,1,0,0,1,False
0,1,0,1,1,False
1,1,0,1,1,False
0,1,0,0,2,False
1,1,0,0,1,False
1,1,0,1,1,False
1,1,0,1,1,False
1,4,0,3,1,False
1,7,0,1,1,False
0,3,0,0,1,False
0,2,0,0,1,False
1,3,0,1,2,False
1,2,0,0,4,False
1,3,0,1,2,False
2,2,0,1,1,False
1,2,0,1,1,False
1,2,0,0,1,False
1,2,0,1,2,False
1,1,0,0,2,False
0,1,0,2,1,False
1,2,0,1,1,True
