Nellie McKay,Sxip Shirey + Rachelle Garniez,Peter Diamandis,Rick Smolan,Iraola,isPartial
7,0,4,0,5,False
70,5,0,0,11,False
100,4,0,0,7,False
61,3,0,3,7,False
47,0,0,3,7,False
56,0,5,0,6,False
52,0,3,0,6,False
59,3,0,0,11,False
34,0,4,0,6,False
32,3,7,0,5,False
45,0,3,0,3,False
43,0,0,2,4,False
46,0,2,0,5,False
25,2,2,0,7,False
24,3,2,0,5,False
11,0,0,4,6,False
13,2,2,0,4,False
18,0,0,0,6,False
14,0,2,4,6,False
19,0,0,0,4,False
18,0,0,0,7,False
13,2,5,0,6,False
20,2,3,0,5,False
42,2,2,2,6,False
65,1,1,3,4,False
31,1,2,1,5,False
19,4,1,0,8,False
21,0,1,0,5,False
25,0,1,0,8,False
26,1,3,0,8,False
20,1,1,1,8,False
16,0,1,1,5,False
18,0,4,0,6,False
24,0,1,0,5,False
28,1,0,1,6,False
19,1,1,1,6,False
23,1,1,0,5,False
12,1,1,0,6,False
12,1,1,0,6,False
13,1,2,0,6,False
9,0,1,1,7,False
6,1,1,0,6,False
10,1,1,0,6,False
10,1,1,0,6,False
17,0,1,3,7,False
20,1,2,0,5,False
26,1,1,0,6,False
21,1,0,1,6,False
30,1,1,0,5,False
15,1,1,0,5,False
13,1,1,1,6,False
17,1,1,1,6,False
15,1,1,1,7,False
10,1,2,0,4,False
14,1,1,1,4,False
13,0,1,1,8,False
9,0,1,0,8,False
9,0,1,0,7,False
7,0,0,0,8,False
11,0,1,0,7,False
13,1,1,0,6,False
8,1,1,1,6,False
8,1,1,1,6,False
8,1,1,1,8,False
8,1,1,1,7,False
7,1,1,1,7,False
6,2,1,2,7,False
8,1,0,0,8,False
7,1,1,0,9,False
16,0,1,1,7,False
12,1,1,1,9,False
23,1,0,1,8,False
10,1,1,1,8,False
10,0,1,1,5,False
8,0,1,0,7,False
9,1,1,1,6,False
7,2,1,0,6,False
7,2,1,0,7,False
7,1,1,0,5,False
7,1,0,0,6,False
9,1,1,0,6,False
10,1,0,1,8,False
7,0,0,1,10,False
11,1,1,0,8,False
10,1,0,0,7,False
7,0,1,0,10,False
5,0,0,0,10,False
6,0,0,0,8,False
5,0,1,0,9,False
5,0,1,0,8,False
5,1,1,1,6,False
5,1,0,0,9,False
7,1,1,0,8,False
6,1,1,0,7,False
5,0,0,1,6,False
4,0,0,1,6,False
4,0,1,1,7,False
5,0,2,0,8,False
4,1,8,1,12,False
4,1,6,0,7,False
4,1,3,0,12,False
4,0,2,0,5,False
4,0,2,0,6,False
3,0,2,0,6,False
3,0,2,1,6,False
4,1,2,0,5,False
3,1,2,0,6,False
3,0,2,0,6,False
3,1,2,0,6,False
3,0,1,0,6,False
4,0,2,1,5,False
3,1,3,1,5,False
3,0,2,0,5,False
3,0,3,0,5,False
3,0,2,0,5,False
3,0,2,0,6,False
3,0,2,0,6,False
3,0,2,0,6,False
3,0,3,0,6,False
6,0,2,0,6,False
3,0,1,0,6,False
3,0,2,0,7,False
2,0,2,1,6,False
3,0,2,1,5,False
2,0,1,1,6,False
1,0,3,1,6,False
2,0,3,1,6,False
2,0,2,1,8,False
2,0,3,1,9,False
1,0,3,2,6,False
2,0,2,1,7,False
1,0,2,0,5,False
4,0,4,1,6,False
2,0,4,1,6,False
3,0,4,1,8,False
5,0,4,1,10,False
3,0,3,1,23,False
1,0,3,1,10,False
2,0,4,1,11,False
2,0,3,1,9,False
2,0,3,1,6,False
1,0,3,1,6,False
2,0,3,0,6,False
2,0,2,1,5,False
1,0,3,1,6,False
1,0,3,0,4,False
1,0,2,1,5,False
1,0,2,0,5,False
1,0,2,0,7,False
1,0,4,0,6,False
1,0,2,0,6,False
2,0,3,0,5,False
1,0,3,0,5,False
1,0,3,0,7,False
1,0,2,0,7,False
1,0,3,1,6,False
1,1,4,0,4,False
1,0,3,0,5,False
1,0,3,0,4,False
1,0,3,0,4,False
1,0,2,0,5,False
1,0,3,0,4,False
1,0,2,0,4,False
1,0,4,0,4,False
1,0,4,1,4,False
1,0,4,0,4,False
2,0,4,0,4,False
1,0,4,0,3,False
1,0,3,0,4,False
1,0,4,0,4,False
1,0,3,0,4,False
1,0,3,0,3,False
2,0,3,0,4,False
2,0,3,0,4,False
1,0,2,0,4,False
1,0,4,0,4,False
1,0,4,0,5,False
2,0,3,0,5,False
1,0,3,0,5,False
1,0,2,0,4,False
1,0,2,0,4,False
2,0,2,0,4,False
2,0,2,0,4,False
1,0,2,0,4,False
1,0,2,0,4,False
1,0,2,0,4,False
1,0,2,0,5,False
2,0,5,0,4,False
1,0,3,0,5,False
1,0,2,0,4,False
1,0,2,0,4,False
1,0,2,0,4,False
1,0,2,0,6,False
1,0,4,0,12,False
1,0,3,0,5,False
1,0,3,0,4,False
1,0,2,0,4,False
1,0,1,0,3,False
1,0,2,0,8,False
1,0,3,0,7,False
0,0,2,0,5,False
0,0,1,0,4,True
