Eddy Cartaya,Stephen Cave,Toni Griffin,Marco Annunziata,Iraola,isPartial
0,0,0,14,28,False
0,14,14,0,37,False
0,0,0,17,17,False
0,13,13,13,31,False
0,11,12,0,27,False
0,11,11,12,35,False
0,24,12,12,28,False
0,0,0,0,39,False
0,10,0,0,31,False
0,14,0,10,21,False
0,11,11,10,14,False
0,10,0,0,33,False
0,0,0,0,26,False
0,9,0,9,23,False
0,8,0,0,18,False
0,8,8,0,17,False
0,11,0,7,17,False
0,8,7,0,15,False
0,8,0,0,15,False
0,7,7,7,15,False
0,13,7,0,29,False
0,6,6,6,31,False
0,0,0,6,27,False
0,6,6,0,23,False
0,5,0,0,16,False
0,7,0,0,20,False
0,10,0,0,38,False
0,5,0,8,19,False
0,5,5,5,25,False
0,5,5,5,26,False
0,5,5,5,29,False
0,9,5,0,24,False
0,9,4,4,20,False
0,10,4,0,20,False
0,4,0,8,21,False
0,7,12,4,32,False
0,3,3,0,23,False
0,5,4,0,30,False
0,3,3,3,34,False
0,7,3,10,21,False
0,3,0,6,22,False
0,3,3,0,28,False
0,3,3,3,16,False
0,6,3,0,21,False
0,7,0,3,30,False
0,2,2,2,27,False
0,5,4,2,16,False
0,3,3,3,26,False
0,4,0,2,22,False
0,3,2,2,27,False
0,6,3,3,26,False
0,6,0,2,32,False
0,3,2,4,29,False
0,4,0,2,18,False
0,2,2,4,21,False
0,2,0,0,34,False
0,2,2,3,33,False
0,4,2,2,29,False
0,5,2,2,28,False
0,5,2,5,27,False
0,3,2,3,28,False
0,2,2,2,29,False
0,2,3,5,23,False
0,7,5,2,29,False
0,5,2,5,28,False
1,4,1,4,23,False
0,3,2,3,25,False
0,3,3,5,26,False
0,5,1,1,37,False
0,2,0,2,32,False
0,2,1,3,32,False
0,3,1,3,32,False
0,4,2,3,35,False
0,4,2,2,23,False
0,4,4,2,25,False
0,3,2,2,26,False
0,3,3,3,26,False
0,4,2,4,27,False
0,2,3,2,18,False
0,3,3,2,23,False
0,4,2,2,33,False
0,2,2,1,33,False
0,2,1,2,41,False
0,2,2,2,29,False
0,4,2,2,26,False
0,3,4,1,31,False
0,3,4,1,39,False
0,7,2,2,29,False
0,3,2,3,31,False
0,4,2,2,28,False
0,3,1,1,24,False
0,3,1,2,34,False
0,3,4,1,32,False
0,3,5,3,25,False
0,5,3,3,27,False
0,4,2,2,23,False
0,2,3,2,24,False
0,2,3,1,25,False
0,4,2,4,55,False
0,4,1,3,27,False
0,4,2,1,39,False
0,4,2,1,26,False
0,3,2,1,24,False
0,3,1,2,24,False
0,2,3,2,25,False
0,2,2,1,25,False
0,2,1,1,20,False
0,1,3,1,24,False
0,3,2,2,25,False
0,5,2,1,25,False
0,3,2,1,21,False
0,4,1,2,25,False
0,4,2,1,21,False
0,3,3,2,22,False
0,5,2,1,23,False
0,2,3,1,23,False
0,3,3,1,25,False
1,2,3,1,24,False
0,2,3,1,24,False
0,5,3,3,24,False
0,5,2,2,24,False
1,3,3,1,23,False
0,4,2,2,26,False
0,3,3,1,18,False
0,4,3,2,21,False
1,2,2,1,19,False
0,3,3,1,20,False
0,2,2,1,29,False
0,4,2,2,30,False
0,2,2,0,26,False
0,2,2,2,26,False
0,3,2,1,19,False
0,4,2,1,22,False
1,4,3,1,25,False
0,3,2,2,31,False
0,3,2,3,36,False
0,4,2,2,100,False
0,3,2,2,40,False
0,3,2,1,48,False
0,3,1,1,33,False
0,3,2,1,27,False
0,3,2,1,22,False
0,2,3,1,20,False
0,3,1,1,22,False
0,3,2,2,24,False
0,3,1,1,18,False
0,3,1,2,21,False
0,4,2,1,20,False
0,5,1,2,26,False
0,4,2,1,24,False
0,3,1,1,27,False
0,3,1,1,16,False
0,3,1,1,22,False
0,3,1,1,22,False
0,2,1,1,27,False
0,3,2,1,20,False
0,2,2,1,17,False
0,3,2,1,19,False
0,4,1,1,18,False
0,3,1,1,17,False
0,2,1,1,19,False
0,3,1,1,18,False
0,2,1,4,17,False
0,2,1,1,15,False
0,2,1,1,14,False
0,5,3,1,14,False
0,4,1,1,15,False
0,3,1,2,11,False
0,2,1,2,16,False
0,4,1,1,18,False
0,5,0,2,17,False
0,3,1,2,12,False
0,2,2,1,16,False
0,2,2,2,17,False
0,8,1,2,15,False
0,3,1,1,16,False
0,2,1,1,17,False
0,3,1,1,19,False
0,3,1,1,15,False
0,3,1,1,15,False
0,4,1,1,15,False
0,2,1,1,18,False
0,2,1,1,15,False
0,2,0,1,16,False
0,2,1,1,19,False
0,3,1,1,15,False
0,2,2,1,19,False
0,2,1,2,19,False
0,3,1,1,15,False
0,3,1,1,16,False
0,3,1,1,17,False
0,3,0,1,15,False
0,3,1,1,25,False
0,2,1,1,46,False
0,1,0,1,20,False
0,2,1,1,13,False
0,1,1,1,13,False
0,3,1,1,16,False
0,2,1,1,28,False
0,2,1,1,26,False
0,3,1,1,19,False
0,2,1,1,16,True
